Pos,Name,BV,SV,Team,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
D,Duffy,4.3,4.3,Brighton,0,0,0,0,0,0
M,Pröpper,4.7,4.7,Brighton,10,0.355,9,0.294,6,0.204
M,Mooy,5.0,5.0,Brighton,0,0,0,0,0,0
D,Burn,4.2,4.2,Brighton,81,2.695,72,1.646,56,1.599
D,Dunk,4.9,4.9,Brighton,0,0,0,0,80,2.578
D,Montoya,4.5,4.5,Brighton,0,0,0,0,0,0
F,Andone,4.8,4.8,Brighton,1,0.052,16,0.662,10,0.474
M,March,4.9,4.9,Brighton,0,0,0,0,0,0
D,Webster,4.3,4.3,Brighton,88,2.894,86,1.958,81,2.284
D,Veltman,4.4,4.4,Brighton,32,1.086,60,1.388,58,1.683
F,Maupay,5.9,5.9,Brighton,0,0,0,0,64,2.828
M,Trossard,5.6,5.6,Brighton,76,3.482,73,2.722,70,2.906
G,Ryan,4.1,4.1,Arsenal,0,0,11,0.472,12,0.509
M,Jahanbakhsh,5.4,5.4,Brighton,61,2.493,54,1.895,37,1.449
M,Izquierdo,5.5,5.5,Brighton,5,0.195,4,0.14,1,0.037
D,Clarke,4.4,4.4,Brighton,0,0,0,0,0,0
D,White,4.5,4.5,Brighton,87,2.734,83,1.811,71,1.922
D,Bernardo,3.9,3.9,Brighton,0,0,0,0,0,0
M,Bissouma,4.4,4.4,Brighton,83,2.449,79,2.088,74,2.101
D,Lamptey,4.6,4.6,Brighton,0,0,0,0,0,0
F,Connolly,5.2,5.2,Brighton,20,0.983,15,0.625,5,0.23
M,Alzate,4.1,4.1,Brighton,5,0.19,4,0.137,1,0.036
M,Mac Allister,5.3,5.3,Brighton,57,2.389,50,1.783,33,1.315
D,Tarkowski,5.3,5.3,Burnley,89,2.714,85,1.542,84,3.402
D,Bardsley,4.4,4.4,Burnley,0,0,2,0.037,3,0.117
D,Pieters,4.3,4.3,Burnley,8,0.251,16,0.313,19,0.775
M,Cork,5.0,5.0,Burnley,62,1.926,62,1.741,60,1.981
D,Long,4.3,4.3,Burnley,0,0,0,0,0,0
F,Rodriguez,5.7,5.7,Burnley,16,0.787,20,0.823,23,1.138
F,Barnes,6.0,6.0,Burnley,41,2.21,42,1.831,43,2.403
D,Mee,4.7,4.7,Burnley,88,2.654,85,1.52,84,3.407
M,Westwood,5.3,5.3,Burnley,84,2.685,82,2.295,81,2.787
M,Gudmundsson,5.4,5.4,Burnley,38,1.566,37,1.314,38,1.647
F,Wood,6.4,6.4,Burnley,76,4.64,73,3.453,70,4.457
D,Lowton,4.4,4.4,Burnley,88,2.772,85,1.61,83,3.505
F,Vydra,4.8,4.8,Burnley,49,2.723,52,2.301,52,2.973
D,Gibson,3.9,3.9,Burnley,0,0,0,0,0,0
M,Brady,5.0,5.0,Burnley,0,0,0,0,0,0
G,Pope,5.5,5.5,Burnley,90,3.641,89,3.23,88,3.984
D,Taylor,4.4,4.4,Burnley,84,2.575,81,1.494,80,3.28
M,Brownhill,4.9,4.9,Burnley,78,2.806,75,2.332,74,2.874
G,Peacock-Farrell,4.0,4.0,Burnley,0,0,0,0,0,0
M,McNeil,5.7,5.7,Burnley,84,3.169,81,2.599,79,3.216
G,Caballero,4.6,4.6,Chelsea,0,0,0,0,0,0
D,Azpilicueta,5.9,5.9,Chelsea,0,0,54,2.367,51,2.276
F,Giroud,6.7,6.7,Chelsea,0,0,3,0.19,3,0.201
D,Alonso,5.7,5.7,Chelsea,0,0,49,2.523,44,2.329
M,Jorginho,4.7,4.7,Chelsea,0,0,52,2.192,49,2.159
M,Barkley,5.8,5.8,Aston Villa,47,2.411,35,1.518,39,1.652
M,Kovacic,5.3,5.3,Chelsea,0,0,29,0.976,48,1.642
F,Batshuayi,5.7,5.7,Crystal Palace,1,0.051,1,0.047,1,0.042
D,Rüdiger,4.7,4.7,Chelsea,0,0,68,2.873,68,2.926
D,Zouma,5.3,5.3,Chelsea,0,0,40,1.759,40,1.79
D,Emerson,4.7,4.7,Chelsea,0,0,0,0,0,0
G,Arrizabalaga,4.7,4.7,Chelsea,0,0,0,0,2,0.087
M,Kanté,4.9,4.9,Chelsea,0,0,46,1.522,40,1.367
M,Ziyech,7.9,7.9,Chelsea,0,0,39,2.191,41,2.437
M,Loftus-Cheek,5.9,5.9,Fulham,64,2.428,56,1.902,55,2.404
D,Christensen,4.7,4.7,Chelsea,0,0,59,2.42,63,2.612
F,Werner,9.2,9.2,Chelsea,0,0,67,3.572,69,3.879
F,Abraham,7.1,7.1,Chelsea,0,0,11,0.664,10,0.637
M,Pulisic,8.3,8.3,Chelsea,0,0,48,2.742,46,2.778
M,Mount,7.3,7.3,Chelsea,0,0,70,3.444,65,3.385
D,Tomori,4.7,4.7,Chelsea,0,0,0,0,0,0
M,Hudson-Odoi,5.7,5.7,Chelsea,0,0,19,0.947,17,0.885
D,James,5.1,5.1,Chelsea,0,0,66,3.074,69,3.303
M,Gilmour,4.3,4.3,Chelsea,0,0,10,0.36,9,0.331
D,Cahill,4.5,4.5,Crystal Palace,59,1.926,61,1.701,58,0.947
G,Hennessey,4.3,4.3,Crystal Palace,0,0,1,0.037,0,0
D,Sakho,4.4,4.4,Crystal Palace,0,0,2,0.054,3,0.05
G,Guaita,4.8,4.8,Crystal Palace,89,3.492,88,3.266,89,3.081
D,Tomkins,4.4,4.4,Crystal Palace,38,1.228,37,1.024,41,0.64
M,McArthur,5.2,5.2,Crystal Palace,27,0.94,58,1.819,75,2.102
M,McCarthy,4.3,4.3,Crystal Palace,12,0.392,11,0.348,8,0.238
F,Benteke,5.5,5.5,Crystal Palace,72,3.488,68,3.012,67,2.53
M,Kouyaté,4.8,4.8,Crystal Palace,77,2.253,72,2.041,71,1.85
D,Ward,4.3,4.3,Crystal Palace,75,2.333,59,1.584,60,0.925
D,Kelly,4.1,4.1,Crystal Palace,0,0,0,0,0,0
F,Wickham,4.4,4.4,Crystal Palace,0,0,1,0.047,1,0.042
M,Townsend,5.5,5.5,Crystal Palace,53,2.3,49,1.981,45,1.603
M,Milivojevic,5.6,5.6,Crystal Palace,81,2.77,75,2.435,72,2.055
D,van Aanholt,5.4,5.4,Crystal Palace,27,1.032,22,0.716,22,0.443
F,Ayew,5.6,5.6,Crystal Palace,44,1.909,44,1.769,46,1.638
M,Zaha,7.2,7.2,Crystal Palace,84,3.902,80,3.391,77,2.777
M,Schlupp,5.3,5.3,Crystal Palace,48,1.904,44,1.647,42,1.403
M,Meyer,4.7,4.7,Crystal Palace,0,0,0,0,0,0
M,Riedewald,4.4,4.4,Crystal Palace,37,1.234,30,0.967,28,0.839
D,Ferguson,3.8,3.8,Crystal Palace,1,0.031,26,0.689,33,0.502
D,Mitchell,3.8,3.8,Crystal Palace,61,1.873,59,1.558,57,0.862
M,Pierrick,4.3,4.3,Crystal Palace,0,0,0,0,0,0
M,Walcott,5.8,5.8,Southampton,62,2.987,58,2.697,54,2.203
M,Delph,4.8,4.8,Everton,6,0.21,9,0.295,11,0.311
M,Sigurdsson,6.9,6.9,Everton,69,4.3,61,3.341,60,2.266
G,Lössl,4.3,4.3,Everton,0,0,0,0,0,0
D,Coleman,4.9,4.9,Everton,40,2.288,45,2.2,43,0.907
F,Tosun,6.0,6.0,Everton,0,0,0,0,0,0
M,Bernard,5.7,5.7,Everton,10,0.505,9,0.41,10,0.351
D,Digne,6.2,6.2,Everton,82,5.093,78,4.097,77,1.72
D,Keane,5.0,5.0,Everton,77,4.044,78,3.525,74,1.454
G,Pickford,4.8,4.8,Everton,89,4.39,88,4.014,87,3.083
M,André Gomes,5.3,5.3,Everton,27,1.092,26,0.966,29,0.854
M,Iwobi,5.9,5.9,Everton,34,1.638,25,1.097,28,0.957
D,Kenny,4.3,4.3,Everton,0,0,0,0,0,0
M,Gbamin,5.0,5.0,Everton,0,0,0,0,0,0
D,Mina,5.5,5.5,Everton,40,2.094,43,1.932,41,0.797
M,Davies,5.2,5.2,Everton,27,1.087,30,1.106,28,0.824
F,Calvert-Lewin,7.6,7.6,Everton,81,5.338,76,4.385,75,2.925
D,Holgate,4.8,4.8,Everton,69,3.523,69,3.018,67,1.234
F,Richarlison,7.8,7.8,Everton,77,4.65,74,3.899,74,2.685
G,Virgínia,4.3,4.3,Everton,0,0,0,0,0,0
M,Gordon,4.3,4.3,Everton,0,0,0,0,0,0
F,Kean,5.7,5.7,Everton,0,0,0,0,0,0
D,Branthwaite,3.9,3.9,Everton,0,0,0,0,0,0
G,Fabri,3.9,3.9,Fulham,0,0,0,0,0,0
M,McDonald,4.7,4.7,Fulham,0,0,0,0,0,0
D,Le Marchand,4.1,4.1,Fulham,0,0,0,0,0,0
M,Johansen,4.7,4.7,Fulham,0,0,0,0,0,0
M,Cairney,5.2,5.2,Fulham,13,0.455,31,0.958,48,1.849
D,Ream,4.2,4.2,Fulham,0,0,1,0.021,0,0
M,Knockaert,5.0,5.0,Fulham,0,0,0,0,0,0
D,Hector,4.1,4.1,Fulham,0,0,0,0,1,0.037
D,Christie,4.2,4.2,Fulham,0,0,0,0,0,0
M,Kebano,4.7,4.7,Fulham,0,0,0,0,0,0
F,Decordova-Reid,5.3,5.3,Fulham,59,2.283,54,1.905,54,2.412
D,Bryan,4.5,4.5,Fulham,1,0.032,2,0.047,2,0.085
G,Bettinelli,4.3,4.3,Fulham,0,0,0,0,0,0
F,Mitrović,5.5,5.5,Fulham,42,2.125,36,1.536,37,2.203
D,Mawson,4.3,4.3,Fulham,0,0,0,0,0,0
G,Rodák,4.3,4.3,Fulham,0,0,0,0,1,0.042
M,Cavaleiro,5.3,5.3,Fulham,66,2.915,64,2.425,63,3.313
M,Onomah,4.6,4.6,Fulham,27,0.91,11,0.352,11,0.409
M,Seri,4.6,4.6,Fulham,0,0,0,0,0,0
M,Kamara,4.8,4.8,Fulham,0,0,0,0,0,0
M,Anguissa,4.4,4.4,Fulham,77,2.303,54,1.549,50,1.724
D,Sessegnon,4.3,4.3,Fulham,0,0,0,0,0,0
M,Hernández,5.7,5.7,Leeds,3,0.149,4,0.198,5,0.285
G,Casilla,4.1,4.1,Leeds,0,0,0,0,0,0
D,Cooper,4.3,4.3,Leeds,17,0.584,40,1.224,41,1.74
D,Douglas,3.8,3.8,Leeds,0,0,0,0,0,0
D,Ayling,4.4,4.4,Leeds,86,3.012,85,2.651,81,3.54
M,Klich,5.2,5.2,Leeds,47,1.932,49,1.994,50,2.342
M,Forshaw,4.8,4.8,Leeds,0,0,0,0,0,0
D,Dallas,5.2,5.2,Leeds,84,3.241,80,2.763,78,3.76
D,Alioski,4.3,4.3,Leeds,72,2.626,72,2.372,73,3.359
F,Bamford,6.3,6.3,Leeds,80,4.874,78,4.821,77,5.596
M,Harrison,5.4,5.4,Leeds,78,3.417,77,3.316,74,3.689
M,Phillips,4.9,4.9,Leeds,81,2.432,82,2.416,81,2.749
M,Costa,5.0,5.0,Leeds,0,0,0,0,0,0
M,Roberts,4.6,4.6,Leeds,46,1.883,43,1.76,48,2.217
M,Grot,4.7,4.7,Leeds,0,0,0,0,0,0
G,Miazek,4.0,4.0,Leeds,0,0,0,0,0,0
M,Poveda-Ocampo,4.2,4.2,Leeds,11,0.441,12,0.477,14,0.622
M,Shackleton,4.8,4.8,Leeds,2,0.072,3,0.108,3,0.118
D,Struijk,4.0,4.0,Leeds,59,2.031,52,1.616,52,2.244
M,Stevens,4.3,4.3,Leeds,0,0,0,0,0,0
G,Meslier,4.7,4.7,Leeds,89,3.71,88,3.466,87,3.841
D,Davis,3.8,3.8,Leeds,0,0,0,0,1,0.04
D,Casey,3.8,3.8,Leeds,0,0,0,0,1,0.041
D,Morgan,4.4,4.4,Leicester,0,0,0,0,0,0
G,Schmeichel,5.4,5.4,Leicester,0,0,88,3.344,89,3.56
D,Fuchs,4.5,4.5,Leicester,0,0,0,0,0,0
D,Evans,5.6,5.6,Leicester,0,0,79,2.07,79,2.444
M,Silva,4.4,4.4,Leicester,0,0,0,0,0,0
M,Albrighton,5.2,5.2,Leicester,0,0,39,1.357,41,1.591
M,James,4.3,4.3,Leicester,0,0,0,0,0,0
G,Ward,4.3,4.3,Leicester,0,0,1,0.038,0,0
F,Vardy,10.3,10.3,Leicester,0,0,84,3.721,82,4.522
M,Praet,5.2,5.2,Leicester,0,0,20,0.714,21,0.821
D,Pereira,5.9,5.9,Leicester,0,0,36,1.124,39,1.474
D,Amartey,3.9,3.9,Leicester,0,0,11,0.306,12,0.386
M,Tielemans,6.4,6.4,Leicester,0,0,84,2.701,82,2.993
M,Pérez,6.0,6.0,Leicester,0,0,49,2.049,48,2.367
M,Gray,5.1,5.1,Leicester,0,0,0,0,0,0
M,Maddison,7.3,7.3,Leicester,0,0,70,2.843,67,3.29
D,Chilwell,5.9,5.9,Chelsea,0,0,38,1.872,44,2.224
F,Iheanacho,6.3,6.0,Leicester,0,0,76,3.619,73,4.31
M,Choudhury,4.6,4.6,Leicester,0,0,2,0.06,1,0.032
M,Barnes,6.6,6.6,Leicester,0,0,0,0,0,0
M,Ndidi,4.8,4.8,Leicester,0,0,82,2.133,82,2.286
D,Benkovic,4.3,4.3,Leicester,0,0,0,0,0,0
D,Söyüncü,5.3,5.3,Leicester,0,0,83,2.135,82,2.49
D,Justin,4.8,4.8,Leicester,0,0,0,0,0,0
D,Thomas,4.1,4.1,Leicester,0,0,18,0.522,19,0.645
M,Milner,5.3,5.3,Liverpool,34,1.639,38,1.738,34,1.658
D,Tsimikas,4.9,4.9,Liverpool,1,0.053,4,0.197,4,0.217
M,Wijnaldum,5.3,5.3,Liverpool,67,2.792,68,2.689,61,2.566
M,Henderson,5.4,5.4,Liverpool,0,0,0,0,35,1.399
G,Adrián,4.2,4.2,Liverpool,0,0,0,0,1,0.047
D,Matip,5.4,5.4,Liverpool,0,0,0,0,0,0
M,Shaqiri,6.4,6.4,Liverpool,7,0.404,9,0.486,11,0.631
M,Chamberlain,6.3,6.3,Liverpool,3,0.134,6,0.258,5,0.224
F,Firmino,9.0,9.0,Liverpool,59,3.583,58,3.271,58,3.457
D,van Dijk,6.2,6.2,Liverpool,0,0,0,0,0,0
M,Mané,11.7,11.7,Liverpool,78,6.28,75,5.485,75,5.946
G,Alisson,5.9,5.9,Liverpool,89,4.254,89,4.097,88,4.306
M,Fabinho,5.4,5.4,Liverpool,77,2.527,75,2.425,71,2.444
M,Salah,12.7,12.4,Liverpool,75,7.206,73,6.312,70,6.574
D,Robertson,7.1,7.1,Liverpool,88,5.097,84,4.5,83,4.958
F,Origi,5.1,5.1,Liverpool,0,0,0,0,0,0
M,Harry Wilson,5.1,5.1,Liverpool,0,0,0,0,0,0
M,Minamino,6.0,6.0,Southampton,11,0.551,9,0.439,9,0.386
D,Alexander-Arnold,7.6,7.4,Liverpool,87,5.594,85,5.016,83,5.472
D,Gomez,5.2,5.2,Liverpool,0,0,0,0,0,0
M,Keita,5.2,5.2,Liverpool,1,0.052,2,0.098,2,0.104
F,Brewster,4.2,4.2,Sheffield Utd,43,1.703,41,1.843,43,1.97
M,Jones,4.4,4.4,Liverpool,14,0.718,15,0.723,12,0.613
D,Neco Williams,3.8,3.8,Liverpool,1,0.046,1,0.043,2,0.096
M,Elliott,4.3,4.3,Liverpool,0,0,0,0,0,0
D,Fernandinho,5.4,5.4,Man City,35,1.835,33,1.593,35,1.789
G,Bravo,4.5,4.5,Man City,0,0,0,0,0,0
F,Agüero,10.3,10.3,Man City,38,2.951,39,2.551,39,2.791
D,Otamendi,4.9,4.9,Man City,0,0,0,0,0,0
D,Walker,6.1,6.1,Man City,16,0.815,18,0.853,18,0.895
M,Gündogan,5.6,5.6,Man City,51,3.041,44,2.311,46,2.595
M,De Bruyne,11.8,11.8,Man City,31,2.552,52,3.58,51,3.851
D,Stones,5.1,5.1,Man City,60,3.074,61,2.909,58,2.889
D,Mendy,5.9,5.9,Man City,37,1.931,36,1.741,33,1.682
M,Mahrez,8.0,8.0,Man City,43,3.271,47,3.031,42,2.955
M,Sterling,11.0,11.0,Man City,56,3.938,52,3.13,57,3.719
D,Cancelo,5.8,5.8,Man City,50,2.806,50,2.557,48,2.614
G,Ederson,6.1,6.1,Man City,89,4.36,88,4.171,88,4.247
D,Aké,5.4,5.4,Man City,31,1.642,33,1.604,34,1.742
D,Laporte,6.0,6.0,Man City,55,2.739,53,2.464,52,2.536
M,Bernardo Silva,7.4,7.4,Man City,65,3.377,59,2.732,56,2.787
F,Jesus,9.1,9.1,Man City,66,4.343,63,3.559,63,3.882
D,Zinchenko,5.5,5.5,Man City,30,1.651,32,1.624,32,1.703
M,Foden,6.0,6.0,Man City,52,3.744,49,3.023,49,3.278
M,Doyle,4.4,4.4,Man City,0,0,0,0,0,0
M,Rodrigo,5.3,5.3,Man City,78,3.101,76,2.799,77,2.994
M,Torres,6.9,6.9,Man City,35,2.206,30,1.647,35,2.073
D,Garcia,4.7,4.7,Man City,0,0,0,0,0,0
G,Romero,4.9,4.9,Man Utd,0,0,0,0,0,0
M,Mata,5.8,5.8,Man Utd,0,0,2,0.107,1,0.05
G,de Gea,5.3,5.3,Man Utd,0,0,6,0.283,8,0.357
D,Smalling,4.9,4.9,Man Utd,0,0,0,0,0,0
F,Ighalo,6.1,6.1,Man Utd,0,0,0,0,0,0
D,Rojo,4.8,4.8,Man Utd,0,0,0,0,0,0
M,Matic,4.7,4.7,Man Utd,0,0,5,0.174,6,0.201
M,Pogba,7.6,7.6,Man Utd,0,0,57,2.962,57,2.72
D,Jones,4.8,4.8,Man Utd,0,0,0,0,0,0
D,Maguire,5.6,5.6,Man Utd,0,0,85,4.242,83,3.73
M,Fred,5.3,5.3,Man Utd,0,0,74,2.548,69,2.254
D,Shaw,5.5,5.5,Man Utd,0,0,85,4.185,81,3.554
M,Lingard,6.6,6.4,West Ham,74,3.45,70,3.896,70,3.871
M,Fernandes,11.5,11.1,Man Utd,0,0,80,6.289,79,5.565
F,Martial,8.6,8.6,Man Utd,0,0,0,0,25,1.392
M,Pereira,4.8,4.8,Man Utd,0,0,0,0,0,0
G,Henderson,5.2,5.2,Man Utd,0,0,83,3.948,81,3.655
M,Rashford,9.6,9.6,Man Utd,0,0,77,5.056,73,4.371
D,Tuanzebe,4.1,4.1,Man Utd,0,0,0,0,0,0
D,Lindelöf,4.8,4.8,Man Utd,0,0,80,3.712,81,3.407
M,McTominay,4.9,4.9,Man Utd,0,0,71,2.877,70,2.651
D,Bailly,4.8,4.8,Man Utd,0,0,16,0.716,19,0.768
M,James,6.2,6.2,Man Utd,0,0,41,2.123,44,2.097
D,Fosu-Mensah,4.3,4.3,Man Utd,0,0,0,0,0,0
D,Wan-Bissaka,5.7,5.7,Man Utd,0,0,86,4.318,83,3.762
D,Dalot,4.8,4.8,Man Utd,0,0,0,0,0,0
M,Greenwood,7.2,7.2,Man Utd,0,0,62,3.592,58,3.106
M,Chong,4.4,4.4,Man Utd,0,0,0,0,0,0
M,Garner,4.4,4.4,Man Utd,0,0,0,0,0,0
D,Williams,4.2,4.2,Man Utd,0,0,0,0,2,0.084
D,Mengi,3.9,3.9,Man Utd,0,0,0,0,0,0
F,Carroll,5.1,5.1,Newcastle,6,0.249,10,0.58,8,0.391
M,Shelvey,5.3,5.3,Newcastle,85,2.327,82,3.127,81,2.628
M,Ritchie,4.9,4.9,Newcastle,78,2.381,76,3.399,65,2.464
D,Fernández,4.7,4.7,Newcastle,85,1.316,82,3.617,69,2.18
D,Clark,4.5,4.5,Newcastle,76,1.191,75,3.311,42,1.348
G,Darlow,4.9,4.9,Newcastle,0,0,0,0,0,0
G,Dubravka,4.8,4.8,Newcastle,89,3.166,88,3.943,89,3.529
D,Lejeune,4.3,4.3,Newcastle,0,0,0,0,0,0
D,Lascelles,4.2,4.2,Newcastle,0,0,0,0,37,1.101
F,Gayle,5.9,5.9,Newcastle,26,1.075,27,1.603,28,1.389
M,Atsu,5.2,5.2,Newcastle,0,0,0,0,0,0
D,Dummett,4.4,4.4,Newcastle,81,1.175,78,3.079,60,1.761
D,Manquillo,4.2,4.2,Newcastle,3,0.049,6,0.239,5,0.15
D,Krafth,4.2,4.2,Newcastle,25,0.419,30,1.256,11,0.346
D,Schär,4.8,4.8,Newcastle,0,0,0,0,71,2.088
D,Yedlin,4.3,4.3,Newcastle,0,0,0,0,0,0
M,Hayden,4.6,4.6,Newcastle,0,0,0,0,0,0
M,Aarons,4.8,4.8,Newcastle,0,0,0,0,0,0
M,Saint-Maximin,5.1,5.1,Newcastle,76,2.899,72,4.385,71,3.482
M,Almirón,5.6,5.6,Newcastle,73,2.45,72,3.586,69,2.844
F,Joelinton,5.7,5.7,Newcastle,72,2.487,72,3.672,70,2.959
F,Muto,4.8,4.8,Newcastle,0,0,0,0,0,0
D,Watts,3.9,3.9,Newcastle,0,0,0,0,0,0
F,Sharp,5.5,5.5,Sheffield Utd,0,0,0,0,0,0
F,McGoldrick,5.2,5.2,Sheffield Utd,74,2.868,70,3.176,71,3.294
D,Basham,4.6,4.6,Sheffield Utd,80,1.68,77,2.048,77,2.304
M,Fleck,5.6,5.6,Sheffield Utd,76,2.232,74,2.356,75,2.455
D,Stevens,5.0,5.0,Sheffield Utd,84,1.971,82,2.466,80,2.699
G,Moore,4.3,4.3,Sheffield Utd,0,0,0,0,0,0
M,Norwood,4.5,4.5,Sheffield Utd,67,2.239,65,2.419,63,2.416
G,Foderingham,4.3,4.3,Sheffield Utd,0,0,0,0,1,0.039
D,Baldock,4.9,4.9,Sheffield Utd,78,1.78,74,2.159,74,2.425
D,Jack Robinson,4.2,4.2,Sheffield Utd,52,1.078,45,1.171,48,1.405
D,Egan,4.7,4.7,Sheffield Utd,82,1.782,82,2.257,79,2.446
D,O'Connell,4.7,4.7,Sheffield Utd,0,0,0,0,0,0
M,Lundstram,4.8,4.8,Sheffield Utd,16,0.575,16,0.623,18,0.713
M,Osborn,4.7,4.7,Sheffield Utd,30,1.052,31,1.172,32,1.23
F,McBurnie,5.6,5.6,Sheffield Utd,0,0,0,0,0,0
F,Callum Robinson,5.2,5.2,West Brom,49,1.879,50,2.136,50,2.143
F,Mousset,5.8,5.8,Sheffield Utd,13,0.576,17,0.851,16,0.82
M,Berge,4.9,4.9,Sheffield Utd,76,2.272,72,2.333,69,2.311
F,Long,5.1,5.1,Southampton,0,0,0,0,0,0
D,Bertrand,5.0,5.0,Southampton,0,0,0,0,0,0
G,McCarthy,4.4,4.4,Southampton,30,1.288,28,1.082,30,1.098
M,Oriol Romeu,4.5,4.5,Southampton,53,1.627,81,2.289,77,2.029
M,Redmond,6.4,6.4,Southampton,57,2.905,53,2.613,52,2.219
F,Ings,8.4,8.4,Southampton,61,3.796,70,4.261,70,3.589
D,Stephens,4.6,4.6,Southampton,26,1.072,25,0.802,28,0.724
M,Armstrong,5.5,5.5,Southampton,69,3.02,67,2.847,67,2.51
D,Vestergaard,4.7,4.7,Southampton,89,3.773,86,2.821,84,2.2
M,Ward-Prowse,5.9,5.9,Southampton,87,3.897,83,3.609,83,3.103
G,Gunn,4.3,4.3,Southampton,0,0,0,0,0,0
M,Boufal,5.4,5.4,Southampton,0,0,0,0,0,0
M,Reed,4.4,4.4,Fulham,52,1.522,53,1.475,52,1.718
M,Sims,4.3,4.3,Southampton,0,0,0,0,0,0
D,Walker-Peters,4.7,4.7,Southampton,86,3.473,82,2.536,82,2.029
D,Bednarek,4.7,4.7,Southampton,88,3.34,84,2.433,83,1.918
F,Adams,5.7,5.7,Southampton,47,2.691,48,2.702,48,2.318
