Pos,ID,Name,BV,SV,Team,11_xMins,12_xMins,13_xMins,14_xMins,15_xMins,16_xMins,17_xMins,18_xMins,19_xMins,20_xMins,11_Pts,12_Pts,13_Pts,14_Pts,15_Pts,16_Pts,17_Pts,18_Pts,19_Pts,20_Pts
M,24,Nørgaard,5.2,5.2,Arsenal,20.40,13.20,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,0.87,0.57,0.22,0.23,0.22,0.24,0.22,0.23,0.23,0.22
M,25,Nwaneri,5.2,5.2,Arsenal,36.00,18.90,17.55,9.45,9.45,9.45,9.45,9.45,9.45,9.45,1.92,1.07,0.86,0.51,0.47,0.54,0.46,0.52,0.50,0.47
M,26,Zubimendi,5.4,5.4,Arsenal,80.25,80.25,80.25,80.25,80.25,80.25,80.25,80.25,80.25,80.25,3.40,3.48,3.09,3.43,3.16,3.49,3.11,3.15,3.14,2.97
M,27,Nelson,4.8,4.8,Brentford,3.45,3.45,3.45,0.00,3.45,3.45,29.25,29.25,29.25,29.25,0.18,0.17,0.20,0.00,0.17,0.18,1.48,1.53,1.50,1.37
F,30,Havertz,7.3,7.3,Arsenal,0.00,2.40,14.85,24.75,24.75,24.75,24.75,24.75,24.75,24.75,0.00,0.16,0.81,1.57,1.33,1.66,1.37,1.53,1.50,1.40
F,31,G.Jesus,6.4,6.4,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,32,Martinez,5.0,5.0,Aston Villa,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.35,3.10,3.87,2.92,2.76,3.42,3.14,3.02,2.44,3.68
G,33,M.Bizot,4.3,4.3,Aston Villa,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.03
D,36,Cash,4.6,4.6,Aston Villa,83.10,83.10,83.10,83.10,83.10,83.10,83.10,83.10,83.10,83.10,3.57,3.35,4.33,2.87,2.75,3.55,3.09,2.59,2.25,3.71
D,37,Digne,4.5,4.5,Aston Villa,78.45,78.45,78.45,78.45,78.45,78.45,78.45,78.45,78.45,78.45,3.53,3.40,4.39,2.84,2.67,3.66,3.16,2.56,2.20,3.85
D,38,Konsa,4.4,4.4,Aston Villa,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,3.27,3.21,4.04,2.92,2.91,3.36,2.83,2.48,2.20,3.52
D,39,Maatsen,4.3,4.3,Aston Villa,14.70,14.70,14.70,14.70,14.70,14.70,14.70,14.70,14.70,14.70,0.61,0.59,0.68,0.56,0.53,0.62,0.58,0.53,0.49,0.62
D,40,Mings,4.4,4.4,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79
D,41,Pau,4.3,4.3,Aston Villa,82.95,82.95,82.95,82.95,82.95,82.95,82.95,82.95,82.95,72.90,3.31,3.27,4.10,3.04,3.06,3.45,2.86,2.65,2.35,3.22
D,42,A.García,3.9,3.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,44,Bogarde,4.0,4.0,Aston Villa,25.50,15.00,15.00,18.45,18.45,18.45,18.45,18.45,18.45,18.45,1.02,0.54,0.61,0.66,0.66,0.72,0.66,0.61,0.57,0.73
D,45,Sousa,3.9,3.9,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
M,47,Rogers,6.8,6.8,Aston Villa,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,4.20,3.74,4.62,3.58,3.17,4.06,3.77,3.28,2.78,4.08
M,48,Tielemans,5.9,5.9,Aston Villa,0.00,41.55,41.55,81.90,81.90,81.90,81.90,81.90,81.90,81.90,0.00,1.83,2.12,3.40,3.33,3.79,3.61,3.30,3.02,3.84
M,50,Buendía,5.3,5.3,Aston Villa,31.20,37.80,37.80,34.50,34.50,34.50,54.30,54.30,54.30,54.30,1.64,1.78,2.13,1.60,1.44,1.74,2.61,2.34,2.02,2.78
M,52,J.Ramsey,5.3,5.3,Newcastle,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.50,0.73,0.71,0.75,0.81,0.90,0.78,0.79,0.72,0.85,0.82
M,53,Malen,5.1,5.1,Aston Villa,53.70,50.40,50.40,40.50,40.50,40.50,53.70,61.80,61.80,61.80,3.21,2.65,3.20,2.09,1.92,2.32,2.93,2.98,2.58,3.56
M,54,McGinn,5.4,5.4,Aston Villa,73.20,73.20,73.20,74.40,74.40,74.40,73.50,74.40,74.40,74.40,3.20,2.90,3.45,2.85,2.64,3.16,2.94,2.74,2.39,3.15
M,55,Barkley,4.8,4.8,Aston Villa,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,0.82,0.74,0.86,0.74,0.68,0.79,0.76,0.72,0.63,0.79
M,58,Kamara,4.9,4.9,Aston Villa,75.75,69.00,69.00,68.40,68.40,68.40,68.40,68.40,68.40,68.40,2.89,2.54,2.76,2.27,2.45,2.56,2.33,2.28,2.36,2.57
M,59,Onana,4.8,4.8,Aston Villa,67.20,50.55,50.55,27.60,27.60,27.60,27.60,27.60,27.60,27.60,2.95,2.14,2.39,1.07,1.09,1.19,1.10,1.06,1.03,1.18
M,60,Broggio,4.5,4.5,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
M,62,Jimoh-Aloba,4.5,4.5,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,63,Young,4.4,4.4,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
F,64,Watkins,8.5,8.5,Aston Villa,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,4.28,3.91,4.75,3.89,3.26,4.34,4.15,3.59,3.00,4.23
G,67,Petrović,4.5,4.5,Bournemouth,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.10,3.81,3.69,3.66,3.37,2.87,4.21,3.34,3.10,2.84
G,68,Dennis,4.0,4.0,Bournemouth,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03
G,69,McKenna,4.0,4.0,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,72,Senesi,5.0,5.0,Bournemouth,85.95,85.95,85.95,85.95,85.95,85.95,85.95,85.95,85.95,85.95,3.86,4.71,4.32,4.39,3.60,3.33,4.52,3.88,3.55,3.16
D,73,Smith,4.4,4.4,Bournemouth,14.85,14.85,14.85,14.85,14.85,14.85,14.85,14.85,14.85,14.85,0.48,0.55,0.52,0.52,0.49,0.46,0.57,0.49,0.46,0.45
D,74,Truffert,4.5,4.5,Bournemouth,85.95,85.95,85.95,85.95,85.95,85.95,85.95,85.95,85.95,85.95,3.14,4.40,3.95,4.01,3.28,2.67,4.76,3.27,2.85,2.71
D,75,Akinmboni,3.9,3.9,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,76,Bevan,3.9,3.9,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,77,Hill,4.0,4.0,Bournemouth,14.85,14.85,14.85,14.85,14.85,14.85,14.85,14.85,14.85,14.85,0.59,0.64,0.59,0.59,0.58,0.52,0.65,0.57,0.57,0.52
D,78,J.Araujo,3.9,3.9,Bournemouth,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,0.25,0.28,0.27,0.27,0.25,0.24,0.29,0.25,0.24,0.24
D,80,Soler,4.0,4.0,Bournemouth,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,0.22,0.26,0.24,0.24,0.23,0.21,0.27,0.22,0.21,0.21
M,81,Kluivert,7.0,7.0,Bournemouth,52.80,52.80,52.80,52.80,52.80,52.80,69.60,69.60,69.60,69.60,2.65,3.61,2.96,3.04,2.91,2.65,4.59,3.65,3.38,3.02
M,82,Semenyo,8.1,8.1,Bournemouth,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,4.29,5.62,4.69,4.93,4.64,4.19,5.38,4.28,4.20,3.62
M,83,O.Dango,6.0,6.0,Brentford,71.85,71.85,71.85,74.40,71.85,71.85,0.00,0.00,0.00,0.00,3.86,3.67,4.51,2.92,3.59,3.97,0.00,0.00,0.00,0.00
M,84,Tavernier,5.5,5.5,Bournemouth,74.40,74.40,74.40,74.40,74.40,74.40,76.50,76.50,76.50,76.50,3.38,4.13,3.66,3.85,3.57,3.31,4.11,3.51,3.42,3.05
M,85,Adams,5.0,5.0,Bournemouth,81.45,81.45,81.45,81.45,81.45,81.45,81.45,81.45,81.45,81.45,3.37,3.71,3.38,3.60,3.43,3.39,3.12,3.24,3.34,2.72
M,86,Brooks,5.0,5.0,Bournemouth,39.30,39.30,39.30,39.30,39.30,39.30,48.90,48.90,48.90,48.90,1.71,2.12,1.82,1.86,1.81,1.63,2.57,2.16,2.01,1.86
M,87,Christie,5.0,5.0,Bournemouth,21.15,21.15,21.15,21.15,21.15,21.15,21.15,21.15,21.15,21.15,0.98,1.15,1.01,1.06,1.02,1.00,1.03,0.97,0.97,0.83
M,88,Cook,4.9,4.9,Bournemouth,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,0.53,0.60,0.54,0.56,0.55,0.53,0.56,0.52,0.52,0.47
M,90,Scott,5.0,5.0,Bournemouth,68.40,68.40,68.40,68.40,68.40,68.40,68.40,68.40,68.40,68.40,2.82,3.31,2.92,3.08,2.94,2.84,2.97,2.75,2.75,2.35
F,97,Evanilson,7.0,7.0,Bournemouth,71.85,77.85,77.85,77.85,77.85,77.85,77.85,77.85,77.85,77.85,3.42,4.74,3.90,4.03,3.96,3.64,4.55,3.65,3.48,3.17
F,98,Enes Ünal,5.4,5.4,Bournemouth,5.40,5.40,5.40,5.40,5.40,5.40,5.40,5.40,5.40,5.40,0.28,0.36,0.30,0.31,0.30,0.28,0.34,0.29,0.27,0.25
F,100,Kroupi.Jr,4.6,4.6,Bournemouth,26.25,20.10,20.10,20.10,20.10,20.10,20.10,20.10,20.10,20.10,1.31,1.29,1.08,1.12,1.10,1.02,1.25,1.05,1.00,0.93
G,101,Kelleher,4.5,4.5,Brentford,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.58,3.16,4.52,2.82,3.44,3.84,3.91,3.82,3.76,3.68
G,102,Balcombe,4.0,4.0,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,103,Cox,4.0,4.0,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,104,Eyestone,4.0,4.0,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,105,Valdimarsson,3.9,3.9,Brentford,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.03,0.04,0.02,0.03,0.04,0.04,0.03,0.03,0.03
D,106,Collins,4.9,4.9,Brentford,88.95,88.95,88.95,88.95,88.95,88.95,88.95,88.95,88.95,88.95,3.52,3.76,4.38,2.80,3.45,4.29,4.47,4.08,3.57,4.18
D,107,Lewis-Potter,4.9,4.9,Brentford,21.60,21.60,21.60,21.60,21.60,21.60,68.25,68.25,68.25,68.25,0.85,0.78,1.05,0.69,0.80,0.92,3.12,2.83,2.81,2.67
D,108,Ajer,4.4,4.4,Brentford,72.60,72.60,72.60,72.60,72.60,72.60,72.60,72.60,72.60,72.60,2.61,2.16,3.54,1.62,2.33,3.03,3.00,2.75,2.75,2.60
D,109,Henry,4.3,4.3,Brentford,9.30,9.30,9.30,9.30,9.30,9.30,9.30,9.30,9.30,9.30,0.35,0.33,0.38,0.31,0.34,0.36,0.36,0.36,0.35,0.34
D,110,Kayode,4.5,4.5,Brentford,82.65,82.65,82.65,82.65,82.65,82.65,82.65,82.65,82.65,82.65,3.02,2.50,4.02,1.84,2.63,3.51,3.54,3.14,3.16,3.03
D,111,Pinnock,4.3,4.3,Brentford,10.20,10.20,10.20,10.20,10.20,10.20,43.50,43.50,43.50,43.50,0.41,0.42,0.45,0.36,0.40,0.44,2.10,1.93,1.76,2.00
D,113,Van den Berg,4.5,4.5,Brentford,85.20,85.20,85.20,85.20,85.20,85.20,85.20,85.20,85.20,85.20,3.29,3.41,4.22,2.53,3.18,3.91,4.08,3.70,3.39,3.82
D,114,Arthur,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,116,Hickey,4.0,4.0,Brentford,28.20,28.20,28.20,28.20,28.20,28.20,28.20,28.20,28.20,28.20,1.06,0.91,1.44,0.72,0.98,1.22,1.19,1.13,1.14,1.05
M,119,Mbeumo,8.4,8.4,Man Utd,85.35,85.35,85.35,85.35,85.35,85.35,0.00,0.00,0.00,0.00,4.49,5.07,4.24,5.60,4.79,4.93,0.00,0.00,0.00,0.00
M,120,Schade,7.0,7.0,Brentford,83.55,83.55,83.55,75.75,83.55,83.55,77.70,77.70,77.70,77.70,4.07,3.86,4.83,2.86,3.74,4.26,4.09,4.12,4.06,3.70
M,121,Damsgaard,5.8,5.8,Brentford,76.05,76.05,76.05,76.05,76.05,76.05,80.40,80.40,80.40,80.40,3.61,3.63,4.06,2.90,3.44,3.77,4.00,3.79,3.68,3.74
M,122,Milambo,5.3,5.3,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,123,Carvalho,4.9,4.9,Brentford,6.45,6.45,6.45,21.30,6.45,6.45,38.40,38.40,38.40,38.40,0.37,0.35,0.41,0.89,0.34,0.37,2.16,2.20,2.15,1.98
M,124,Henderson,5.0,5.0,Brentford,76.20,76.20,76.20,76.20,76.20,76.20,76.20,76.20,76.20,76.20,2.86,2.73,3.01,2.32,2.76,2.88,2.86,2.81,2.76,2.76
M,125,Janelt,4.9,4.9,Brentford,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,0.92,0.91,0.94,0.81,0.87,0.90,0.91,0.90,0.91,0.88
M,126,Jensen,4.9,4.9,Brentford,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,0.68,0.67,0.72,0.57,0.65,0.69,0.68,0.69,0.67,0.65
M,127,Nunes,4.9,4.9,Brentford,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,0.41,0.39,0.44,0.34,0.38,0.41,0.42,0.41,0.41,0.39
M,128,Onyeka,4.9,4.9,Brentford,10.05,10.05,10.05,10.05,10.05,10.05,0.00,0.00,0.00,0.00,0.40,0.39,0.41,0.34,0.37,0.39,0.00,0.00,0.00,0.00
M,129,Yarmoliuk,5.0,5.0,Brentford,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,3.40,3.28,3.08,2.69,2.98,3.06,3.17,3.06,3.14,3.15
M,130,Donovan,4.5,4.5,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,131,Konak,4.4,4.4,Brentford,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04
M,132,Maghoma,4.5,4.5,Brentford,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0.05,0.04,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.04
M,133,Peart-Harris,4.4,4.4,Brentford,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.03,0.03,0.04,0.02,0.03,0.03,0.03,0.03,0.03,0.03
F,135,Wissa,7.3,7.3,Newcastle,0.00,12.45,22.35,40.80,40.80,40.80,0.00,0.00,0.00,0.00,0.00,0.67,1.25,2.47,2.77,2.35,0.00,0.00,0.00,0.00
F,136,Thiago,6.2,6.2,Brentford,81.30,81.30,81.30,81.30,81.30,81.30,81.15,81.15,81.15,81.15,4.36,4.12,5.15,3.07,4.04,4.41,4.37,4.55,4.55,3.95
F,137,Morgan,4.4,4.4,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,138,Steele,4.3,4.3,Brighton,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.04,0.03,0.04,0.04,0.03,0.04,0.03,0.04,0.04
G,139,Verbruggen,4.4,4.4,Brighton,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,2.59,3.32,3.13,3.20,3.54,2.28,3.77,2.18,3.18,3.91
G,140,McGill,4.0,4.0,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,143,Boscagli,4.3,4.3,Brighton,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,0.13,0.14,0.13,0.14,0.15,0.13,0.15,0.12,0.14,0.15
D,144,Coppola,4.3,4.3,Brighton,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,0.21,0.22,0.21,0.22,0.24,0.20,0.24,0.19,0.22,0.24
D,145,De Cuyper,4.3,4.3,Brighton,74.25,28.50,28.50,28.50,28.50,28.50,28.50,28.50,28.50,28.50,2.56,1.27,1.15,1.21,1.37,0.89,1.41,0.83,1.24,1.46
D,146,Dunk,4.5,4.5,Brighton,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.80,2.82,3.43,3.05,3.29,3.92,2.44,4.00,2.45,3.41,4.17
D,148,F.Kadıoğlu,4.4,4.4,Brighton,77.85,77.85,77.85,77.85,77.85,77.85,77.85,77.85,77.85,77.85,2.50,3.28,2.81,3.11,3.64,1.97,3.82,1.84,3.14,3.98
D,149,Igor,4.5,4.5,West Ham,11.10,8.10,8.10,8.10,0.00,8.10,8.10,8.10,0.00,8.10,0.47,0.28,0.27,0.26,0.00,0.29,0.24,0.29,0.00,0.31
D,151,Van Hecke,4.4,4.4,Brighton,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,3.29,3.84,3.52,3.76,4.41,2.94,4.40,2.90,3.83,4.50
D,152,Veltman,4.3,4.3,Brighton,19.95,47.40,47.40,47.40,47.40,47.40,47.40,47.40,47.40,47.40,0.76,2.16,1.93,2.20,2.24,1.42,2.40,1.31,2.00,2.42
D,153,Webster,4.4,4.4,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,156,Tasker,3.9,3.9,Brighton,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
M,157,Mitoma,6.2,6.2,Brighton,26.85,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,1.31,4.34,3.82,4.05,4.67,3.41,4.50,2.91,4.14,4.72
M,158,Georginio,5.7,5.7,Brighton,77.55,71.70,71.70,71.70,71.70,71.70,71.70,71.70,71.70,71.70,3.73,4.09,3.63,3.77,4.37,3.21,4.24,2.80,3.90,4.42
M,159,March,5.8,5.8,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,160,Minteh,6.0,6.0,Brighton,81.60,81.60,81.60,81.60,81.60,81.60,81.60,81.60,81.60,81.60,3.68,4.33,3.74,4.12,4.57,3.42,4.41,2.92,4.05,4.56
M,162,Gruda,5.4,5.4,Brighton,0.00,35.70,35.70,35.70,35.70,35.70,35.70,35.70,35.70,35.70,0.00,2.04,1.79,1.93,2.17,1.64,2.08,1.43,1.95,2.20
M,163,Hinshelwood,5.1,5.1,Brighton,0.00,26.55,26.55,26.55,26.55,26.55,58.35,58.35,58.35,58.35,0.00,1.10,0.98,1.03,1.10,0.91,2.39,1.69,2.19,2.34
M,166,Ayari,4.9,4.9,Brighton,80.70,80.70,80.70,80.70,80.70,80.70,71.25,71.25,71.25,71.25,3.26,3.77,3.34,3.41,3.93,3.08,3.43,2.45,3.14,3.32
M,167,Baleba,4.7,4.7,Brighton,73.05,63.90,63.90,63.90,63.90,63.90,0.00,0.00,0.00,0.00,3.04,3.04,2.72,2.74,3.08,2.53,0.00,0.00,0.00,0.00
M,168,Buonanotte,4.7,4.7,Chelsea,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,0.30,0.28,0.22,0.24,0.24,0.26,0.23,0.25,0.26,0.22
M,169,Gomez,4.9,4.9,Brighton,72.75,37.50,37.50,37.50,37.50,37.50,42.90,42.90,42.90,42.90,3.17,1.83,1.66,1.72,1.93,1.65,2.19,1.56,2.00,2.14
M,170,Milner,5.0,5.0,Brighton,0.00,12.75,12.75,12.75,12.75,12.75,30.45,30.45,30.45,30.45,0.00,0.57,0.52,0.53,0.59,0.48,1.43,1.04,1.30,1.38
M,172,Watson,4.9,4.9,Brighton,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,0.13,0.15,0.13,0.14,0.15,0.13,0.15,0.11,0.14,0.16
M,173,Wieffer,4.9,4.9,Brighton,73.50,51.45,51.45,51.45,51.45,51.45,51.45,51.45,51.45,51.45,2.92,2.34,2.04,2.20,2.21,1.93,2.36,1.65,2.08,2.19
M,175,Knight,4.5,4.5,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,178,Welbeck,6.5,6.5,Brighton,79.05,64.95,64.95,64.95,64.95,64.95,64.95,64.95,64.95,64.95,4.10,3.91,3.33,3.63,4.17,3.07,3.93,2.62,3.74,4.25
