Pos,ID,Name,BV,SV,Team,31_xMins,32_xMins,33_xMins,34_xMins,35_xMins,36_xMins,37_xMins,38_xMins,31_Pts,32_Pts,33_Pts,34_Pts,35_Pts,36_Pts,37_Pts,38_Pts
M,17,Ødegaard,7.8,7.8,Arsenal,0.00,59.70,119.40,0.00,59.70,59.70,59.70,59.70,0.00,3.35,5.89,0.00,3.27,3.11,3.71,3.02
M,18,Madueke,6.8,6.8,Arsenal,0.00,26.40,52.80,0.00,26.40,26.40,26.40,26.40,0.00,1.67,2.89,0.00,1.66,1.56,1.87,1.50
M,19,Martinelli,6.8,6.8,Arsenal,0.00,19.20,38.40,0.00,19.20,19.20,19.20,19.20,0.00,1.25,2.15,0.00,1.22,1.13,1.37,1.08
M,20,Trossard,6.6,6.6,Arsenal,0.00,60.60,121.20,0.00,60.60,60.60,60.60,60.60,0.00,3.79,6.55,0.00,3.76,3.51,4.23,3.33
M,21,Rice,7.3,7.3,Arsenal,0.00,84.00,168.00,0.00,84.00,84.00,84.00,84.00,0.00,5.14,9.16,0.00,4.88,4.69,5.41,4.59
M,22,Merino,5.4,5.4,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,24,Nørgaard,5.1,5.1,Arsenal,0.00,4.65,9.30,0.00,4.65,4.65,4.65,4.65,0.00,0.20,0.38,0.00,0.19,0.19,0.21,0.19
M,26,Zubimendi,5.1,5.1,Arsenal,0.00,83.25,166.50,0.00,83.25,83.25,83.25,83.25,0.00,3.32,6.25,0.00,3.25,3.15,3.55,3.17
M,27,Nelson,4.8,4.8,Brentford,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,0.22,0.22,0.23,0.20,0.24,0.19,0.23,0.20
F,30,Havertz,7.3,7.3,Arsenal,0.00,25.80,51.60,0.00,25.80,25.80,25.80,25.80,0.00,1.46,2.54,0.00,1.44,1.35,1.61,1.28
F,31,G.Jesus,6.4,6.4,Arsenal,0.00,16.20,32.40,0.00,16.20,16.20,16.20,16.20,0.00,0.97,1.70,0.00,0.99,0.91,1.07,0.86
G,32,Martinez,5.1,5.1,Aston Villa,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.26,3.30,3.93,3.14,3.46,3.76,2.78,2.72
G,33,M.Bizot,4.2,4.2,Aston Villa,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.03,0.04,0.03,0.04,0.04,0.03,0.02
D,36,Cash,4.7,4.7,Aston Villa,64.05,84.00,84.00,84.00,84.00,84.00,84.00,84.00,2.86,3.21,4.23,3.22,3.84,4.05,2.89,2.19
D,37,Digne,4.5,4.5,Aston Villa,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.65,1.08,0.93,1.14,0.96,1.08,1.10,0.90,0.76
D,38,Konsa,4.4,4.4,Aston Villa,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,3.40,3.01,3.95,2.99,3.52,3.78,2.68,2.04
D,39,Maatsen,4.2,4.2,Aston Villa,73.20,73.20,73.20,73.20,73.20,73.20,73.20,73.20,3.83,3.32,4.32,3.38,4.00,4.20,3.08,2.38
D,40,Mings,4.3,4.3,Aston Villa,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,3.23,2.91,3.68,2.90,3.38,3.61,2.66,2.07
D,41,Pau,4.3,4.3,Aston Villa,15.15,15.15,15.15,15.15,15.15,15.15,15.15,15.15,0.62,0.58,0.68,0.57,0.62,0.65,0.54,0.48
D,42,A.García,3.9,3.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,44,Bogarde,4.0,4.0,Aston Villa,36.75,15.60,15.60,15.60,15.60,15.60,15.60,15.60,1.50,0.54,0.62,0.56,0.59,0.61,0.52,0.46
M,47,Rogers,7.5,7.5,Aston Villa,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,4.35,3.81,4.42,3.88,4.46,4.41,3.70,3.27
M,48,Tielemans,5.9,5.9,Aston Villa,10.35,84.00,84.00,84.00,84.00,84.00,84.00,84.00,0.46,3.72,3.99,3.61,4.12,4.06,3.56,3.34
M,49,Bailey,5.5,5.5,Aston Villa,12.90,12.90,12.90,12.90,12.90,12.90,12.90,12.90,0.66,0.61,0.67,0.59,0.68,0.69,0.60,0.53
M,50,Buendía,5.3,5.3,Aston Villa,51.60,38.40,38.40,38.40,38.40,38.40,38.40,38.40,2.84,1.97,2.19,1.96,2.28,2.24,1.96,1.76
M,52,J.Ramsey,5.3,5.3,Newcastle,80.10,26.10,52.20,0.00,26.10,26.10,26.10,26.10,3.62,1.14,2.21,0.00,1.18,1.14,1.25,1.14
M,54,McGinn,5.3,5.3,Aston Villa,75.45,75.45,75.45,75.45,75.45,75.45,75.45,75.45,3.41,3.10,3.51,3.12,3.49,3.53,3.05,2.75
M,55,Barkley,4.8,4.8,Aston Villa,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,0.63,0.59,0.62,0.57,0.65,0.69,0.65,0.52
M,58,Kamara,4.9,4.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,59,Onana,4.8,4.8,Aston Villa,76.05,28.50,28.50,28.50,28.50,28.50,28.50,28.50,2.94,1.12,1.17,1.08,1.21,1.19,1.09,1.05
F,64,Watkins,8.5,8.5,Aston Villa,79.05,79.05,79.05,79.05,79.05,79.05,79.05,79.05,4.53,3.93,4.48,4.02,4.59,4.52,3.92,3.45
G,67,Petrović,4.5,4.5,Bournemouth,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,2.86,2.51,2.77,3.27,3.49,2.94,2.74,3.20
G,69,McKenna,3.9,3.9,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,72,Senesi,5.1,5.1,Bournemouth,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,3.63,3.12,3.54,4.48,4.56,3.81,3.10,3.85
D,73,Smith,4.4,4.4,Bournemouth,22.20,18.90,18.90,18.90,18.90,18.90,18.90,18.90,0.73,0.53,0.60,0.71,0.70,0.64,0.57,0.65
D,74,Truffert,4.6,4.6,Bournemouth,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,3.16,2.62,2.99,4.00,4.06,3.25,2.67,3.36
D,75,Akinmboni,3.8,3.8,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,76,Bevan,3.8,3.8,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,77,Hill,4.2,4.2,Bournemouth,85.20,85.20,85.20,85.20,85.20,85.20,85.20,85.20,3.75,3.23,3.61,4.56,4.57,3.86,3.20,3.95
D,80,Soler,4.0,4.0,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,81,Kluivert,6.9,6.9,Bournemouth,0.00,44.55,44.55,44.55,44.55,44.55,44.55,44.55,0.00,1.83,2.30,2.55,2.64,2.35,2.23,2.26
M,82,Semenyo,8.2,8.2,Man City,0.00,81.60,163.20,0.00,81.60,163.20,81.60,81.60,0.00,4.15,8.75,0.00,4.31,9.93,4.66,4.81
M,83,O.Dango,6.0,6.0,Brentford,79.35,78.75,78.75,78.75,78.75,78.75,78.75,78.75,3.96,4.23,4.40,3.65,4.58,3.41,4.35,3.51
M,84,Tavernier,5.4,5.4,Bournemouth,82.20,81.90,81.90,81.90,81.90,81.90,81.90,81.90,4.31,3.26,4.07,4.46,4.58,4.16,3.89,4.13
M,85,Adams,4.9,4.9,Bournemouth,0.00,74.55,74.55,74.55,74.55,74.55,74.55,74.55,0.00,2.55,2.92,2.81,2.89,2.77,2.80,2.95
M,86,Brooks,5.0,5.0,Bournemouth,27.90,26.55,26.55,26.55,26.55,26.55,26.55,26.55,1.39,1.04,1.28,1.44,1.45,1.33,1.25,1.30
M,87,Christie,4.9,4.9,Bournemouth,74.10,22.35,22.35,22.35,22.35,22.35,22.35,22.35,3.30,0.85,1.00,1.01,1.03,0.98,0.95,1.00
M,88,Cook,4.9,4.9,Bournemouth,0.00,10.05,10.05,10.05,10.05,10.05,10.05,10.05,0.00,0.39,0.43,0.44,0.43,0.43,0.42,0.44
M,90,Scott,5.1,5.1,Bournemouth,81.90,79.80,79.80,79.80,79.80,79.80,79.80,79.80,3.83,3.23,3.80,3.79,3.88,3.67,3.60,3.83
F,97,Evanilson,6.8,6.8,Bournemouth,70.65,70.65,70.65,70.65,70.65,70.65,70.65,70.65,3.31,2.73,3.29,3.61,3.61,3.36,3.21,3.26
F,98,Enes Ünal,5.4,5.4,Bournemouth,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,0.49,0.39,0.49,0.50,0.56,0.49,0.45,0.45
F,100,Kroupi.Jr,4.7,4.7,Bournemouth,55.65,33.00,33.00,33.00,33.00,33.00,33.00,33.00,2.65,1.35,1.64,1.81,1.87,1.68,1.62,1.64
G,101,Kelleher,4.8,4.8,Brentford,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.22,3.54,3.44,2.78,3.37,2.71,3.74,2.56
G,102,Balcombe,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,104,Eyestone,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,105,Valdimarsson,3.9,3.9,Brentford,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03
D,106,Collins,4.9,4.9,Brentford,72.30,39.90,39.90,39.90,39.90,39.90,39.90,39.90,3.39,2.03,1.88,1.58,1.92,1.35,2.05,1.54
D,107,Lewis-Potter,4.8,4.8,Brentford,79.80,33.90,33.90,33.90,33.90,33.90,33.90,33.90,3.25,1.78,1.77,1.32,1.86,1.20,1.82,1.25
D,108,Ajer,4.4,4.4,Brentford,72.00,63.75,63.75,63.75,63.75,63.75,63.75,63.75,3.06,2.97,2.78,2.19,2.83,1.85,3.02,2.13
D,109,Henry,4.3,4.3,Brentford,0.00,75.15,75.15,75.15,75.15,75.15,75.15,75.15,0.00,3.31,3.22,2.23,3.32,1.94,3.37,2.09
D,110,Kayode,4.5,4.5,Brentford,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,3.36,3.83,3.64,2.57,3.73,2.11,3.88,2.40
D,111,Pinnock,4.2,4.2,Brentford,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
D,113,Van den Berg,4.5,4.5,Brentford,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,3.62,3.93,3.66,2.89,3.71,2.40,4.01,2.83
D,116,Hickey,4.0,4.0,Brentford,0.00,20.85,20.85,20.85,20.85,20.85,20.85,20.85,0.00,0.88,0.87,0.69,0.87,0.61,0.89,0.66
M,119,Mbeumo,8.6,8.6,Man Utd,69.30,78.45,78.45,78.45,78.45,78.45,78.45,78.45,4.11,5.01,4.16,5.03,4.41,4.70,5.01,4.38
M,120,Schade,6.9,6.9,Brentford,80.70,80.10,80.10,80.10,80.10,80.10,80.10,80.10,3.87,4.17,4.41,3.58,4.56,3.38,4.38,3.46
M,121,Damsgaard,5.6,5.6,Brentford,61.95,70.80,70.80,70.80,70.80,70.80,70.80,70.80,2.87,3.60,3.62,3.23,3.74,3.07,3.68,3.16
M,122,Milambo,5.2,5.2,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,123,Carvalho,4.7,4.7,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,124,Henderson,5.0,5.0,Brentford,83.25,46.65,46.65,46.65,46.65,46.65,46.65,46.65,2.77,1.71,1.69,1.57,1.70,1.53,1.69,1.54
M,125,Janelt,4.9,4.9,Brentford,0.00,38.25,38.25,38.25,38.25,38.25,38.25,38.25,0.00,1.70,1.72,1.59,1.72,1.57,1.73,1.56
M,126,Jensen,4.9,4.9,Brentford,85.50,77.10,77.10,77.10,77.10,77.10,77.10,77.10,3.32,3.26,3.27,2.90,3.42,2.77,3.33,2.83
M,129,Yarmoliuk,5.0,5.0,Brentford,65.40,57.30,57.30,57.30,57.30,57.30,57.30,57.30,2.38,2.26,2.17,2.13,2.21,2.07,2.22,2.08
M,130,Donovan,4.4,4.4,Brentford,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,0.13,0.16,0.15,0.13,0.17,0.12,0.14,0.13
F,135,Wissa,7.3,7.3,Newcastle,28.20,25.50,51.00,0.00,25.50,25.50,25.50,25.50,1.62,1.37,2.57,0.00,1.45,1.34,1.56,1.37
F,136,Thiago,7.3,7.3,Brentford,83.40,83.40,83.40,83.40,83.40,83.40,83.40,83.40,4.13,4.43,4.71,3.82,4.99,3.55,4.63,3.68
G,138,Steele,4.2,4.2,Brighton,0.90,0.90,1.80,0.00,0.90,0.90,0.90,0.90,0.03,0.04,0.06,0.00,0.03,0.04,0.03,0.03
G,139,Verbruggen,4.5,4.5,Brighton,89.10,89.10,178.20,0.00,89.10,89.10,89.10,89.10,3.09,3.67,6.23,0.00,3.02,3.90,3.26,3.05
G,140,McGill,3.9,3.9,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,143,Boscagli,4.2,4.2,Brighton,5.85,5.85,11.70,0.00,5.85,5.85,5.85,5.85,0.23,0.27,0.47,0.00,0.23,0.28,0.25,0.23
D,145,De Cuyper,4.3,4.3,Brighton,15.75,15.75,31.50,0.00,15.75,15.75,15.75,15.75,0.75,0.88,1.48,0.00,0.70,0.93,0.74,0.73
D,146,Dunk,4.5,4.5,Brighton,84.45,84.45,168.90,0.00,84.45,84.45,84.45,84.45,3.07,3.83,6.19,0.00,2.86,4.06,3.48,3.01
D,148,F.Kadıoğlu,4.4,4.4,Brighton,84.75,84.75,169.50,0.00,84.75,84.75,84.75,84.75,2.92,3.83,6.13,0.00,2.74,4.28,3.28,2.91
D,149,Igor,4.5,4.5,Brighton,3.60,3.60,7.20,0.00,3.60,3.60,3.60,3.60,0.13,0.14,0.26,0.00,0.14,0.15,0.14,0.13
D,151,Van Hecke,4.4,4.4,Brighton,86.70,86.70,173.40,0.00,86.70,86.70,86.70,86.70,3.58,4.39,7.12,0.00,3.40,4.57,3.99,3.47
D,152,Veltman,4.3,4.3,Brighton,24.45,24.45,48.90,0.00,24.45,24.45,24.45,24.45,1.00,1.17,2.04,0.00,0.96,1.23,1.10,0.99
D,153,Webster,4.4,4.4,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,156,Tasker,3.8,3.8,Brighton,0.30,0.30,0.60,0.00,0.30,0.30,0.30,0.30,0.01,0.01,0.02,0.00,0.01,0.01,0.01,0.01
M,157,Mitoma,6.1,6.1,Brighton,54.90,78.45,156.90,0.00,78.45,78.45,78.45,78.45,2.52,4.08,7.34,0.00,3.46,4.40,3.54,3.62
M,158,Georginio,5.6,5.6,Brighton,28.95,28.95,57.90,0.00,28.95,28.95,28.95,28.95,1.40,1.63,2.98,0.00,1.43,1.77,1.42,1.48
M,159,March,5.8,5.8,Brighton,3.00,3.00,6.00,0.00,3.00,3.00,3.00,3.00,0.13,0.15,0.28,0.00,0.15,0.17,0.14,0.13
M,160,Minteh,5.5,5.5,Brighton,51.45,27.90,55.80,0.00,27.90,27.90,27.90,27.90,2.36,1.54,2.80,0.00,1.34,1.62,1.34,1.40
M,163,Hinshelwood,5.1,5.1,Brighton,66.60,66.60,133.20,0.00,66.60,66.60,66.60,66.60,2.30,2.52,4.70,0.00,2.25,2.67,2.32,2.34
M,164,O'Riley,5.5,5.5,Brighton,6.75,6.75,13.50,0.00,6.75,6.75,6.75,6.75,0.32,0.38,0.67,0.00,0.34,0.38,0.34,0.32
M,166,Ayari,4.8,4.8,Brighton,35.10,35.10,70.20,0.00,35.10,35.10,35.10,35.10,1.49,1.68,3.11,0.00,1.56,1.71,1.48,1.53
M,167,Baleba,4.5,4.5,Brighton,40.65,40.65,81.30,0.00,40.65,40.65,40.65,40.65,1.50,1.64,3.11,0.00,1.55,1.68,1.51,1.55
M,168,Buonanotte,4.6,4.6,Leeds United,10.20,10.20,10.20,10.20,10.20,10.20,0.00,10.20,0.54,0.47,0.58,0.51,0.58,0.49,0.00,0.52
M,169,Gomez,4.9,4.9,Brighton,72.15,72.15,144.30,0.00,72.15,72.15,72.15,72.15,3.51,4.10,7.41,0.00,3.56,4.31,3.52,3.66
M,170,Milner,4.9,4.9,Brighton,27.15,27.15,54.30,0.00,27.15,27.15,27.15,27.15,1.08,1.20,2.25,0.00,1.09,1.24,1.09,1.11
M,173,Wieffer,4.9,4.9,Brighton,69.00,69.00,138.00,0.00,69.00,69.00,69.00,69.00,3.22,3.44,6.36,0.00,3.24,3.35,3.41,3.22
F,178,Welbeck,6.1,6.1,Brighton,77.10,77.10,154.20,0.00,77.10,77.10,77.10,77.10,3.84,4.52,8.14,0.00,3.86,4.89,3.88,4.07
F,180,Tzimas,5.2,5.2,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,181,Kostoulas,4.8,4.8,Brighton,16.50,16.50,33.00,0.00,16.50,16.50,16.50,16.50,0.83,0.94,1.71,0.00,0.80,0.97,0.78,0.85
G,182,Trafford,4.5,4.5,Man City,0.00,0.90,1.80,0.00,0.90,1.80,0.90,0.90,0.00,0.03,0.07,0.00,0.04,0.07,0.03,0.04
G,183,Weiss,4.3,4.3,Burnley,0.90,0.90,1.80,0.00,0.90,0.90,0.90,0.90,0.03,0.03,0.05,0.00,0.03,0.03,0.02,0.03
G,185,Hladký,3.9,3.9,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,186,Roberts,4.3,4.3,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,187,Walker,4.4,4.4,Burnley,81.15,81.15,162.30,0.00,81.15,81.15,81.15,81.15,2.02,2.23,3.71,0.00,2.22,2.28,1.44,2.96
D,190,Ekdal,3.8,3.8,Burnley,4.80,4.80,9.60,0.00,4.80,4.80,4.80,4.80,0.18,0.19,0.35,0.00,0.18,0.18,0.17,0.20
D,191,Estève,3.9,3.9,Burnley,87.45,87.45,174.90,0.00,87.45,87.45,87.45,87.45,2.97,3.19,5.41,0.00,3.37,3.16,2.46,3.86
D,192,Hartman,4.0,4.0,Burnley,3.90,3.90,7.80,0.00,3.90,3.90,3.90,3.90,0.14,0.15,0.28,0.00,0.14,0.15,0.13,0.16
D,193,Humphreys,3.9,3.9,Burnley,82.95,82.95,165.90,0.00,82.95,82.95,82.95,82.95,2.52,2.72,4.58,0.00,2.89,2.73,2.05,3.42
D,194,Jordan,3.9,3.9,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,195,Lucas Pires,3.8,3.8,Burnley,71.40,71.40,142.80,0.00,71.40,71.40,71.40,71.40,1.99,2.26,3.64,0.00,2.18,2.22,1.35,2.96
D,198,Tuanzebe,3.9,3.9,Burnley,0.00,12.75,25.50,0.00,12.75,12.75,12.75,12.75,0.00,0.47,0.85,0.00,0.49,0.47,0.41,0.54
D,199,Worrall,3.8,3.8,Burnley,57.90,45.45,90.90,0.00,45.45,45.45,45.45,45.45,2.11,1.78,3.11,0.00,1.88,1.79,1.43,2.11
M,200,Anthony,5.0,5.0,Burnley,75.75,75.75,151.50,0.00,75.75,75.75,75.75,75.75,3.41,3.74,6.73,0.00,3.36,3.69,2.67,4.19
M,202,Bruun Larsen,5.3,5.3,Burnley,6.75,6.75,13.50,0.00,6.75,6.75,6.75,6.75,0.28,0.30,0.59,0.00,0.29,0.31,0.26,0.32
M,203,Boateng,4.7,4.7,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,205,Cullen,4.9,4.9,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,206,Edwards,4.7,4.7,Burnley,62.85,62.85,125.70,0.00,62.85,62.85,62.85,62.85,2.77,3.00,5.37,0.00,2.76,2.94,2.21,3.31
M,207,Hannibal,4.7,4.7,Burnley,58.65,58.65,117.30,0.00,58.65,58.65,58.65,58.65,2.12,2.25,4.16,0.00,2.07,2.23,1.79,2.47
M,209,Laurent,4.8,4.8,Burnley,72.60,72.60,145.20,0.00,72.60,72.60,72.60,72.60,2.22,2.29,4.54,0.00,2.20,2.36,2.01,2.46
M,210,Tchaouna,4.9,4.9,Burnley,18.00,18.00,36.00,0.00,18.00,18.00,18.00,18.00,0.73,0.79,1.45,0.00,0.74,0.78,0.63,0.84
M,214,Trésor,4.3,4.3,Burnley,5.70,5.70,11.40,0.00,5.70,5.70,5.70,5.70,0.23,0.23,0.45,0.00,0.22,0.23,0.21,0.24
F,215,Flemming,5.3,5.3,Burnley,60.15,60.15,120.30,0.00,60.15,60.15,60.15,60.15,2.64,2.84,5.04,0.00,2.55,2.73,2.05,3.08
F,216,Amdouni,4.8,4.8,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,217,Foster,4.9,4.9,Burnley,30.15,30.15,60.30,0.00,30.15,30.15,30.15,30.15,1.28,1.40,2.54,0.00,1.26,1.35,1.06,1.54
F,218,Barnes,4.2,4.2,Burnley,1.50,1.50,3.00,0.00,1.50,1.50,1.50,1.50,0.06,0.07,0.13,0.00,0.06,0.07,0.05,0.07
G,220,Sánchez,4.8,4.8,Chelsea,89.10,45.00,90.00,0.00,45.00,45.00,45.00,45.00,3.19,1.32,2.91,0.00,1.73,1.20,1.63,1.76
G,221,Jörgensen,4.3,4.3,Chelsea,0.00,45.00,90.00,0.00,45.00,45.00,45.00,45.00,0.00,1.38,3.00,0.00,1.76,1.25,1.70,1.78
G,223,Slonina,3.9,3.9,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,224,Cucurella,6.0,6.0,Chelsea,80.55,66.00,132.00,0.00,83.40,83.40,83.40,83.40,3.49,2.17,5.04,0.00,3.81,2.62,3.90,3.81
D,225,James,5.6,5.6,Chelsea,0.00,67.65,135.30,0.00,67.65,67.65,67.65,67.65,0.00,2.46,5.56,0.00,3.45,2.22,3.47,3.30
D,226,Chalobah,5.5,5.5,Chelsea,0.00,0.00,0.00,0.00,85.95,85.95,85.95,85.95,0.00,0.00,0.00,0.00,4.15,3.09,4.24,4.23
D,227,Colwill,4.7,4.7,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,228,Gusto,4.9,4.9,Chelsea,69.30,42.90,85.80,0.00,42.90,42.90,42.90,42.90,3.05,1.53,3.43,0.00,2.04,1.40,2.09,2.03
D,229,B.Badiashile,4.4,4.4,Chelsea,11.25,11.25,22.50,0.00,11.25,11.25,11.25,11.25,0.53,0.44,0.98,0.00,0.54,0.45,0.54,0.53
D,230,Fofana,4.4,4.4,Chelsea,71.40,63.60,127.20,0.00,43.95,43.95,43.95,43.95,3.59,2.38,5.59,0.00,2.14,1.76,2.20,2.23
D,231,M.Sarr,4.5,4.5,Chelsea,36.90,28.50,57.00,0.00,7.05,7.05,7.05,7.05,1.65,0.97,2.27,0.00,0.31,0.26,0.31,0.30
D,232,Tosin,4.0,4.0,Chelsea,34.65,22.35,44.70,0.00,14.25,14.25,14.25,14.25,1.77,0.89,2.05,0.00,0.67,0.59,0.69,0.69
D,233,Acheampong,3.7,3.7,Chelsea,36.00,27.75,55.50,0.00,7.05,7.05,7.05,7.05,1.71,1.03,2.35,0.00,0.33,0.28,0.33,0.33
M,235,Palmer,10.6,10.6,Chelsea,80.40,80.40,160.80,0.00,80.40,80.40,80.40,80.40,4.85,4.62,9.74,0.00,5.46,4.29,5.84,5.05
M,236,Neto,7.0,7.0,Chelsea,77.10,77.10,154.20,0.00,77.10,77.10,77.10,77.10,3.81,3.52,7.43,0.00,4.09,3.29,4.28,3.90
M,237,Enzo,6.6,6.6,Chelsea,84.00,84.00,168.00,0.00,84.00,84.00,84.00,84.00,4.06,3.84,7.94,0.00,4.41,3.57,4.66,4.12
