Pos,ID,Name,BV,SV,Team,35_xMins,36_xMins,37_xMins,38_xMins,35_Pts,36_Pts,37_Pts,38_Pts
M,358,Tanaka,4.8,4.8,Leeds United,79.50,75.75,55.20,55.20,4.30,3.29,2.41,2.40
F,362,Piroe,4.9,4.9,Leeds United,1.50,1.50,1.50,1.50,0.10,0.08,0.08,0.08
F,365,Nmecha,5.0,5.0,Leeds United,18.15,18.15,18.15,18.15,1.42,1.01,1.05,1.06
G,366,A.Becker,5.4,5.4,Liverpool,45.00,89.10,89.10,89.10,1.39,3.18,3.28,3.37
G,367,Mamardashvili,4.1,4.1,Liverpool,0.00,0.90,0.90,0.90,0.00,0.03,0.03,0.03
G,368,Pécsi,3.8,3.8,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,369,Woodman,3.9,3.9,Liverpool,45.00,0.00,0.00,0.00,1.37,0.00,0.00,0.00
D,370,Frimpong,5.7,5.7,Liverpool,61.35,68.40,61.35,61.35,2.31,3.10,2.68,3.06
D,371,Kerkez,5.6,5.6,Liverpool,29.25,53.40,53.40,53.40,1.10,2.30,2.24,2.55
D,372,Robertson,5.7,5.7,Liverpool,64.95,40.20,40.20,40.20,2.30,1.74,1.67,1.90
D,373,Virgil,6.2,6.2,Liverpool,87.45,87.45,87.45,87.45,3.44,3.61,3.79,4.31
D,374,Konaté,5.5,5.5,Liverpool,83.85,83.85,83.85,83.85,3.15,3.41,3.53,4.03
D,375,Bradley,4.9,4.9,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,376,Gomez,4.9,4.9,Liverpool,18.45,18.45,18.45,18.45,0.72,0.77,0.76,0.85
D,378,Nallo,3.7,3.7,Liverpool,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01
D,379,R.Williams,3.7,3.7,Liverpool,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01
D,380,Ramsay,3.7,3.7,Liverpool,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01
M,381,M.Salah,14.0,14.0,Liverpool,0.00,45.15,79.05,79.05,0.00,3.04,4.63,5.36
M,382,Wirtz,8.3,8.3,Liverpool,80.70,77.85,77.70,77.70,4.12,4.54,4.05,4.55
M,384,Gakpo,7.3,7.3,Liverpool,79.05,75.75,75.75,75.75,4.08,4.40,3.89,4.46
M,385,Chiesa,6.3,6.3,Liverpool,2.70,2.70,2.70,2.70,0.15,0.16,0.14,0.15
M,386,Mac Allister,6.2,6.2,Liverpool,81.15,61.05,59.85,59.85,3.18,2.44,2.31,2.48
M,387,Szoboszlai,7.1,7.1,Liverpool,86.85,86.85,86.85,86.85,4.46,4.57,4.30,4.59
M,388,C.Jones,5.4,5.4,Liverpool,76.35,55.20,31.80,31.80,3.58,2.57,1.45,1.55
M,389,Elliott,5.1,5.1,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,390,Gravenberch,5.4,5.4,Liverpool,83.25,83.25,83.25,83.25,2.99,3.06,3.13,3.17
M,391,Gannon-Doak,4.8,4.8,Bournemouth,10.95,10.95,10.95,10.95,0.58,0.56,0.50,0.54
M,392,Endo,4.9,4.9,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,393,Bajcetic,4.2,4.2,Liverpool,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.02
M,396,Nyoni,4.3,4.3,Liverpool,0.30,0.30,0.30,0.30,0.01,0.02,0.01,0.02
F,398,Danns,4.3,4.3,Liverpool,0.30,0.30,0.30,0.30,0.02,0.02,0.01,0.02
G,400,Ortega Moreno,4.7,4.7,Nott'm Forest,1.80,1.80,1.80,1.80,0.05,0.06,0.06,0.06
G,401,Bettinelli,3.8,3.8,Man City,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,402,Aït-Nouri,5.7,5.7,Man City,63.30,99.00,49.50,49.50,3.65,5.94,2.49,2.80
D,403,Gvardiol,5.8,5.8,Man City,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,405,Aké,5.2,5.2,Man City,9.75,19.50,9.75,9.75,0.46,0.93,0.43,0.45
D,406,Khusanov,5.4,5.4,Man City,79.20,134.70,67.35,67.35,4.07,7.03,3.03,3.33
D,407,Matheus N.,5.3,5.3,Man City,80.85,161.70,80.85,80.85,4.02,8.38,3.51,3.94
D,408,Rúben,5.5,5.5,Man City,32.25,88.20,44.10,44.10,1.53,4.24,1.83,2.01
D,409,Stones,5.4,5.4,Man City,3.00,6.00,3.00,3.00,0.12,0.24,0.11,0.12
D,410,Lewis,4.6,4.6,Man City,1.50,3.00,1.50,1.50,0.07,0.14,0.06,0.06
D,411,O'Reilly,5.2,5.2,Man City,81.15,162.30,81.15,81.15,4.62,10.01,4.12,4.74
M,413,Marmoush,8.3,8.3,Man City,18.00,36.00,18.00,18.00,1.21,2.62,1.17,1.26
M,414,Foden,8.0,8.0,Man City,16.65,33.30,16.65,16.65,1.08,2.40,1.06,1.11
M,415,Savinho,6.9,6.9,Man City,18.00,36.00,18.00,18.00,0.97,2.17,0.97,1.00
M,416,Bernardo,6.2,6.2,Man City,75.60,151.20,75.60,75.60,3.29,6.88,3.14,3.34
M,417,Cherki,6.5,6.5,Man City,74.70,149.40,74.70,74.70,4.89,10.72,4.72,5.07
M,418,Doku,6.4,6.4,Man City,54.15,108.30,54.15,54.15,2.98,6.43,2.90,3.05
M,419,Grealish,6.3,6.3,Everton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,421,Rodrigo,6.3,6.3,Man City,36.00,159.00,79.50,79.50,1.84,8.15,3.97,4.08
M,422,Kovačić,5.8,5.8,Man City,3.00,6.00,3.00,3.00,0.12,0.25,0.12,0.12
M,423,N.Gonzalez,5.9,5.9,Man City,39.00,25.20,12.60,12.60,1.64,1.00,0.50,0.50
M,424,Bobb,5.1,5.1,Fulham,35.40,35.40,35.40,35.40,1.34,1.67,1.72,1.66
M,426,McAtee,5.0,5.0,Nott'm Forest,8.25,8.25,8.25,8.25,0.37,0.40,0.35,0.39
M,427,Reijnders,5.0,5.0,Man City,15.45,30.90,15.45,15.45,0.84,1.83,0.82,0.88
M,428,Nypan,5.0,5.0,Man City,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,430,Haaland,14.6,14.6,Man City,83.55,167.10,83.55,83.55,6.11,13.81,5.95,6.45
G,431,Bayindir,4.7,4.7,Man Utd,0.90,0.90,0.90,0.90,0.03,0.03,0.04,0.03
G,434,Heaton,3.8,3.8,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,435,Mee,3.9,3.9,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,436,De Ligt,4.9,4.9,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,437,Martinez,4.8,4.8,Man Utd,0.00,80.55,80.55,80.55,0.00,3.57,3.58,2.91
D,438,Mazraoui,4.9,4.9,Man Utd,20.85,20.85,20.85,20.85,0.79,0.89,0.85,0.79
D,439,D.Leon,4.1,4.1,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,440,Dalot,4.6,4.6,Man Utd,81.90,81.90,81.90,81.90,3.17,3.77,3.85,3.08
D,441,Dorgu,4.1,4.1,Man Utd,18.30,18.30,18.30,18.30,0.84,0.90,0.89,0.80
D,442,Maguire,4.4,4.4,Man Utd,83.25,79.80,79.80,79.80,3.27,3.69,3.73,3.05
D,443,Shaw,4.5,4.5,Man Utd,81.75,81.75,81.75,81.75,2.74,3.39,3.44,2.80
D,444,Yoro,4.1,4.1,Man Utd,32.85,23.40,23.40,23.40,1.22,1.05,1.05,0.93
D,446,Fredricson,3.7,3.7,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,447,Heaven,3.7,3.7,Man Utd,78.60,9.60,9.60,9.60,3.03,0.35,0.37,0.36
D,448,Malacia,3.7,3.7,Man Utd,0.60,0.60,0.60,0.60,0.02,0.02,0.02,0.02
M,449,B.Fernandes,10.4,10.4,Man Utd,87.60,87.60,87.60,87.60,5.80,5.72,6.03,5.11
M,450,Cunha,8.1,8.1,Man Utd,37.80,81.60,81.60,81.60,2.17,4.52,4.75,4.07
M,452,Amad,6.2,6.2,Man Utd,70.20,64.35,64.35,64.35,3.49,3.28,3.41,2.95
M,453,Garnacho,6.4,6.4,Chelsea,53.10,53.10,53.10,53.10,3.04,2.54,3.04,2.84
M,455,Mount,5.9,5.9,Man Utd,12.45,12.45,12.45,12.45,0.66,0.61,0.67,0.62
M,456,Sancho,5.8,5.8,Aston Villa,21.15,21.15,21.15,21.15,1.03,1.12,0.99,0.86
M,457,Casemiro,5.8,5.8,Man Utd,81.75,81.75,81.75,81.75,4.30,4.28,4.48,3.99
M,458,Mainoo,4.7,4.7,Man Utd,80.70,80.70,80.70,80.70,3.22,3.19,3.41,3.06
M,459,Ugarte,4.7,4.7,Man Utd,18.15,18.15,18.15,18.15,0.73,0.71,0.73,0.69
M,461,Fitzgerald,4.3,4.3,Man Utd,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01
M,462,J.Fletcher,4.3,4.3,Man Utd,1.20,1.20,1.20,1.20,0.05,0.06,0.06,0.05
F,466,Zirkzee,5.8,5.8,Man Utd,3.00,3.00,3.00,3.00,0.17,0.15,0.17,0.16
F,467,Obi,4.2,4.2,Man Utd,0.60,0.60,0.60,0.60,0.03,0.03,0.03,0.03
G,469,Pope,5.0,5.0,Newcastle,81.00,81.00,81.00,81.00,2.80,2.73,3.01,2.64
G,470,Dúbravka,4.0,4.0,Burnley,89.10,89.10,89.10,89.10,2.28,2.74,2.02,3.28
G,471,Gillespie,3.9,3.9,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,473,Hall,5.4,5.4,Newcastle,59.10,59.10,59.10,59.10,2.40,2.32,2.77,2.36
D,474,Schär,5.2,5.2,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,475,Botman,4.9,4.9,Newcastle,78.60,78.60,78.60,78.60,3.39,3.36,3.83,3.44
D,476,Burn,5.0,5.0,Newcastle,70.05,70.05,70.05,70.05,2.78,2.75,3.09,2.81
D,477,Livramento,4.9,4.9,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,478,Trippier,4.9,4.9,Newcastle,47.25,47.25,47.25,47.25,1.82,1.76,2.13,1.80
D,479,Krafth,4.3,4.3,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,481,A.Murphy,3.8,3.8,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,483,Pivas,3.8,3.8,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,485,Gordon,7.4,7.4,Newcastle,27.90,60.30,60.30,60.30,1.67,3.47,4.09,3.50
M,486,Elanga,6.5,6.5,Newcastle,45.75,39.60,39.60,39.60,2.25,1.90,2.13,1.89
M,487,Barnes,6.1,6.1,Newcastle,56.40,63.30,63.30,63.30,2.84,3.08,3.52,3.08
M,488,Bruno G.,6.8,6.8,Newcastle,78.45,78.45,78.45,78.45,3.81,3.70,4.04,3.61
M,489,J.Murphy,5.9,5.9,Newcastle,31.65,25.05,25.05,25.05,1.60,1.23,1.41,1.25
M,490,Joelinton,5.9,5.9,Newcastle,58.20,58.20,58.20,58.20,2.31,2.42,2.47,2.27
M,491,Tonali,5.3,5.3,Newcastle,77.10,77.10,77.10,77.10,3.03,3.07,3.27,2.92
M,493,Longstaff,4.8,4.8,Leeds United,54.90,24.30,13.95,12.75,3.06,1.14,0.66,0.57
M,494,Willock,5.0,5.0,Newcastle,23.55,23.55,23.55,23.55,1.09,1.07,1.17,1.05
M,497,L.Miley,4.4,4.4,Newcastle,65.70,65.70,65.70,65.70,2.66,2.62,2.84,2.67
F,499,Isak,10.3,10.3,Liverpool,72.15,72.15,70.95,70.95,4.15,4.55,3.86,4.38
F,500,Osula,5.4,5.4,Newcastle,64.20,36.45,36.45,36.45,3.12,1.72,1.99,1.74
F,501,Neave,4.3,4.3,Newcastle,0.30,0.30,0.30,0.30,0.02,0.02,0.02,0.02
G,502,Sels,4.6,4.6,Nott'm Forest,88.20,88.20,88.20,88.20,2.70,3.20,2.93,3.16
D,505,Milenković,5.1,5.1,Nott'm Forest,87.45,87.45,87.45,87.45,2.68,3.55,2.99,3.62
D,506,Murillo,5.2,5.2,Nott'm Forest,36.30,82.05,82.05,82.05,1.30,3.56,3.06,3.65
D,507,Aina,4.7,4.7,Nott'm Forest,74.85,83.25,83.25,83.25,2.18,3.26,2.65,3.31
D,508,N.Williams,4.8,4.8,Nott'm Forest,83.10,83.10,83.10,83.10,2.53,3.50,2.77,3.52
D,510,Jair Cunha,4.2,4.2,Nott'm Forest,18.00,8.40,8.40,8.40,0.67,0.35,0.32,0.36
D,511,Morato,4.3,4.3,Nott'm Forest,48.60,9.60,9.60,9.60,1.87,0.46,0.42,0.48
D,513,Abbott,3.8,3.8,Nott'm Forest,9.45,1.50,1.50,1.50,0.33,0.06,0.06,0.06
D,514,Boly,3.8,3.8,Nott'm Forest,0.60,0.60,0.60,0.60,0.02,0.02,0.02,0.02
M,515,Gibbs-White,7.6,7.6,Nott'm Forest,81.75,81.75,81.75,81.75,3.57,4.45,3.60,4.25
M,516,Hudson-Odoi,5.7,5.7,Nott'm Forest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,517,Anderson,5.6,5.6,Nott'm Forest,85.50,85.50,85.50,85.50,4.07,4.63,4.18,4.58
M,519,Dominguez,5.0,5.0,Nott'm Forest,76.80,46.50,46.50,46.50,3.08,2.17,1.96,2.13
M,521,Sangaré,4.9,4.9,Nott'm Forest,27.90,82.95,82.95,82.95,0.94,3.19,2.94,3.15
M,522,Yates,4.7,4.7,Nott'm Forest,28.95,12.00,12.00,12.00,1.16,0.54,0.44,0.50
M,523,Da Silva Moreira,4.5,4.5,Nott'm Forest,0.60,0.60,0.60,0.60,0.02,0.03,0.03,0.03
F,525,Wood,7.1,7.1,Nott'm Forest,47.10,45.00,45.00,45.00,2.31,2.63,2.17,2.54
F,526,Igor Jesus,5.9,5.9,Nott'm Forest,73.50,65.40,65.40,65.40,3.06,3.30,2.79,3.21
F,527,Awoniyi,5.2,5.2,Nott'm Forest,15.45,15.45,15.45,15.45,0.71,0.86,0.73,0.81
G,529,Moore,3.9,3.9,Sunderland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,531,Ballard,4.7,4.7,Sunderland,83.85,83.85,83.85,83.85,4.85,3.82,4.37,3.70
D,532,Hume,4.5,4.5,Sunderland,65.10,65.10,65.10,65.10,3.07,2.27,2.55,2.31
D,535,Cirkin,4.0,4.0,Sunderland,6.90,6.90,6.90,6.90,0.28,0.24,0.25,0.24
D,539,O'Nien,4.0,4.0,Sunderland,1.50,1.50,1.50,1.50,0.05,0.06,0.05,0.05
D,541,Reinildo,3.8,3.8,Sunderland,73.95,73.95,73.95,73.95,3.11,2.28,2.69,2.26
M,544,Diarra,5.3,5.3,Sunderland,74.85,74.85,74.85,74.85,3.54,3.08,2.92,3.00
M,546,Aleksić,4.9,4.9,Sunderland,0.90,0.90,0.90,0.90,0.04,0.03,0.03,0.04
M,547,E.Le Fée,4.8,4.8,Sunderland,81.15,81.15,81.15,81.15,4.05,3.54,3.50,3.43
M,548,Mundle,4.9,4.9,Sunderland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,550,Poveda,4.7,4.7,Sunderland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,551,Rigg,4.7,4.7,Sunderland,13.35,13.35,13.35,13.35,0.58,0.52,0.50,0.52
M,552,Sadiki,4.9,4.9,Sunderland,83.25,83.25,83.25,83.25,2.86,2.57,2.58,2.51
M,553,Talbi,4.9,4.9,Sunderland,37.80,37.80,37.80,37.80,1.92,1.67,1.60,1.67
M,554,Ba,4.3,4.3,Sunderland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,557,H.Jones,4.3,4.3,Sunderland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,560,Isidor,5.0,5.0,Sunderland,15.45,15.45,15.45,15.45,0.82,0.82,0.70,0.80
F,561,Mayenda,5.2,5.2,Sunderland,9.75,9.75,9.75,9.75,0.49,0.44,0.42,0.44
F,562,Abdullahi,4.2,4.2,Sunderland,0.60,0.60,0.60,0.60,0.04,0.03,0.03,0.03
G,565,Vicario,4.7,4.7,Spurs,0.00,18.00,89.10,89.10,0.00,0.66,2.87,3.43
G,566,Austin,3.9,3.9,Spurs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,567,Kinsky,3.9,3.9,Spurs,89.10,72.00,0.90,0.90,3.28,2.70,0.03,0.03
D,568,Pedro Porro,5.2,5.2,Spurs,82.50,82.50,82.50,82.50,3.59,4.41,2.95,4.34
D,569,Romero,5.0,5.0,Spurs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,570,Danso,4.2,4.2,Spurs,81.60,81.60,81.60,81.60,3.84,4.41,3.19,4.47
D,571,Davies,4.3,4.3,Spurs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,572,Dragusin,4.5,4.5,Spurs,8.55,8.55,8.55,8.55,0.38,0.41,0.34,0.41
D,573,Spence,4.1,4.1,Spurs,73.50,34.95,34.95,34.95,2.46,1.49,1.09,1.49
D,574,Udogie,4.3,4.3,Spurs,25.50,68.40,68.40,68.40,0.95,2.94,1.98,2.95
D,575,Van de Ven,4.4,4.4,Spurs,86.70,86.70,86.70,86.70,3.02,3.72,2.40,3.69
M,580,Johnson,6.5,6.5,Crystal Palace,58.65,117.30,58.65,58.65,2.44,4.82,2.49,2.23
M,581,Maddison,6.8,6.8,Spurs,9.60,9.60,9.60,9.60,0.48,0.53,0.45,0.51
M,582,Kudus,6.4,6.4,Spurs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,583,Kulusevski,6.4,6.4,Spurs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,584,Tel,6.2,6.2,Spurs,76.05,64.80,61.65,61.65,3.84,3.79,2.92,3.38
M,585,Bentancur,5.2,5.2,Spurs,73.05,73.05,73.05,73.05,3.21,3.16,2.96,3.28
M,586,Bergvall,5.2,5.2,Spurs,48.45,48.45,48.45,48.45,1.77,1.87,1.65,1.85
M,587,Bissouma,5.2,5.2,Spurs,63.60,63.60,63.60,63.60,2.39,2.33,2.19,2.46
M,588,Odobert,5.3,5.3,Spurs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,591,Gray,4.8,4.8,Spurs,25.05,25.05,25.05,25.05,0.91,0.96,0.87,0.94
M,593,P.M.Sarr,4.5,4.5,Spurs,28.50,28.50,28.50,28.50,1.28,1.32,1.20,1.29
M,595,Olusesi,4.3,4.3,Spurs,0.30,0.30,0.30,0.30,0.01,0.02,0.01,0.01
F,596,Solanke,7.2,7.2,Spurs,0.00,40.05,82.65,82.65,0.00,2.33,3.87,4.53
F,597,Richarlison,6.3,6.3,Spurs,76.50,59.40,30.30,30.30,4.08,3.47,1.45,1.65
G,600,Areola,4.2,4.2,West Ham,0.90,0.90,0.90,0.90,0.03,0.03,0.03,0.03
D,603,Diouf,4.1,4.1,West Ham,84.75,84.75,84.75,84.75,2.87,2.54,2.74,3.46
D,605,Kilman,4.1,4.1,West Ham,3.00,3.00,3.00,3.00,0.11,0.11,0.11,0.11
D,606,Mavropanos,4.5,4.5,West Ham,82.95,82.95,82.95,82.95,3.75,3.35,3.62,4.31
D,608,Scarles,4.3,4.3,West Ham,7.35,7.35,7.35,7.35,0.32,0.30,0.30,0.34
D,609,Todibo,4.3,4.3,West Ham,19.65,19.65,19.65,19.65,0.69,0.63,0.68,0.75
D,610,Wan-Bissaka,4.1,4.1,West Ham,24.75,24.75,24.75,24.75,0.91,0.85,0.89,1.00
M,613,Souček,5.7,5.7,West Ham,77.10,77.10,77.10,77.10,3.17,2.89,3.17,3.26
M,614,Ward-Prowse,5.6,5.6,Burnley,49.50,49.50,49.50,49.50,2.06,2.26,1.84,2.48
M,615,Summerville,5.5,5.5,West Ham,79.20,79.20,79.20,79.20,3.68,3.31,3.62,3.93
M,623,Potts,4.3,4.3,West Ham,25.05,25.05,25.05,25.05,0.92,0.85,0.92,0.93
F,624,Bowen,7.8,7.8,West Ham,87.60,87.60,87.60,87.60,4.26,3.77,4.03,4.44
G,627,Johnstone,4.4,4.4,Wolves,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,628,José Sá,4.2,4.2,Wolves,0.00,0.00,72.00,72.00,0.00,0.00,2.31,2.70
G,629,Bentley,3.9,3.9,Wolves,89.10,89.10,18.00,18.00,3.08,2.44,0.57,0.63
G,630,King,3.9,3.9,Everton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,632,Doherty,4.4,4.4,Wolves,32.70,12.45,12.45,12.45,1.41,0.44,0.51,0.58
D,633,H.Bueno,4.3,4.3,Wolves,81.60,77.55,77.55,77.55,3.25,2.12,2.86,3.42
D,634,Mosquera,4.3,4.3,Wolves,79.20,79.20,79.20,79.20,3.02,2.13,2.75,3.35
D,635,R.Gomes,4.4,4.4,Wolves,21.30,13.65,13.65,13.65,1.04,0.51,0.63,0.70
D,636,S.Bueno,4.4,4.4,Wolves,82.95,82.95,82.95,82.95,3.48,2.42,3.21,3.82
D,637,Toti,4.2,4.2,Wolves,72.00,23.25,23.25,23.25,2.72,0.70,0.84,0.93
D,640,Pedro Lima,4.0,4.0,Wolves,58.80,58.80,58.80,58.80,2.54,1.72,2.38,2.74
M,642,Hee Chan,5.6,5.6,Wolves,31.80,31.80,31.80,31.80,1.58,1.39,1.59,1.68
M,643,André,5.2,5.2,Wolves,78.45,78.45,78.45,78.45,2.94,2.82,2.86,3.24
M,644,Bellegarde,5.1,5.1,Wolves,54.00,54.00,54.00,54.00,2.26,1.98,2.19,2.36
M,646,J.Gomes,5.3,5.3,Wolves,78.45,78.45,78.45,78.45,3.22,3.02,3.13,3.53
M,651,Edozie,4.3,4.3,Wolves,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,652,Gonzalez,4.3,4.3,Wolves,0.60,0.60,0.60,0.60,0.03,0.02,0.03,0.03
F,654,Strand Larsen,5.9,5.9,Crystal Palace,56.10,112.20,56.10,56.10,2.45,4.78,2.47,2.21
F,657,Chiwome,4.4,4.4,Wolves,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,658,Fraser,4.2,4.2,Wolves,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.02
D,659,Walker-Peters,4.2,4.2,West Ham,74.55,74.55,74.55,74.55,2.78,2.48,2.66,3.41
M,660,Stach,4.8,4.8,Leeds United,73.50,80.70,80.70,80.70,4.82,4.01,3.94,3.93
F,661,Ekitiké,9.1,9.1,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,662,Mosquera,5.3,5.3,Arsenal,46.50,14.10,14.10,14.10,2.27,0.60,0.71,0.67
G,664,Lecomte,3.9,3.9,Fulham,0.90,0.90,0.90,0.90,0.03,0.03,0.03,0.03
G,665,Perri,4.4,4.4,Leeds United,0.90,0.90,0.90,0.90,0.04,0.03,0.03,0.03
F,666,Gyökeres,8.8,8.8,Arsenal,74.70,61.20,61.20,61.20,4.26,3.35,4.12,3.16
D,667,Aznou,4.2,4.2,Everton,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01
M,668,Xhaka,5.1,5.1,Sunderland,76.35,76.35,76.35,76.35,3.43,3.09,3.13,2.97
M,669,Ndoye,5.5,5.5,Nott'm Forest,9.45,21.45,21.45,21.45,0.41,1.03,0.92,1.02
G,670,Roefs,4.8,4.8,Sunderland,89.10,89.10,89.10,89.10,3.73,3.24,3.33,3.31
F,671,Wilson,5.8,5.8,West Ham,15.45,15.45,15.45,15.45,0.77,0.72,0.79,0.83
D,672,Hato,4.6,4.6,Chelsea,36.90,36.90,36.90,36.90,1.67,1.22,1.69,1.69
M,673,J.Palhinha,5.5,5.5,Spurs,23.25,23.25,23.25,23.25,0.95,0.94,0.88,0.94
G,674,Ramsdale,4.8,4.8,Newcastle,9.00,9.00,9.00,9.00,0.29,0.29,0.32,0.30
G,675,Gunn,4.0,4.0,Nott'm Forest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,676,Ugochukwu,5.0,5.0,Burnley,63.90,63.90,63.90,63.90,1.97,2.10,1.78,2.41
M,677,Guessand,6.2,6.2,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,679,Hermansen,4.2,4.2,West Ham,89.10,89.10,89.10,89.10,2.83,2.69,3.06,3.39
F,680,Broja,5.2,5.2,Burnley,15.30,15.30,15.30,15.30,0.66,0.74,0.60,0.86
F,681,Šeško,7.3,7.3,Man Utd,75.75,48.45,48.45,48.45,4.00,2.57,2.69,2.36
D,682,Møller Wolfe,4.2,4.2,Wolves,5.10,5.10,5.10,5.10,0.20,0.18,0.21,0.21
D,683,Alderete,4.1,4.1,Sunderland,83.85,83.85,83.85,83.85,4.44,3.45,3.99,3.36
D,684,Thiaw,5.0,5.0,Newcastle,84.75,84.75,84.75,84.75,3.49,3.43,3.95,3.53
D,685,Diakité,4.1,4.1,Bournemouth,7.35,7.35,7.35,7.35,0.30,0.27,0.25,0.27
M,686,Ngumoha,4.3,4.3,Liverpool,36.15,30.45,29.25,29.25,1.87,1.72,1.50,1.68
M,687,Rees-Dottin,4.3,4.3,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,688,Wright,3.9,3.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,689,Seung soo,4.3,4.3,Newcastle,0.30,0.30,0.30,0.30,0.02,0.02,0.02,0.02
M,690,Cardines,4.4,4.4,Crystal Palace,1.20,2.40,1.20,1.20,0.04,0.09,0.04,0.05
F,691,Calvert-Lewin,5.7,5.7,Leeds United,81.90,81.90,81.90,81.90,5.49,3.83,3.96,4.03
D,692,Leoni,4.9,4.9,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,693,Hutchinson,5.4,5.4,Nott'm Forest,77.55,73.05,73.05,73.05,3.22,3.64,3.08,3.55
D,694,Mukiele,4.6,4.6,Sunderland,82.95,82.95,82.95,82.95,4.07,3.03,3.44,2.99
D,695,Tchatchoua,4.4,4.4,Wolves,27.30,23.70,23.70,23.70,1.11,0.72,0.92,1.02
M,697,Adli,5.4,5.4,Bournemouth,52.50,21.15,21.15,21.15,3.04,1.13,1.01,1.11
M,698,Okafor,5.6,5.6,Leeds United,35.70,52.80,52.80,52.80,2.33,2.51,2.62,2.60
M,699,Douglas Luiz,4.9,4.9,Aston Villa,55.80,18.00,18.00,18.00,2.52,0.90,0.78,0.68
M,700,Dowman,4.2,4.2,Arsenal,8.10,8.10,8.10,8.10,0.45,0.43,0.51,0.42
M,702,Burrowes,4.3,4.3,Aston Villa,0.90,0.90,0.90,0.90,0.05,0.05,0.04,0.04
G,703,Proctor,3.9,3.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,706,Justin,3.9,3.9,Leeds United,84.00,84.00,80.25,80.25,4.80,3.22,3.39,3.30
M,707,Dibling,5.3,5.3,Everton,12.45,12.45,12.45,12.45,0.53,0.60,0.57,0.54
M,708,M.Fernandes,5.5,5.5,West Ham,83.25,83.25,83.25,83.25,3.51,3.15,3.57,3.49
D,709,Krejčí,4.5,4.5,Wolves,0.00,84.75,84.75,84.75,0.00,2.51,3.27,3.94
