Pos,ID,Name,BV,SV,Team,38_xMins,38_Pts
D,636,S.Bueno,4.4,4.4,Wolves,83.85,3.69
D,637,Toti,4.2,4.2,Wolves,19.50,0.76
D,640,Pedro Lima,4.0,4.0,Wolves,24.30,1.14
M,642,Hee Chan,5.6,5.6,Wolves,69.00,3.34
M,643,André,5.2,5.2,Wolves,83.25,3.36
M,644,Bellegarde,5.1,5.1,Wolves,32.10,1.42
M,646,J.Gomes,5.3,5.3,Wolves,83.25,3.69
M,651,Edozie,4.3,4.3,Wolves,0.00,0.00
M,652,Gonzalez,4.3,4.3,Wolves,0.60,0.03
F,654,Strand Larsen,5.8,5.8,Crystal Palace,45.90,2.12
F,657,Chiwome,4.4,4.4,Wolves,0.00,0.00
F,658,Fraser,4.2,4.2,Wolves,0.30,0.02
D,659,Walker-Peters,4.2,4.2,West Ham,33.00,1.69
M,660,Stach,4.8,4.8,Leeds United,0.00,0.00
F,661,Ekitiké,9.0,9.0,Liverpool,0.00,0.00
D,662,Mosquera,5.3,5.3,Arsenal,70.80,3.18
G,664,Lecomte,3.9,3.9,Fulham,0.90,0.03
G,665,Perri,4.4,4.4,Leeds United,4.50,0.12
F,666,Gyökeres,9.1,9.1,Arsenal,58.65,3.15
D,667,Aznou,4.2,4.2,Everton,0.30,0.01
M,668,Xhaka,5.1,5.1,Sunderland,83.25,3.49
M,669,Ndoye,5.5,5.5,Nott'm Forest,21.45,0.97
G,670,Roefs,4.8,4.8,Sunderland,89.10,2.93
F,671,Wilson,5.8,5.8,West Ham,29.25,1.83
D,672,Hato,4.6,4.6,Chelsea,36.90,1.58
M,673,J.Palhinha,5.5,5.5,Spurs,79.50,3.42
G,674,Ramsdale,4.8,4.8,Newcastle,9.00,0.26
G,675,Gunn,4.0,4.0,Nott'm Forest,0.00,0.00
M,676,Ugochukwu,5.0,5.0,Burnley,73.80,2.94
M,677,Guessand,6.2,6.2,Crystal Palace,24.45,1.13
G,679,Hermansen,4.2,4.2,West Ham,89.10,3.38
F,680,Broja,5.2,5.2,Burnley,15.30,0.84
F,681,Šeško,7.2,7.2,Man Utd,10.95,0.57
D,682,Møller Wolfe,4.2,4.2,Wolves,71.40,3.03
D,683,Alderete,4.1,4.1,Sunderland,26.70,1.14
D,684,Thiaw,4.9,4.9,Newcastle,84.75,3.14
D,685,Diakité,4.1,4.1,Bournemouth,9.90,0.40
M,686,Ngumoha,4.3,4.3,Liverpool,45.00,2.61
M,687,Rees-Dottin,4.3,4.3,Bournemouth,0.00,0.00
G,688,Wright,3.9,3.9,Aston Villa,0.00,0.00
M,689,Seung soo,4.3,4.3,Newcastle,0.30,0.02
M,690,Cardines,4.4,4.4,Crystal Palace,1.20,0.04
F,691,Calvert-Lewin,5.8,5.8,Leeds United,81.90,3.68
D,692,Leoni,4.9,4.9,Liverpool,0.00,0.00
M,693,Hutchinson,5.4,5.4,Nott'm Forest,60.15,2.77
D,694,Mukiele,4.6,4.6,Sunderland,84.45,3.09
D,695,Tchatchoua,4.4,4.4,Wolves,6.00,0.24
M,697,Adli,5.4,5.4,Bournemouth,18.00,1.01
M,698,Okafor,5.5,5.5,Leeds United,0.00,0.00
M,699,Douglas Luiz,4.9,4.9,Aston Villa,71.70,2.90
M,700,Dowman,4.2,4.2,Arsenal,27.45,1.41
M,702,Burrowes,4.3,4.3,Aston Villa,0.90,0.04
G,703,Proctor,3.9,3.9,Aston Villa,0.00,0.00
D,706,Justin,4.0,4.0,Leeds United,85.35,2.95
M,707,Dibling,5.3,5.3,Everton,6.75,0.31
M,708,M.Fernandes,5.5,5.5,West Ham,83.55,3.71
D,709,Krejčí,4.5,4.5,Wolves,80.55,3.55
D,710,Patterson,3.9,3.9,Aston Villa,0.30,0.01
M,711,Harriman-Annous,4.4,4.4,Arsenal,0.30,0.02
M,712,Yeremy,5.8,5.8,Crystal Palace,44.10,2.04
D,713,A.Jimenez,4.5,4.5,Bournemouth,0.00,0.00
F,714,Woltemade,6.7,6.7,Newcastle,76.35,3.56
G,715,John,4.0,4.0,Nott'm Forest,0.30,0.01
D,716,Savona,4.5,4.5,Nott'm Forest,0.00,0.00
M,717,Xavi,6.3,6.3,Spurs,0.00,0.00
M,718,S.Magassa,5.0,5.0,West Ham,18.90,0.73
D,719,Lindelöf,4.5,4.5,Aston Villa,24.30,0.68
F,720,Tolu,5.1,5.1,Wolves,32.70,1.63
D,721,Milosavljević,4.4,4.4,Bournemouth,7.05,0.32
M,722,Florentino,5.0,5.0,Burnley,74.55,3.10
D,723,Canvot,4.5,4.5,Crystal Palace,81.30,3.37
D,724,Geertruida,4.5,4.5,Sunderland,81.60,2.96
D,725,Hincapie,5.1,5.1,Arsenal,66.30,3.29
F,726,Kolo Muani,6.9,6.9,Spurs,34.35,1.75
M,727,Chukwueze,5.3,5.3,Fulham,32.55,1.85
M,728,Röhl,5.0,5.0,Everton,70.65,2.83
F,730,Brobbey,5.3,5.3,Sunderland,79.35,3.69
M,731,Kevin,5.7,5.7,Fulham,38.25,1.89
F,732,Uche,5.5,5.5,Crystal Palace,5.70,0.30
G,733,Lammens,5.1,5.1,Man Utd,89.10,2.61
M,734,Bakwa,5.9,5.9,Nott'm Forest,44.55,1.88
M,735,Traoré,5.5,5.5,Sunderland,13.95,0.66
G,736,Donnarumma,5.6,5.6,Man City,72.00,2.73
F,737,Kusi-Asare,4.5,4.5,Fulham,3.00,0.16
G,738,Fabianski,4.5,4.5,West Ham,0.00,0.00
M,742,McAidoo,4.5,4.5,Man City,0.30,0.01
M,743,Emenalo,4.5,4.5,Chelsea,0.00,0.00
M,744,Oriola,4.5,4.5,Brighton,0.00,0.00
D,745,Byfield,4.0,4.0,Spurs,0.00,0.00
M,746,Morrison,4.5,4.5,Liverpool,0.00,0.00
D,747,Mayers,4.0,4.0,West Ham,1.50,0.06
M,748,Dasilva,4.9,4.9,Brentford,9.00,0.37
F,749,Mané,4.2,4.2,Wolves,79.80,2.93
D,750,Rowswell,4.0,4.0,Spurs,0.00,0.00
D,752,Golambeckis,4.0,4.0,West Ham,0.00,0.00
G,753,Ruddy,4.0,4.0,Newcastle,0.00,0.00
M,754,George Hemmings,4.5,4.5,Aston Villa,1.50,0.06
M,755,Lacey,4.5,4.5,Man Utd,1.50,0.07
M,756,DaCosta,4.5,4.5,Bournemouth,0.30,0.01
G,757,Hollingshead,4.0,4.0,Aston Villa,0.00,0.00
M,758,Mohamadou Kanté,4.5,4.5,West Ham,12.00,0.46
D,759,Salmon,4.0,4.0,Arsenal,16.80,0.93
D,760,Lucky,4.0,4.0,Liverpool,0.30,0.01
D,761,Simmonds,4.0,4.0,Brighton,0.30,0.01
M,762,Drakes-Thomas,4.5,4.5,Crystal Palace,1.20,0.05
M,763,Gray,4.5,4.5,Man City,0.30,0.01
M,764,Heskey,4.5,4.5,Man City,0.30,0.02
D,765,Shahar,4.0,4.0,Newcastle,0.00,0.00
D,766,Olagunju,4.0,4.0,Wolves,0.30,0.01
M,767,Rawlings,4.5,4.5,Wolves,0.00,0.00
D,768,Leon Routh,4.0,4.0,Aston Villa,0.30,0.01
M,769,Bendito Mantato,4.5,4.5,Man Utd,0.00,0.00
M,770,Ridgeon,4.5,4.5,Fulham,0.30,0.01
M,771,Fletcher,4.4,4.4,Man Utd,0.30,0.01
M,772,Alabi,4.5,4.5,Newcastle,0.00,0.00
D,773,Benamar,4.0,4.0,Crystal Palace,0.00,0.00
D,774,Jenson Jones,4.0,4.0,Sunderland,0.00,0.00
M,776,Pimlott,4.5,4.5,Burnley,0.00,0.00
M,778,Sutherland,4.5,4.5,Wolves,0.00,0.00
F,779,Graham,4.5,4.5,Everton,0.00,0.00
F,780,Casey,4.5,4.5,Crystal Palace,0.30,0.01
D,781,Carroll,4.0,4.0,Aston Villa,0.30,0.01
G,782,Forster,4.0,4.0,Bournemouth,0.00,0.00
M,783,Groß,5.6,5.6,Brighton,85.35,4.23
M,784,Brierley,4.5,4.5,Burnley,0.00,0.00
F,785,Pablo,5.4,5.4,West Ham,69.30,2.99
G,786,McNally,4.0,4.0,Fulham,0.00,0.00
M,787,Chambers,4.4,4.4,Leeds United,0.00,0.00
D,788,Kukonki,4.0,4.0,Man Utd,0.00,0.00
G,789,Merrick,4.0,4.0,Chelsea,0.00,0.00
M,790,Williams-Barnett,4.5,4.5,Spurs,0.00,0.00
F,791,Taty,5.5,5.5,West Ham,76.20,4.13
M,792,Alysson,5.0,5.0,Aston Villa,0.00,0.00
D,793,King,4.0,4.0,Crystal Palace,0.00,0.00
D,794,Alleyne,3.9,3.9,Man City,3.75,0.15
M,795,Howell,4.5,4.5,Brighton,3.75,0.21
M,796,Gallagher,5.0,5.0,Spurs,78.45,3.63
F,797,Furo,4.5,4.5,Brentford,6.00,0.30
M,799,Stevens,4.5,4.5,Bournemouth,0.30,0.01
M,800,Jocelin.T,4.9,4.9,Sunderland,13.80,0.62
M,801,Tóth.A,4.9,4.9,Bournemouth,13.35,0.61
M,802,Lamadrid,5.0,5.0,West Ham,1.50,0.08
G,803,Sharman-Lowe,4.0,4.0,Chelsea,0.00,0.00
D,804,Souza,4.0,4.0,Spurs,1.50,0.05
F,805,Lucca,5.3,5.3,Nott'm Forest,6.00,0.31
G,806,Mandas,4.0,4.0,Bournemouth,0.90,0.03
M,807,Rayan,5.4,5.4,Bournemouth,72.60,4.09
F,808,Abraham,5.7,5.7,Aston Villa,69.90,3.11
M,809,Abbey,4.5,4.5,Wolves,0.00,0.00
M,810,Bentt,4.5,4.5,Brentford,0.00,0.00
M,811,Kyerematen,4.5,4.5,Spurs,0.30,0.01
G,812,Ellborg,4.0,4.0,Sunderland,0.90,0.03
M,813,Angulo,5.0,5.0,Sunderland,64.80,2.77
D,814,Netz,4.5,4.5,Nott'm Forest,44.25,1.50
D,815,Disasi,4.5,4.5,West Ham,84.75,3.67
M,816,Angel,4.6,4.6,Wolves,32.70,1.52
F,817,Armstrong,5.1,5.1,Wolves,74.85,3.46
F,818,Wilson,4.5,4.5,Spurs,0.90,0.04
D,819,Shield,4.0,4.0,Brentford,0.00,0.00
M,820,McMahon-Brown,4.5,4.5,Burnley,0.00,0.00
M,821,Whittaker,4.5,4.5,Sunderland,0.00,0.00
M,822,Jones,4.5,4.5,Sunderland,0.00,0.00
D,823,Stephenson,4.0,4.0,Brentford,0.00,0.00
D,824,McManus,4.0,4.0,Brentford,0.00,0.00
G,825,Herrick,4.0,4.0,West Ham,0.00,0.00
M,826,Owen,4.5,4.5,Brentford,0.00,0.00
M,827,Thwaites,4.5,4.5,Man Utd,0.00,0.00
G,828,Brooks,4.0,4.0,Wolves,0.00,0.00
M,829,Derry,4.5,4.5,Chelsea,0.00,0.00
F,830,Wright,4.5,4.5,Liverpool,0.00,0.00
G,831,Gracey,4.0,4.0,Wolves,0.00,0.00
D,832,Ndiaye,4.0,4.0,Liverpool,0.00,0.00
M,833,Eboué,4.5,4.5,Chelsea,0.00,0.00
M,834,Kavuma-McQueen,4.5,4.5,Chelsea,0.00,0.00
M,835,Whitehall,4.5,4.5,Nott'm Forest,0.00,0.00
M,836,Sinclair,4.5,4.5,Nott'm Forest,0.00,0.00
D,837,Lienou,4.0,4.0,Leeds United,0.00,0.00
M,838,Chadwick,4.5,4.5,Leeds United,0.00,0.00
M,839,Cresswell,4.5,4.5,Leeds United,0.00,0.00
F,840,Mheuka,4.5,4.5,Chelsea,0.00,0.00
