Pos,Name,BV,SV,Team,37_xMins,37_Pts,38_xMins,38_Pts
F,Wood,6.4,6.4,Burnley,71,3.352,72,4.679
D,Lowton,4.4,4.4,Burnley,86,1.471,83,3.422
F,Vydra,4.8,4.8,Burnley,53,2.32,53,3.066
D,Gibson,3.9,3.9,Burnley,0,0,0,0
M,Brady,5.0,5.0,Burnley,0,0,0,0
G,Pope,5.5,5.5,Burnley,89,3.21,88,3.92
D,Taylor,4.4,4.4,Burnley,81,1.349,81,3.23
M,Brownhill,4.9,4.9,Burnley,76,2.336,73,2.847
G,Peacock-Farrell,4.0,4.0,Burnley,0,0,1,0.043
M,McNeil,5.7,5.7,Burnley,83,2.615,81,3.283
G,Caballero,4.6,4.6,Chelsea,0,0,0,0
D,Azpilicueta,5.9,5.9,Chelsea,51,2.235,56,2.479
F,Giroud,6.7,6.7,Chelsea,2,0.127,3,0.202
D,Alonso,5.7,5.7,Chelsea,46,2.37,43,2.27
M,Jorginho,4.7,4.7,Chelsea,46,1.952,45,1.997
M,Barkley,5.8,5.8,Aston Villa,42,1.863,39,1.688
M,Kovacic,5.3,5.3,Chelsea,63,2.104,63,2.161
F,Batshuayi,5.7,5.7,Crystal Palace,5,0.236,6,0.25
D,Rüdiger,4.7,4.7,Chelsea,69,2.915,73,3.112
D,Zouma,5.3,5.3,Chelsea,38,1.669,39,1.733
D,Emerson,4.7,4.7,Chelsea,0,0,0,0
G,Arrizabalaga,4.7,4.7,Chelsea,1,0.044,1,0.044
M,Kanté,4.9,4.9,Chelsea,32,1.079,33,1.139
M,Ziyech,7.9,7.9,Chelsea,43,2.41,44,2.626
M,Loftus-Cheek,5.9,5.9,Fulham,59,2.005,57,2.509
D,Christensen,4.7,4.7,Chelsea,64,2.622,60,2.473
F,Werner,9.2,9.2,Chelsea,67,3.572,64,3.655
F,Abraham,7.1,7.1,Chelsea,8,0.486,9,0.578
M,Pulisic,8.3,8.3,Chelsea,50,2.847,54,3.252
M,Mount,7.3,7.3,Chelsea,66,3.261,65,3.396
D,Tomori,4.7,4.7,Chelsea,0,0,0,0
M,Hudson-Odoi,5.7,5.7,Chelsea,15,0.748,15,0.783
D,James,5.1,5.1,Chelsea,68,3.162,67,3.19
M,Gilmour,4.3,4.3,Chelsea,7,0.252,6,0.221
D,Cahill,4.5,4.5,Crystal Palace,44,1.23,44,0.691
G,Hennessey,4.3,4.3,Crystal Palace,0,0,0,0
D,Sakho,4.4,4.4,Crystal Palace,0,0,0,0
G,Guaita,4.8,4.8,Crystal Palace,88,3.252,88,3.041
D,Tomkins,4.4,4.4,Crystal Palace,31,0.851,31,0.458
M,McArthur,5.2,5.2,Crystal Palace,37,1.183,60,1.66
M,McCarthy,4.3,4.3,Crystal Palace,10,0.32,9,0.268
F,Benteke,5.5,5.5,Crystal Palace,72,3.199,70,2.628
M,Kouyaté,4.8,4.8,Crystal Palace,73,2.071,72,1.868
D,Ward,4.3,4.3,Crystal Palace,79,2.077,79,1.115
D,Kelly,4.1,4.1,Crystal Palace,0,0,0,0
F,Wickham,4.4,4.4,Crystal Palace,0,0,0,0
M,Townsend,5.5,5.5,Crystal Palace,38,1.581,39,1.41
M,Milivojevic,5.6,5.6,Crystal Palace,76,2.49,73,2.085
D,van Aanholt,5.4,5.4,Crystal Palace,9,0.289,13,0.249
F,Ayew,5.6,5.6,Crystal Palace,51,2.025,48,1.697
M,Zaha,7.2,7.2,Crystal Palace,78,3.3,77,2.743
M,Schlupp,5.3,5.3,Crystal Palace,47,1.747,43,1.423
M,Meyer,4.7,4.7,Crystal Palace,0,0,0,0
M,Riedewald,4.4,4.4,Crystal Palace,43,1.365,40,1.169
D,Ferguson,3.8,3.8,Crystal Palace,0,0,0,0
D,Mitchell,3.8,3.8,Crystal Palace,76,1.964,72,0.999
M,Pierrick,4.3,4.3,Crystal Palace,0,0,0,0
M,Walcott,5.8,5.8,Southampton,45,2.006,48,1.871
M,Delph,4.8,4.8,Everton,8,0.262,11,0.311
M,Sigurdsson,6.9,6.9,Everton,64,3.452,62,2.325
G,Lössl,4.3,4.3,Everton,0,0,0,0
D,Coleman,4.9,4.9,Everton,43,2.054,44,0.925
F,Tosun,6.0,6.0,Everton,0,0,0,0
M,Bernard,5.7,5.7,Everton,14,0.626,18,0.621
D,Digne,6.2,6.2,Everton,81,4.183,78,1.738
D,Keane,5.0,5.0,Everton,74,3.297,75,1.473
G,Pickford,4.8,4.8,Everton,87,3.92,87,3.081
M,André Gomes,5.3,5.3,Everton,22,0.782,24,0.697
M,Iwobi,5.9,5.9,Everton,31,1.336,32,1.081
D,Kenny,4.3,4.3,Everton,0,0,0,0
M,Gbamin,5.0,5.0,Everton,0,0,0,0
D,Mina,5.5,5.5,Everton,39,1.728,37,0.722
M,Davies,5.2,5.2,Everton,34,1.255,32,0.941
F,Calvert-Lewin,7.6,7.6,Everton,79,4.536,77,3.01
D,Holgate,4.8,4.8,Everton,68,2.898,66,1.201
F,Richarlison,7.8,7.8,Everton,77,4.094,74,2.73
G,Virgínia,4.3,4.3,Everton,0,0,0,0
M,Gordon,4.3,4.3,Everton,0,0,0,0
F,Kean,5.7,5.7,Everton,0,0,0,0
D,Branthwaite,3.9,3.9,Everton,0,0,0,0
G,Fabri,3.9,3.9,Fulham,1,0.036,0,0
M,McDonald,4.7,4.7,Fulham,0,0,0,0
D,Le Marchand,4.1,4.1,Fulham,0,0,0,0
M,Johansen,4.7,4.7,Fulham,0,0,0,0
M,Cairney,5.2,5.2,Fulham,29,0.942,45,1.857
D,Ream,4.2,4.2,Fulham,1,0.021,1,0.035
M,Knockaert,5.0,5.0,Fulham,0,0,0,0
D,Hector,4.1,4.1,Fulham,0,0,1,0.037
D,Christie,4.2,4.2,Fulham,0,0,0,0
M,Kebano,4.7,4.7,Fulham,0,0,0,0
F,Decordova-Reid,5.3,5.3,Fulham,57,2.008,57,2.561
D,Bryan,4.5,4.5,Fulham,1,0.023,2,0.084
G,Bettinelli,4.3,4.3,Fulham,0,0,0,0
F,Mitrović,5.5,5.5,Fulham,35,1.501,37,2.216
D,Mawson,4.3,4.3,Fulham,0,0,0,0
G,Rodák,4.3,4.3,Fulham,0,0,0,0
M,Cavaleiro,5.3,5.3,Fulham,62,2.366,60,3.183
M,Onomah,4.6,4.6,Fulham,11,0.38,10,0.422
M,Seri,4.6,4.6,Fulham,0,0,0,0
M,Kamara,4.8,4.8,Fulham,0,0,0,0
M,Anguissa,4.4,4.4,Fulham,52,1.507,53,1.833
D,Sessegnon,4.3,4.3,Fulham,0,0,0,0
M,Hernández,5.7,5.7,Leeds,5,0.256,6,0.357
G,Casilla,4.1,4.1,Leeds,0,0,1,0.043
D,Cooper,4.3,4.3,Leeds,40,1.223,40,1.724
D,Douglas,3.8,3.8,Leeds,0,0,0,0
D,Ayling,4.4,4.4,Leeds,83,2.607,82,3.643
M,Klich,5.2,5.2,Leeds,51,2.098,50,2.406
M,Forshaw,4.8,4.8,Leeds,0,0,0,0
D,Dallas,5.3,5.3,Leeds,81,2.803,80,3.932
D,Alioski,4.3,4.3,Leeds,72,2.376,72,3.393
F,Bamford,6.4,6.4,Leeds,76,4.879,76,5.809
M,Harrison,5.4,5.4,Leeds,75,3.323,73,3.77
M,Phillips,4.9,4.9,Leeds,80,2.408,79,2.763
M,Costa,5.0,5.0,Leeds,0,0,0,0
M,Roberts,4.6,4.6,Leeds,44,1.818,46,2.178
M,Grot,4.7,4.7,Leeds,0,0,0,0
G,Miazek,4.0,4.0,Leeds,0,0,0,0
M,Poveda-Ocampo,4.2,4.2,Leeds,12,0.485,15,0.681
M,Shackleton,4.8,4.8,Leeds,2,0.072,4,0.161
D,Struijk,4.0,4.0,Leeds,50,1.545,52,2.256
M,Stevens,4.3,4.3,Leeds,0,0,0,0
G,Meslier,4.7,4.7,Leeds,89,3.501,88,3.884
D,Davis,3.8,3.8,Leeds,0,0,1,0.04
D,Casey,3.8,3.8,Leeds,1,0.03,1,0.041
D,Morgan,4.4,4.4,Leicester,0,0,0,0
G,Schmeichel,5.4,5.4,Leicester,88,3.337,88,3.508
D,Fuchs,4.5,4.5,Leicester,0,0,0,0
D,Evans,5.6,5.6,Leicester,65,1.712,66,2.052
M,Silva,4.4,4.4,Leicester,0,0,0,0
M,Albrighton,5.2,5.2,Leicester,54,1.835,53,2.044
M,James,4.3,4.3,Leicester,0,0,0,0
G,Ward,4.3,4.3,Leicester,1,0.038,0,0
F,Vardy,10.2,10.2,Leicester,82,3.645,81,4.551
M,Praet,5.2,5.2,Leicester,15,0.538,18,0.711
D,Pereira,5.9,5.9,Leicester,36,1.124,36,1.369
D,Amartey,3.9,3.9,Leicester,8,0.223,8,0.258
M,Tielemans,6.4,6.4,Leicester,83,2.677,83,3.066
M,Pérez,6.0,6.0,Leicester,49,2.049,52,2.586
M,Gray,5.1,5.1,Leicester,0,0,0,0
M,Maddison,7.3,7.3,Leicester,68,2.77,66,3.297
D,Chilwell,5.9,5.9,Chelsea,42,2.063,45,2.258
F,Iheanacho,6.3,6.3,Leicester,76,3.619,74,4.454
M,Choudhury,4.6,4.6,Leicester,5,0.15,7,0.223
M,Barnes,6.6,6.6,Leicester,0,0,0,0
M,Ndidi,4.8,4.8,Leicester,82,2.133,81,2.274
D,Benkovic,4.3,4.3,Leicester,0,0,0,0
D,Söyüncü,5.3,5.3,Leicester,81,2.09,80,2.441
D,Justin,4.8,4.8,Leicester,0,0,0,0
D,Thomas,4.1,4.1,Leicester,32,0.923,27,0.917
M,Milner,5.3,5.3,Liverpool,31,1.414,33,1.588
D,Tsimikas,4.9,4.9,Liverpool,3,0.15,5,0.273
M,Wijnaldum,5.3,5.3,Liverpool,66,2.696,62,2.656
M,Henderson,5.4,5.4,Liverpool,0,0,34,1.375
G,Adrián,4.2,4.2,Liverpool,0,0,0,0
D,Matip,5.4,5.4,Liverpool,0,0,0,0
M,Shaqiri,6.4,6.4,Liverpool,8,0.433,8,0.453
M,Chamberlain,6.3,6.3,Liverpool,4,0.173,5,0.224
F,Firmino,9.0,9.0,Liverpool,55,3.314,56,3.493
D,van Dijk,6.2,6.2,Liverpool,0,0,0,0
M,Mané,11.7,11.7,Liverpool,77,6.039,75,6.259
G,Alisson,5.9,5.9,Liverpool,88,4.035,88,4.293
M,Fabinho,5.4,5.4,Liverpool,80,2.601,72,2.497
M,Salah,12.7,12.4,Liverpool,73,6.771,72,7.09
D,Robertson,7.1,7.1,Liverpool,85,4.573,83,4.922
F,Origi,5.1,5.1,Liverpool,12,0.775,11,0.734
M,Harry Wilson,5.1,5.1,Liverpool,0,0,0,0
M,Minamino,6.0,6.0,Southampton,21,0.99,18,0.745
D,Alexander-Arnold,7.6,7.4,Liverpool,84,4.944,83,5.408
D,Gomez,5.2,5.2,Liverpool,0,0,0,0
M,Keita,5.2,5.2,Liverpool,1,0.051,2,0.107
F,Brewster,4.2,4.2,Sheffield Utd,44,1.965,43,2.01
M,Jones,4.4,4.4,Liverpool,20,0.956,12,0.601
D,Neco Williams,3.8,3.8,Liverpool,3,0.131,2,0.096
M,Elliott,4.3,4.3,Liverpool,0,0,0,0
D,Fernandinho,5.4,5.4,Man City,39,1.9,36,1.816
G,Bravo,4.5,4.5,Man City,0,0,0,0
F,Agüero,10.3,10.3,Man City,41,2.743,39,2.85
D,Otamendi,4.9,4.9,Man City,0,0,0,0
D,Walker,6.1,6.1,Man City,17,0.815,19,0.938
M,Gündogan,5.6,5.6,Man City,54,3.046,45,2.757
M,De Bruyne,11.8,11.8,Man City,24,1.631,37,2.726
D,Stones,5.1,5.1,Man City,58,2.778,56,2.741
D,Mendy,5.9,5.9,Man City,33,1.62,34,1.724
M,Mahrez,8.0,8.0,Man City,45,2.932,47,3.301
M,Sterling,11.0,11.0,Man City,58,3.616,57,3.846
D,Cancelo,5.8,5.8,Man City,45,2.364,50,2.732
G,Ederson,6.1,6.1,Man City,89,4.221,87,4.128
D,Aké,5.4,5.4,Man City,39,1.902,35,1.76
D,Laporte,6.0,6.0,Man City,55,2.566,54,2.585
M,Bernardo Silva,7.4,7.4,Man City,62,2.885,62,3.069
F,Jesus,9.1,9.1,Man City,65,3.704,62,3.852
D,Zinchenko,5.5,5.5,Man City,32,1.642,34,1.8
M,Foden,6.0,6.0,Man City,51,3.17,51,3.41
M,Doyle,4.4,4.4,Man City,0,0,0,0
M,Rodrigo,5.3,5.3,Man City,77,2.901,77,3.049
M,Torres,6.9,6.9,Man City,33,1.847,30,1.812
D,Garcia,4.7,4.7,Man City,0,0,0,0
G,Romero,4.9,4.9,Man Utd,0,0,0,0
M,Mata,5.8,5.8,Man Utd,15,0.812,11,0.551
G,de Gea,5.3,5.3,Man Utd,28,1.317,26,1.148
D,Smalling,4.9,4.9,Man Utd,0,0,0,0
F,Ighalo,6.1,6.1,Man Utd,0,0,0,0
D,Rojo,4.8,4.8,Man Utd,0,0,0,0
M,Matic,4.7,4.7,Man Utd,22,0.764,21,0.696
M,Pogba,7.6,7.6,Man Utd,59,3.067,56,2.667
D,Jones,4.8,4.8,Man Utd,0,0,0,0
D,Maguire,5.6,5.6,Man Utd,0,0,0,0
M,Fred,5.3,5.3,Man Utd,69,2.399,68,2.215
D,Shaw,5.5,5.5,Man Utd,82,4.024,79,3.399
M,Lingard,6.6,6.4,West Ham,69,4.02,68,3.902
M,Fernandes,11.5,11.1,Man Utd,79,6.236,78,5.491
F,Martial,8.6,8.6,Man Utd,0,0,23,1.291
M,Pereira,4.8,4.8,Man Utd,0,0,0,0
G,Henderson,5.2,5.2,Man Utd,61,2.905,63,2.822
M,Rashford,9.6,9.6,Man Utd,74,4.886,70,4.194
D,Tuanzebe,4.1,4.1,Man Utd,17,0.798,17,0.717
D,Lindelöf,4.8,4.8,Man Utd,85,3.933,84,3.465
M,McTominay,4.9,4.9,Man Utd,69,2.806,68,2.572
D,Bailly,4.8,4.8,Man Utd,76,3.422,77,3.058
M,James,6.2,6.2,Man Utd,22,1.139,29,1.386
D,Fosu-Mensah,4.3,4.3,Man Utd,0,0,0,0
D,Wan-Bissaka,5.7,5.7,Man Utd,86,4.306,85,3.773
D,Dalot,4.8,4.8,Man Utd,0,0,0,0
M,Greenwood,7.2,7.2,Man Utd,65,3.79,61,3.26
M,Chong,4.4,4.4,Man Utd,0,0,0,0
M,Garner,4.4,4.4,Man Utd,0,0,0,0
D,Williams,4.2,4.2,Man Utd,4,0.186,4,0.165
D,Mengi,3.9,3.9,Man Utd,0,0,0,0
F,Carroll,5.1,5.1,Newcastle,9,0.533,11,0.54
M,Shelvey,5.3,5.3,Newcastle,82,3.174,81,2.647
M,Ritchie,4.9,4.9,Newcastle,78,3.523,64,2.439
D,Fernández,4.7,4.7,Newcastle,82,3.623,67,2.104
D,Clark,4.5,4.5,Newcastle,72,3.18,42,1.339
G,Darlow,4.9,4.9,Newcastle,0,0,0,0
G,Dubravka,4.8,4.8,Newcastle,88,3.933,88,3.474
D,Lejeune,4.3,4.3,Newcastle,0,0,0,0
D,Lascelles,4.2,4.2,Newcastle,0,0,36,1.064
F,Gayle,5.9,5.9,Newcastle,27,1.624,28,1.395
M,Atsu,5.2,5.2,Newcastle,0,0,0,0
D,Dummett,4.4,4.4,Newcastle,78,3.074,61,1.773
D,Manquillo,4.2,4.2,Newcastle,6,0.238,4,0.119
D,Krafth,4.2,4.2,Newcastle,31,1.303,12,0.375
D,Schär,4.8,4.8,Newcastle,0,0,72,2.102
D,Yedlin,4.3,4.3,Newcastle,0,0,0,0
M,Hayden,4.6,4.6,Newcastle,0,0,0,0
M,Aarons,4.8,4.8,Newcastle,0,0,0,0
M,Saint-Maximin,5.1,5.1,Newcastle,73,4.555,71,3.533
M,Almirón,5.6,5.6,Newcastle,70,3.567,72,2.98
F,Joelinton,5.7,5.7,Newcastle,71,3.69,68,2.91
F,Muto,4.8,4.8,Newcastle,0,0,0,0
D,Watts,3.9,3.9,Newcastle,0,0,0,0
F,Sharp,5.5,5.5,Sheffield Utd,0,0,0,0
F,McGoldrick,5.2,5.2,Sheffield Utd,71,3.223,70,3.331
D,Basham,4.6,4.6,Sheffield Utd,77,1.982,76,2.236
M,Fleck,5.6,5.6,Sheffield Utd,73,2.28,69,2.263
D,Stevens,5.0,5.0,Sheffield Utd,83,2.419,80,2.665
G,Moore,4.3,4.3,Sheffield Utd,0,0,0,0
M,Norwood,4.5,4.5,Sheffield Utd,61,2.242,61,2.34
G,Foderingham,4.3,4.3,Sheffield Utd,0,0,1,0.039
D,Baldock,4.9,4.9,Sheffield Utd,74,2.084,72,2.317
D,Jack Robinson,4.2,4.2,Sheffield Utd,47,1.176,45,1.288
D,Egan,4.7,4.7,Sheffield Utd,78,2.062,79,2.384
D,O'Connell,4.7,4.7,Sheffield Utd,0,0,0,0
M,Lundstram,4.8,4.8,Sheffield Utd,18,0.688,20,0.788
M,Osborn,4.7,4.7,Sheffield Utd,29,1.074,31,1.178
F,McBurnie,5.6,5.6,Sheffield Utd,0,0,0,0
F,Callum Robinson,5.2,5.2,West Brom,50,2.109,53,2.243
F,Mousset,5.8,5.8,Sheffield Utd,17,0.841,16,0.826
M,Berge,4.9,4.9,Sheffield Utd,72,2.327,72,2.412
F,Long,5.1,5.1,Southampton,0,0,0,0
D,Bertrand,5.0,5.0,Southampton,0,0,0,0
G,McCarthy,4.4,4.4,Southampton,12,0.456,13,0.474
M,Oriol Romeu,4.5,4.5,Southampton,0,0,0,0
M,Redmond,6.4,6.4,Southampton,61,2.692,59,2.28
F,Ings,8.4,8.4,Southampton,71,4.364,73,3.694
D,Stephens,4.6,4.6,Southampton,66,1.989,56,1.389
M,Armstrong,5.5,5.5,Southampton,72,2.853,70,2.462
D,Vestergaard,4.7,4.7,Southampton,85,2.647,84,2.139
M,Ward-Prowse,5.9,5.9,Southampton,85,3.505,84,2.995
G,Gunn,4.3,4.3,Southampton,0,0,0,0
M,Boufal,5.4,5.4,Southampton,0,0,0,0
M,Reed,4.4,4.4,Fulham,55,1.518,52,1.704
M,Sims,4.3,4.3,Southampton,0,0,0,0
D,Walker-Peters,4.7,4.7,Southampton,83,2.448,83,2.002
D,Bednarek,4.7,4.7,Southampton,61,1.683,83,1.871
F,Adams,5.7,5.7,Southampton,63,3.415,62,2.83
D,Valery,4.7,4.7,Southampton,0,0,0,0
M,Smallbone,4.3,4.3,Southampton,0,0,0,0
D,Vokins,3.9,3.9,Southampton,0,0,0,0
F,Obafemi,4.6,4.6,Southampton,11,0.608,10,0.475
M,Djenepo,5.4,5.4,Southampton,33,1.293,37,1.286
G,Lloris,5.6,5.6,Spurs,88,3.772,88,3.454
D,Rose,4.7,4.7,Spurs,0,0,0,0
M,Sissoko,4.7,4.7,Spurs,14,0.525,16,0.539
D,Alderweireld,5.4,5.4,Spurs,75,2.913,77,2.303
M,Lamela,5.7,5.7,Spurs,33,1.651,34,1.402
F,Kane,11.8,11.7,Spurs,84,6.253,82,4.756
D,Aurier,5.2,5.2,Spurs,58,2.708,52,1.808
M,Son,9.6,9.3,Spurs,77,4.682,79,3.816
D,Dier,4.6,4.6,Spurs,76,3.029,75,2.277
M,Lucas Moura,6.5,6.5,Spurs,45,2.342,42,1.813
G,Gazzaniga,4.3,4.3,Spurs,0,0,0,0
M,Alli,7.4,7.4,Spurs,32,1.831,33,1.527
D,Davies,4.5,4.5,Spurs,0,0,0,0
M,Højbjerg,4.9,4.9,Spurs,82,2.56,82,2.27
M,Winks,5.1,5.1,Spurs,6,0.203,7,0.216
D,Sánchez,5.2,5.2,Spurs,14,0.521,16,0.468
D,Sessegnon,4.7,4.7,Spurs,0,0,0,0
M,Bergwijn,7.0,7.0,Spurs,4,0.187,4,0.16
M,Fernandes,4.7,4.7,Spurs,0,0,0,0
D,Tanganga,4.9,4.9,Spurs,1,0.037,2,0.059
M,Lo Celso,6.9,6.9,Spurs,53,2.157,50,1.739
M,Skipp,4.4,4.4,Spurs,0,0,0,0
M,Ndombele,5.9,5.9,Spurs,46,1.82,46,1.59
D,Foyth,4.3,4.3,Spurs,0,0,0,0
D,Gibbs,4.3,4.3,West Brom,7,0.179,10,0.229
F,Robson-Kanu,5.2,5.2,West Brom,16,0.78,17,0.841
M,Livermore,4.7,4.7,West Brom,9,0.303,10,0.335
M,Grosicki,5.2,5.2,West Brom,0,0,1,0.042
M,Phillips,5.1,5.1,West Brom,64,2.344,60,2.214
D,Bartley,4.4,4.4,West Brom,82,1.986,83,1.782
M,Sawyers,4.6,4.6,West Brom,3,0.093,3,0.093
D,Hegazi,4.1,4.1,West Brom,0,0,0,0
F,Austin,5.1,5.1,West Brom,0,0,0,0
F,Zohore,4.8,4.8,West Brom,0,0,0,0
G,Johnstone,4.6,4.6,West Brom,88,3.279,87,3.166
D,Townsend,4.4,4.4,West Brom,85,2.054,84,1.796
D,Ajayi,4.8,4.8,West Brom,65,1.701,63,1.487
M,Leko,4.5,4.5,West Brom,0,0,0,0
M,Edwards,4.6,4.6,West Brom,0,0,0,0
D,Furlong,4.5,4.5,West Brom,83,2.045,81,1.782
M,Field,4.8,4.8,West Brom,0,0,0,0
M,Burke,4.1,4.1,Sheffield Utd,51,2.302,54,2.575
D,O'Shea,4.2,4.2,West Brom,59,1.296,61,1.179
M,Harper,4.3,4.3,West Brom,0,0,0,0
M,Noble,4.5,4.5,West Ham,19,0.869,13,0.594
M,Snodgrass,5.6,5.6,West Brom,0,0,0,0
G,Martin,3.9,3.9,West Ham,0,0,0,0
G,Randolph,4.3,4.3,West Ham,1,0.044,2,0.085
G,Fabianski,5.0,5.0,West Ham,88,3.879,87,3.69
D,Ogbonna,4.7,4.7,West Ham,78,3.166,74,2.778
G,Roberto,4.5,4.5,West Ham,0,0,0,0
M,Wilshere,4.9,4.9,West Ham,0,0,0,0
D,Cresswell,5.6,5.6,West Ham,50,2.387,63,2.8
M,Yarmolenko,5.5,5.5,West Ham,31,1.639,28,1.474
F,Antonio,6.5,6.5,West Ham,73,4.559,74,4.602
D,Fredericks,4.2,4.2,West Ham,10,0.436,8,0.327
