Pos,Name,BV,SV,Team,38_xMins,38_Pts
D,Guilbert,4.3,4.3,Aston Villa,0,0
F,Wesley,6.0,6.0,Aston Villa,15,0.661
F,Samatta,5.9,5.9,Aston Villa,0,0
F,Davis,4.2,4.2,Aston Villa,17,0.671
F,Vassilev,4.3,4.3,Aston Villa,0,0
M,Douglas Luiz,4.8,4.8,Aston Villa,67,1.833
F,Murray,4.8,4.8,Brighton,0,0
M,Lallana,6.2,6.2,Brighton,62,2.139
M,Stephens,4.2,4.2,Burnley,1,0.034
G,Button,3.9,3.9,West Brom,0,0
M,Groß,5.8,5.8,Brighton,77,3.184
D,Duffy,4.3,4.3,Brighton,0,0
M,Pröpper,4.7,4.7,Brighton,3,0.103
M,Mooy,5.0,5.0,Brighton,0,0
D,Burn,4.2,4.2,Brighton,67,1.655
D,Dunk,4.8,4.8,Brighton,82,2.298
D,Montoya,4.5,4.5,Brighton,0,0
F,Andone,4.8,4.8,Brighton,23,0.989
M,March,4.9,4.9,Brighton,0,0
D,Webster,4.3,4.3,Brighton,84,2.067
D,Veltman,4.3,4.3,Brighton,33,0.781
F,Maupay,5.9,5.9,Brighton,0,0
M,Trossard,5.5,5.5,Brighton,71,2.827
G,Ryan,4.1,4.1,Arsenal,7,0.304
M,Jahanbakhsh,5.4,5.4,Brighton,45,1.689
M,Izquierdo,5.5,5.5,Brighton,2,0.081
D,Clarke,4.4,4.4,Brighton,0,0
D,White,4.5,4.5,Brighton,78,1.832
D,Bernardo,3.9,3.9,Brighton,0,0
M,Bissouma,4.4,4.4,Brighton,77,2.087
D,Lamptey,4.6,4.6,Brighton,0,0
F,Connolly,5.2,5.2,Brighton,13,0.57
M,Alzate,4.1,4.1,Brighton,11,0.416
M,Mac Allister,5.3,5.3,Brighton,33,1.277
D,Tarkowski,5.3,5.3,Burnley,85,3.198
D,Bardsley,4.4,4.4,Burnley,0,0
D,Pieters,4.3,4.3,Burnley,13,0.46
M,Cork,5.0,5.0,Burnley,65,2.103
D,Long,4.3,4.3,Burnley,0,0
F,Rodriguez,5.7,5.7,Burnley,23,1.182
F,Barnes,6.0,6.0,Burnley,39,2.25
D,Mee,4.7,4.7,Burnley,87,3.251
M,Westwood,5.3,5.3,Burnley,83,2.847
M,Gudmundsson,5.4,5.4,Burnley,33,1.458
F,Wood,6.5,6.5,Burnley,72,4.744
D,Lowton,4.4,4.4,Burnley,84,3.271
F,Vydra,4.8,4.8,Burnley,54,3.165
D,Gibson,3.9,3.9,Burnley,0,0
M,Brady,5.0,5.0,Burnley,0,0
G,Pope,5.5,5.5,Burnley,66,2.897
D,Taylor,4.4,4.4,Burnley,83,3.099
M,Brownhill,4.9,4.9,Burnley,76,2.948
G,Peacock-Farrell,4.0,4.0,Burnley,23,0.975
M,McNeil,5.7,5.7,Burnley,82,3.296
G,Caballero,4.6,4.6,Chelsea,0,0
D,Azpilicueta,5.8,5.8,Chelsea,52,2.505
F,Giroud,6.7,6.7,Chelsea,2,0.14
D,Alonso,5.6,5.6,Chelsea,43,2.562
M,Jorginho,4.7,4.7,Chelsea,43,1.834
M,Barkley,5.8,5.8,Aston Villa,28,1.173
M,Kovacic,5.3,5.3,Chelsea,64,2.312
F,Batshuayi,5.7,5.7,Crystal Palace,4,0.163
D,Rüdiger,4.7,4.7,Chelsea,70,3.095
D,Zouma,5.3,5.3,Chelsea,43,1.987
D,Emerson,4.7,4.7,Chelsea,0,0
G,Arrizabalaga,4.7,4.7,Chelsea,0,0
M,Kanté,4.9,4.9,Chelsea,32,1.155
M,Ziyech,7.9,7.9,Chelsea,41,2.214
M,Loftus-Cheek,5.9,5.9,Fulham,52,2.353
D,Christensen,4.7,4.7,Chelsea,60,2.568
F,Werner,9.2,9.2,Chelsea,66,4.294
F,Abraham,7.1,7.1,Chelsea,7,0.474
M,Pulisic,8.3,8.3,Chelsea,54,3.166
M,Mount,7.3,7.3,Chelsea,65,3.675
D,Tomori,4.7,4.7,Chelsea,0,0
M,Hudson-Odoi,5.7,5.7,Chelsea,15,0.821
D,James,5.1,5.1,Chelsea,68,3.751
M,Gilmour,4.3,4.3,Chelsea,7,0.26
D,Cahill,4.5,4.5,Crystal Palace,65,0.77
G,Hennessey,4.3,4.3,Crystal Palace,0,0
D,Sakho,4.4,4.4,Crystal Palace,0,0
G,Guaita,4.8,4.8,Crystal Palace,89,3.099
D,Tomkins,4.4,4.4,Crystal Palace,22,0.248
M,McArthur,5.2,5.2,Crystal Palace,42,1.106
M,McCarthy,4.3,4.3,Crystal Palace,23,0.652
F,Benteke,5.5,5.5,Crystal Palace,73,2.679
M,Kouyaté,4.8,4.8,Crystal Palace,75,1.888
D,Ward,4.3,4.3,Crystal Palace,78,0.819
D,Kelly,4.1,4.1,Crystal Palace,0,0
F,Wickham,4.4,4.4,Crystal Palace,0,0
M,Townsend,5.5,5.5,Crystal Palace,51,1.753
M,Milivojevic,5.6,5.6,Crystal Palace,68,1.902
D,van Aanholt,5.4,5.4,Crystal Palace,14,0.236
F,Ayew,5.6,5.6,Crystal Palace,42,1.435
M,Zaha,7.2,7.2,Crystal Palace,82,2.854
M,Schlupp,5.3,5.3,Crystal Palace,50,1.567
M,Meyer,4.7,4.7,Crystal Palace,0,0
M,Riedewald,4.4,4.4,Crystal Palace,22,0.653
D,Ferguson,3.8,3.8,Crystal Palace,0,0
D,Mitchell,3.8,3.8,Crystal Palace,74,0.798
M,Pierrick,4.3,4.3,Crystal Palace,0,0
M,Walcott,5.8,5.8,Southampton,44,1.784
M,Delph,4.8,4.8,Everton,5,0.142
M,Sigurdsson,6.9,6.9,Everton,62,2.284
G,Lössl,4.3,4.3,Everton,0,0
D,Coleman,4.9,4.9,Everton,41,0.849
F,Tosun,6.0,6.0,Everton,0,0
M,Bernard,5.7,5.7,Everton,20,0.679
D,Digne,6.2,6.2,Everton,77,1.646
D,Keane,5.0,5.0,Everton,78,1.447
G,Pickford,4.8,4.8,Everton,88,3.113
M,André Gomes,5.3,5.3,Everton,21,0.633
M,Iwobi,5.9,5.9,Everton,36,1.202
D,Kenny,4.3,4.3,Everton,0,0
M,Gbamin,5.0,5.0,Everton,0,0
D,Mina,5.5,5.5,Everton,37,0.693
M,Davies,5.2,5.2,Everton,22,0.66
F,Calvert-Lewin,7.6,7.6,Everton,80,3.078
D,Holgate,4.8,4.8,Everton,65,1.121
F,Richarlison,7.8,7.8,Everton,75,2.732
G,Virgínia,4.3,4.3,Everton,0,0
M,Gordon,4.3,4.3,Everton,0,0
F,Kean,5.7,5.7,Everton,0,0
D,Branthwaite,3.9,3.9,Everton,0,0
G,Fabri,3.9,3.9,Fulham,0,0
M,McDonald,4.7,4.7,Fulham,0,0
D,Le Marchand,4.1,4.1,Fulham,0,0
M,Johansen,4.7,4.7,Fulham,0,0
M,Cairney,5.2,5.2,Fulham,32,1.221
D,Ream,4.2,4.2,Fulham,1,0.034
M,Knockaert,5.0,5.0,Fulham,0,0
D,Hector,4.1,4.1,Fulham,2,0.069
D,Christie,4.2,4.2,Fulham,0,0
M,Kebano,4.7,4.7,Fulham,0,0
F,Decordova-Reid,5.3,5.3,Fulham,52,2.309
D,Bryan,4.5,4.5,Fulham,22,0.937
G,Bettinelli,4.3,4.3,Fulham,0,0
F,Mitrović,5.5,5.5,Fulham,35,2.122
D,Mawson,4.3,4.3,Fulham,0,0
G,Rodák,4.3,4.3,Fulham,0,0
M,Cavaleiro,5.3,5.3,Fulham,60,3.223
M,Onomah,4.6,4.6,Fulham,26,1.191
M,Seri,4.6,4.6,Fulham,0,0
M,Kamara,4.8,4.8,Fulham,0,0
M,Anguissa,4.4,4.4,Fulham,51,1.883
D,Sessegnon,4.3,4.3,Fulham,0,0
M,Hernández,5.7,5.7,Leeds,18,0.975
G,Casilla,4.1,4.1,Leeds,0,0
D,Cooper,4.3,4.3,Leeds,36,1.509
D,Douglas,3.8,3.8,Leeds,0,0
D,Ayling,4.4,4.4,Leeds,83,3.585
M,Klich,5.2,5.2,Leeds,0,0
M,Forshaw,4.8,4.8,Leeds,0,0
D,Dallas,5.4,5.4,Leeds,82,4.037
D,Alioski,4.3,4.3,Leeds,71,3.309
F,Bamford,6.5,6.4,Leeds,78,6.119
M,Harrison,5.5,5.5,Leeds,76,4.069
M,Phillips,4.9,4.9,Leeds,80,2.897
M,Costa,5.0,5.0,Leeds,0,0
M,Roberts,4.6,4.6,Leeds,59,2.787
M,Grot,4.7,4.7,Leeds,0,0
G,Miazek,4.0,4.0,Leeds,0,0
M,Poveda-Ocampo,4.2,4.2,Leeds,17,0.867
M,Shackleton,4.8,4.8,Leeds,6,0.218
D,Struijk,4.0,4.0,Leeds,69,2.945
M,Stevens,4.3,4.3,Leeds,0,0
G,Meslier,4.8,4.8,Leeds,89,3.874
D,Davis,3.8,3.8,Leeds,1,0.04
D,Casey,3.8,3.8,Leeds,1,0.04
D,Morgan,4.4,4.4,Leicester,1,0.031
G,Schmeichel,5.4,5.4,Leicester,89,3.446
D,Fuchs,4.5,4.5,Leicester,0,0
D,Evans,5.6,5.6,Leicester,33,0.948
M,Silva,4.4,4.4,Leicester,0,0
M,Albrighton,5.2,5.2,Leicester,56,1.996
M,James,4.3,4.3,Leicester,0,0
G,Ward,4.3,4.3,Leicester,0,0
F,Vardy,10.2,10.2,Leicester,83,4.517
M,Praet,5.2,5.2,Leicester,13,0.49
D,Pereira,5.9,5.9,Leicester,37,1.23
D,Amartey,3.9,3.9,Leicester,19,0.588
M,Tielemans,6.4,6.4,Leicester,84,2.952
M,Pérez,6.0,6.0,Leicester,49,2.039
M,Gray,5.1,5.1,Leicester,0,0
M,Maddison,7.2,7.2,Leicester,69,3.148
D,Chilwell,5.9,5.9,Chelsea,46,2.426
F,Iheanacho,6.2,6.2,Leicester,75,3.835
M,Choudhury,4.6,4.6,Leicester,5,0.157
M,Barnes,6.6,6.6,Leicester,0,0
M,Ndidi,4.8,4.8,Leicester,82,2.365
D,Benkovic,4.3,4.3,Leicester,0,0
D,Söyüncü,5.3,5.3,Leicester,83,2.352
D,Justin,4.8,4.8,Leicester,0,0
D,Thomas,4.1,4.1,Leicester,31,1.051
M,Milner,5.3,5.3,Liverpool,24,1.244
D,Tsimikas,4.9,4.9,Liverpool,5,0.29
M,Wijnaldum,5.3,5.3,Liverpool,54,2.428
M,Henderson,5.4,5.4,Liverpool,39,1.625
G,Adrián,4.2,4.2,Liverpool,0,0
D,Matip,5.4,5.4,Liverpool,0,0
M,Shaqiri,6.4,6.4,Liverpool,12,0.707
M,Chamberlain,6.3,6.3,Liverpool,5,0.262
F,Firmino,9.0,9.0,Liverpool,69,4.46
D,van Dijk,6.2,6.2,Liverpool,0,0
M,Mané,11.7,11.7,Liverpool,80,7.212
G,Alisson,5.9,5.9,Liverpool,88,4.35
M,Fabinho,5.4,5.4,Liverpool,77,2.724
M,Salah,12.8,12.5,Liverpool,80,9.008
D,Robertson,7.2,7.2,Liverpool,84,5.169
F,Origi,5.1,5.1,Liverpool,12,0.841
M,Harry Wilson,5.1,5.1,Liverpool,0,0
M,Minamino,6.0,6.0,Southampton,21,0.863
D,Alexander-Arnold,7.7,7.5,Liverpool,84,5.886
D,Gomez,5.2,5.2,Liverpool,0,0
M,Keita,5.2,5.2,Liverpool,1,0.057
F,Brewster,4.2,4.2,Sheffield Utd,63,2.941
M,Jones,4.4,4.4,Liverpool,31,1.59
D,Neco Williams,3.8,3.8,Liverpool,4,0.201
M,Elliott,4.3,4.3,Liverpool,0,0
D,Fernandinho,5.4,5.4,Man City,25,1.253
G,Bravo,4.5,4.5,Man City,0,0
F,Agüero,10.3,10.3,Man City,12,0.874
D,Otamendi,4.9,4.9,Man City,0,0
D,Walker,6.1,6.1,Man City,27,1.306
M,Gündogan,5.6,5.6,Man City,61,3.351
M,De Bruyne,11.8,11.8,Man City,53,4.146
D,Stones,5.1,5.1,Man City,43,2.105
D,Mendy,5.9,5.9,Man City,40,1.99
M,Mahrez,8.1,8.1,Man City,38,2.607
M,Sterling,11.0,11.0,Man City,59,4.108
D,Cancelo,5.8,5.8,Man City,54,2.864
G,Ederson,6.1,6.1,Man City,88,4.168
D,Aké,5.4,5.4,Man City,55,2.793
D,Laporte,6.0,6.0,Man City,44,2.114
M,Bernardo Silva,7.4,7.4,Man City,59,2.961
F,Jesus,9.1,9.1,Man City,76,4.735
D,Zinchenko,5.5,5.5,Man City,23,1.18
M,Foden,6.1,6.1,Man City,43,2.878
M,Doyle,4.4,4.4,Man City,0,0
M,Rodrigo,5.3,5.3,Man City,81,3.167
M,Torres,7.0,7.0,Man City,41,2.657
D,Garcia,4.7,4.7,Man City,7,0.325
G,Romero,4.9,4.9,Man Utd,0,0
M,Mata,5.8,5.8,Man Utd,7,0.36
G,de Gea,5.3,5.3,Man Utd,30,1.32
D,Smalling,4.9,4.9,Man Utd,0,0
F,Ighalo,6.1,6.1,Man Utd,0,0
D,Rojo,4.8,4.8,Man Utd,0,0
M,Matic,4.7,4.7,Man Utd,19,0.648
M,Pogba,7.6,7.6,Man Utd,50,2.823
D,Jones,4.8,4.8,Man Utd,0,0
D,Maguire,5.6,5.6,Man Utd,0,0
M,Fred,5.3,5.3,Man Utd,70,2.303
D,Shaw,5.5,5.5,Man Utd,82,4.079
M,Lingard,6.6,6.4,West Ham,72,4.18
M,Fernandes,11.4,11.1,Man Utd,79,5.395
F,Martial,8.6,8.6,Man Utd,48,2.812
M,Pereira,4.8,4.8,Man Utd,0,0
G,Henderson,5.2,5.2,Man Utd,58,2.578
M,Rashford,9.6,9.6,Man Utd,68,4.419
D,Tuanzebe,4.1,4.1,Man Utd,16,0.663
D,Lindelöf,4.8,4.8,Man Utd,85,3.484
M,McTominay,4.9,4.9,Man Utd,69,2.489
D,Bailly,4.8,4.8,Man Utd,77,3.083
M,James,6.2,6.2,Man Utd,39,1.936
D,Fosu-Mensah,4.3,4.3,Man Utd,0,0
D,Wan-Bissaka,5.7,5.7,Man Utd,85,3.746
D,Dalot,4.8,4.8,Man Utd,0,0
M,Greenwood,7.3,7.3,Man Utd,53,3.019
M,Chong,4.4,4.4,Man Utd,0,0
M,Garner,4.4,4.4,Man Utd,0,0
D,Williams,4.2,4.2,Man Utd,4,0.164
D,Mengi,3.9,3.9,Man Utd,0,0
F,Carroll,5.1,5.1,Newcastle,7,0.358
M,Shelvey,5.3,5.3,Newcastle,83,2.73
M,Ritchie,4.9,4.9,Newcastle,63,2.46
D,Fernández,4.7,4.7,Newcastle,71,2.219
D,Clark,4.5,4.5,Newcastle,24,0.769
G,Darlow,4.9,4.9,Newcastle,0,0
G,Dubravka,4.8,4.8,Newcastle,88,3.445
D,Lejeune,4.3,4.3,Newcastle,0,0
D,Lascelles,4.2,4.2,Newcastle,35,1.031
F,Gayle,5.9,5.9,Newcastle,27,1.407
M,Atsu,5.2,5.2,Newcastle,0,0
D,Dummett,4.4,4.4,Newcastle,58,1.689
D,Manquillo,4.2,4.2,Newcastle,3,0.089
D,Krafth,4.2,4.2,Newcastle,25,0.776
D,Schär,4.8,4.8,Newcastle,74,2.154
D,Yedlin,4.3,4.3,Newcastle,0,0
M,Hayden,4.6,4.6,Newcastle,0,0
M,Aarons,4.8,4.8,Newcastle,0,0
M,Saint-Maximin,5.2,5.2,Newcastle,73,3.753
M,Almirón,5.6,5.6,Newcastle,72,3.065
F,Joelinton,5.7,5.7,Newcastle,70,3.117
F,Muto,4.8,4.8,Newcastle,0,0
D,Watts,3.9,3.9,Newcastle,0,0
F,Sharp,5.5,5.5,Sheffield Utd,0,0
F,McGoldrick,5.2,5.2,Sheffield Utd,74,3.525
D,Basham,4.6,4.6,Sheffield Utd,77,2.257
M,Fleck,5.6,5.6,Sheffield Utd,78,2.531
D,Stevens,5.0,5.0,Sheffield Utd,85,2.8
G,Moore,4.3,4.3,Sheffield Utd,0,0
M,Norwood,4.5,4.5,Sheffield Utd,70,2.691
G,Foderingham,4.3,4.3,Sheffield Utd,0,0
D,Baldock,4.9,4.9,Sheffield Utd,78,2.476
D,Jack Robinson,4.2,4.2,Sheffield Utd,68,1.914
D,Egan,4.7,4.7,Sheffield Utd,83,2.482
D,O'Connell,4.7,4.7,Sheffield Utd,0,0
M,Lundstram,4.8,4.8,Sheffield Utd,27,1.104
M,Osborn,4.7,4.7,Sheffield Utd,51,1.943
F,McBurnie,5.6,5.6,Sheffield Utd,0,0
F,Callum Robinson,5.2,5.2,West Brom,45,1.951
F,Mousset,5.8,5.8,Sheffield Utd,37,1.883
M,Berge,4.9,4.9,Sheffield Utd,33,1.139
F,Long,5.1,5.1,Southampton,0,0
D,Bertrand,5.0,5.0,Southampton,0,0
G,McCarthy,4.4,4.4,Southampton,45,1.618
M,Oriol Romeu,4.5,4.5,Southampton,81,2.08
M,Redmond,6.4,6.4,Southampton,57,2.251
F,Ings,8.4,8.4,Southampton,69,3.556
D,Stephens,4.6,4.6,Southampton,40,0.934
M,Armstrong,5.5,5.5,Southampton,65,2.377
D,Vestergaard,4.7,4.7,Southampton,86,2.051
M,Ward-Prowse,5.9,5.9,Southampton,85,3.103
G,Gunn,4.3,4.3,Southampton,0,0
M,Boufal,5.4,5.4,Southampton,0,0
M,Reed,4.4,4.4,Fulham,65,2.078
M,Sims,4.3,4.3,Southampton,0,0
D,Walker-Peters,4.7,4.7,Southampton,83,1.898
D,Bednarek,4.7,4.7,Southampton,84,1.767
F,Adams,5.7,5.7,Southampton,68,3.179
D,Valery,4.7,4.7,Southampton,0,0
M,Smallbone,4.3,4.3,Southampton,0,0
D,Vokins,3.9,3.9,Southampton,0,0
F,Obafemi,4.6,4.6,Southampton,4,0.201
M,Djenepo,5.4,5.4,Southampton,14,0.525
G,Lloris,5.6,5.6,Spurs,88,3.546
D,Rose,4.7,4.7,Spurs,0,0
M,Sissoko,4.7,4.7,Spurs,14,0.486
D,Alderweireld,5.4,5.4,Spurs,81,2.588
M,Lamela,5.7,5.7,Spurs,25,1.085
F,Kane,11.8,11.7,Spurs,82,5.05
D,Aurier,5.2,5.2,Spurs,48,1.802
M,Son,9.7,9.3,Spurs,79,3.989
D,Dier,4.6,4.6,Spurs,83,2.682
M,Lucas Moura,6.5,6.5,Spurs,36,1.657
G,Gazzaniga,4.3,4.3,Spurs,0,0
M,Alli,7.4,7.4,Spurs,46,2.222
D,Davies,4.5,4.5,Spurs,0,0
M,Højbjerg,4.9,4.9,Spurs,83,2.365
M,Winks,5.1,5.1,Spurs,8,0.249
D,Sánchez,5.2,5.2,Spurs,7,0.218
D,Sessegnon,4.7,4.7,Spurs,0,0
M,Bergwijn,7.0,7.0,Spurs,3,0.126
M,Fernandes,4.7,4.7,Spurs,0,0
D,Tanganga,4.9,4.9,Spurs,17,0.55
M,Lo Celso,6.9,6.9,Spurs,56,1.931
M,Skipp,4.4,4.4,Spurs,0,0
M,Ndombele,5.9,5.9,Spurs,42,1.499
D,Foyth,4.3,4.3,Spurs,0,0
D,Gibbs,4.3,4.3,West Brom,5,0.11
F,Robson-Kanu,5.2,5.2,West Brom,36,1.712
M,Livermore,4.7,4.7,West Brom,11,0.362
M,Grosicki,5.2,5.2,West Brom,0,0
M,Phillips,5.1,5.1,West Brom,62,2.294
D,Bartley,4.4,4.4,West Brom,84,1.673
M,Sawyers,4.6,4.6,West Brom,4,0.123
D,Hegazi,4.1,4.1,West Brom,0,0
F,Austin,5.1,5.1,West Brom,0,0
F,Zohore,4.8,4.8,West Brom,0,0
G,Johnstone,4.6,4.6,West Brom,89,3.221
D,Townsend,4.4,4.4,West Brom,85,1.695
D,Ajayi,4.8,4.8,West Brom,72,1.578
M,Leko,4.5,4.5,West Brom,0,0
M,Edwards,4.6,4.6,West Brom,0,0
D,Furlong,4.5,4.5,West Brom,84,1.746
M,Field,4.8,4.8,West Brom,0,0
M,Burke,4.1,4.1,Sheffield Utd,0,0
D,O'Shea,4.2,4.2,West Brom,43,0.798
M,Harper,4.3,4.3,West Brom,0,0
M,Noble,4.5,4.5,West Ham,11,0.513
M,Snodgrass,5.6,5.6,West Brom,0,0
G,Martin,3.9,3.9,West Ham,0,0
G,Randolph,4.3,4.3,West Ham,0,0
G,Fabianski,5.0,5.0,West Ham,88,3.668
D,Ogbonna,4.7,4.7,West Ham,81,2.97
G,Roberto,4.5,4.5,West Ham,0,0
M,Wilshere,4.9,4.9,West Ham,0,0
D,Cresswell,5.6,5.6,West Ham,70,3.087
M,Yarmolenko,5.5,5.5,West Ham,22,1.202
F,Antonio,6.6,6.6,West Ham,75,4.855
D,Fredericks,4.2,4.2,West Ham,5,0.222
M,Lanzini,6.4,6.4,West Ham,10,0.486
M,Felipe Anderson,6.1,6.1,West Ham,0,0
F,Haller,6.1,6.1,West Ham,0,0
D,Masuaku,4.3,4.3,West Ham,31,1.273
D,Balbuena,4.1,4.1,West Ham,1,0.038
F,Hugill,5.5,5.5,West Ham,0,0
M,Bowen,5.9,5.9,West Ham,51,3.329
M,Diangana,5.0,5.0,West Brom,20,0.823
F,Ajeti,5.5,5.5,West Ham,0,0
M,Rice,4.7,4.7,West Ham,85,3.14
M,Soucek,5.2,5.2,West Ham,84,3.289
M,Fornals,5.8,5.8,West Ham,61,2.937
D,Diop,4.3,4.3,West Ham,27,0.983
D,Johnson,3.9,3.9,West Ham,8,0.361
G,Ruddy,4.3,4.3,Wolves,1,0.036
M,Moutinho,5.1,5.1,Wolves,77,2.322
G,Patrício,5.3,5.3,Wolves,88,3.194
D,Bennett,4.4,4.4,Wolves,0,0
D,Doherty,5.6,5.6,Spurs,22,0.772
D,Boly,5.4,5.4,Wolves,53,1.33
D,Coady,4.9,4.9,Wolves,68,1.551
F,Jiménez,8.1,8.1,Wolves,55,2.494
D,Saïss,4.9,4.9,Wolves,60,1.551
D,Jonny,5.4,5.4,Wolves,0,0
F,Bonatini,4.8,4.8,Wolves,0,0
M,Dendoncker,4.6,4.6,Wolves,61,1.981
M,Traoré,6.0,6.0,Wolves,81,2.811
M,Neves,5.1,5.1,Wolves,66,2.286
D,Buur,3.9,3.9,Wolves,0,0
M,Jota,6.9,6.9,Liverpool,19,1.674
M,Podence,5.3,5.3,Wolves,0,0
D,Kilman,3.9,3.9,Wolves,0,0
D,Vinagre,4.1,4.1,Wolves,0,0
G,Sarkic,4.4,4.4,Wolves,0,0
M,Gibbs-White,4.9,4.9,Wolves,48,1.897
M,Neto,5.5,5.5,Wolves,0,0
M,Jordao,4.3,4.3,Wolves,0,0
F,Campana,4.7,4.7,Wolves,0,0
M,Freeman,5.0,5.0,Sheffield Utd,0,0
M,Willian,7.5,7.5,Arsenal,38,2.079
D,Salisu,4.3,4.3,Southampton,55,1.275
M,Sean Longstaff,4.6,4.6,Newcastle,42,1.537
M,Pereira,5.4,5.4,West Brom,77,3.556
G,Hart,4.2,4.2,Spurs,1,0.04
G,Ramsdale,4.6,4.6,Sheffield Utd,89,3.486
D,Robinson,4.4,4.4,Fulham,32,1.112
M,Hendrick,4.5,4.5,Newcastle,8,0.29
D,Dann,4.2,4.2,Crystal Palace,18,0.229
M,Matty Longstaff,4.8,4.8,Newcastle,0,0
G,Gillespie,4.3,4.3,Newcastle,0,0
M,Eze,5.9,5.9,Crystal Palace,71,2.282
D,Thiago Silva,5.6,5.6,Chelsea,58,2.565
D,Koch,4.3,4.3,Leeds,0,0
F,Rodrigo,5.7,5.7,Leeds,49,2.919
M,Lemina,4.5,4.5,Fulham,48,1.661
D,Gabriel,4.9,4.9,Arsenal,65,2.696
M,van de Beek,6.6,6.6,Man Utd,8,0.348
D,Cash,5.0,5.0,Aston Villa,0,0
M,Murphy,4.9,4.9,Newcastle,82,2.707
D,Castagne,5.8,5.8,Leicester,72,2.366
D,Kipre,4.3,4.3,West Brom,0,0
M,Havertz,8.3,8.3,Chelsea,52,3.557
M,Ceballos,4.7,4.7,Arsenal,44,1.759
M,Allan,5.2,5.2,Everton,67,1.815
G,Walton,4.0,4.0,Brighton,0,0
F,Fabio Silva,5.2,5.2,Wolves,58,2.461
D,Marçal,4.7,4.7,Wolves,38,0.944
F,Wilson,6.5,6.5,Newcastle,0,0
M,Fraser,5.6,5.6,Newcastle,0,0
M,Rodríguez,7.7,7.7,Everton,45,1.766
D,Ampadu,4.3,4.3,Sheffield Utd,0,0
D,Bogle,4.3,4.3,Sheffield Utd,14,0.529
D,Lowe,4.2,4.2,Sheffield Utd,0,0
M,Doucouré,5.1,5.1,Everton,69,1.975
D,Lewis,4.1,4.1,Newcastle,7,0.215
F,Watkins,6.4,6.4,Aston Villa,81,3.264
M,Vitinha,4.7,4.7,Wolves,47,1.723
G,Areola,4.5,4.5,Fulham,89,3.658
D,Tete,4.3,4.3,Fulham,66,2.469
M,Mendy,4.2,4.2,Leicester,6,0.187
D,Dunne,3.8,3.8,Burnley,1,0.038
D,Thomas,3.9,3.9,Burnley,0,0
D,Carter-Vickers,3.9,3.9,Spurs,0,0
D,Woods,4.0,4.0,Crystal Palace,0,0
G,Forster,4.0,4.0,Southampton,45,1.629
M,Tella,4.3,4.3,Southampton,24,1.093
D,Odoi,4.2,4.2,Fulham,1,0.033
M,Elneny,4.2,4.2,Arsenal,43,1.464
G,Macey,4.0,4.0,Arsenal,0,0
G,Steele,3.9,3.9,Brighton,0,0
D,Jagielka,3.9,3.9,Sheffield Utd,2,0.06
