Pos,Name,BV,SV,Team,37_xMins,37_Pts,38_xMins,38_Pts
F,Wood,6.5,6.5,Burnley,72,3.253,74,4.808
D,Lowton,4.4,4.4,Burnley,86,1.127,83,3.293
F,Vydra,4.8,4.8,Burnley,54,2.27,56,3.214
D,Gibson,3.9,3.9,Burnley,0,0,0,0
M,Brady,5.0,5.0,Burnley,0,0,0,0
G,Pope,5.5,5.5,Burnley,23,0.835,53,2.334
D,Taylor,4.4,4.4,Burnley,87,1.102,83,3.178
M,Brownhill,4.9,4.9,Burnley,77,2.291,77,2.971
G,Peacock-Farrell,4.0,4.0,Burnley,43,1.515,20,0.852
M,McNeil,5.7,5.7,Burnley,84,2.55,81,3.26
G,Caballero,4.6,4.6,Chelsea,0,0,0,0
D,Azpilicueta,5.8,5.8,Chelsea,67,3.212,64,3.05
F,Giroud,6.7,6.7,Chelsea,2,0.132,2,0.139
D,Alonso,5.7,5.7,Chelsea,42,2.453,44,2.604
M,Jorginho,4.7,4.7,Chelsea,44,1.825,45,1.911
M,Barkley,5.8,5.8,Aston Villa,31,1.34,32,1.337
M,Kovacic,5.3,5.3,Chelsea,65,2.312,64,2.314
F,Batshuayi,5.7,5.7,Crystal Palace,3,0.134,4,0.163
D,Rüdiger,4.7,4.7,Chelsea,79,3.471,78,3.411
D,Zouma,5.3,5.3,Chelsea,41,1.886,40,1.828
D,Emerson,4.7,4.7,Chelsea,0,0,0,0
G,Arrizabalaga,4.7,4.7,Chelsea,0,0,0,0
M,Kanté,4.9,4.9,Chelsea,31,1.106,33,1.184
M,Ziyech,7.9,7.9,Chelsea,41,2.115,41,2.201
M,Loftus-Cheek,5.9,5.9,Fulham,52,1.838,51,2.32
D,Christensen,4.7,4.7,Chelsea,67,2.861,68,2.875
F,Werner,9.2,9.2,Chelsea,69,4.196,68,4.398
F,Abraham,7.1,7.1,Chelsea,6,0.41,8,0.572
M,Pulisic,8.3,8.3,Chelsea,52,2.95,54,3.196
M,Mount,7.3,7.3,Chelsea,73,3.89,73,4.055
D,Tomori,4.7,4.7,Chelsea,0,0,0,0
M,Hudson-Odoi,5.7,5.7,Chelsea,13,0.666,15,0.798
D,James,5.1,5.1,Chelsea,70,3.808,73,3.996
M,Gilmour,4.3,4.3,Chelsea,5,0.191,7,0.271
D,Cahill,4.5,4.5,Crystal Palace,66,1.478,63,0.778
G,Hennessey,4.3,4.3,Crystal Palace,0,0,0,0
D,Sakho,4.4,4.4,Crystal Palace,0,0,0,0
G,Guaita,4.8,4.8,Crystal Palace,88,3.104,87,3.023
D,Tomkins,4.4,4.4,Crystal Palace,23,0.506,23,0.268
M,McArthur,5.2,5.2,Crystal Palace,17,0.509,40,1.06
M,McCarthy,4.3,4.3,Crystal Palace,37,1.075,24,0.678
F,Benteke,5.5,5.5,Crystal Palace,76,3.108,73,2.653
M,Kouyaté,4.8,4.8,Crystal Palace,78,2.086,78,1.946
D,Ward,4.3,4.3,Crystal Palace,87,1.787,79,0.856
D,Kelly,4.1,4.1,Crystal Palace,0,0,0,0
F,Wickham,4.4,4.4,Crystal Palace,0,0,0,0
M,Townsend,5.5,5.5,Crystal Palace,59,2.216,53,1.807
M,Milivojevic,5.6,5.6,Crystal Palace,43,1.364,66,1.856
D,van Aanholt,5.4,5.4,Crystal Palace,4,0.113,14,0.24
F,Ayew,5.6,5.6,Crystal Palace,37,1.393,37,1.281
M,Zaha,7.2,7.2,Crystal Palace,84,3.314,83,2.867
M,Schlupp,5.3,5.3,Crystal Palace,60,2.021,53,1.651
M,Meyer,4.7,4.7,Crystal Palace,0,0,0,0
M,Riedewald,4.4,4.4,Crystal Palace,30,0.929,22,0.652
D,Ferguson,3.8,3.8,Crystal Palace,0,0,0,0
D,Mitchell,3.8,3.8,Crystal Palace,84,1.753,75,0.833
M,Pierrick,4.3,4.3,Crystal Palace,0,0,0,0
M,Walcott,5.8,5.8,Southampton,47,2.192,44,1.78
M,Delph,4.8,4.8,Everton,4,0.131,6,0.171
M,Sigurdsson,6.9,6.9,Everton,56,2.952,55,2.057
G,Lössl,4.3,4.3,Everton,0,0,0,0
D,Coleman,4.9,4.9,Everton,58,2.857,56,1.17
F,Tosun,6.0,6.0,Everton,0,0,0,0
M,Bernard,5.7,5.7,Everton,20,0.874,20,0.682
D,Digne,6.2,6.2,Everton,82,4.273,81,1.784
D,Keane,5.0,5.0,Everton,82,3.663,77,1.473
G,Pickford,4.8,4.8,Everton,88,3.987,87,3.084
M,André Gomes,5.3,5.3,Everton,20,0.737,24,0.715
M,Iwobi,5.9,5.9,Everton,33,1.403,34,1.137
D,Kenny,4.3,4.3,Everton,0,0,0,0
M,Gbamin,5.0,5.0,Everton,0,0,0,0
D,Mina,5.5,5.5,Everton,14,0.615,41,0.778
M,Davies,5.2,5.2,Everton,20,0.74,22,0.66
F,Calvert-Lewin,7.6,7.6,Everton,82,4.558,80,3.086
D,Holgate,4.8,4.8,Everton,75,3.186,69,1.217
F,Richarlison,7.8,7.8,Everton,77,3.995,77,2.793
G,Virgínia,4.3,4.3,Everton,0,0,0,0
M,Gordon,4.3,4.3,Everton,0,0,0,0
F,Kean,5.7,5.7,Everton,0,0,0,0
D,Branthwaite,3.9,3.9,Everton,0,0,0,0
G,Fabri,3.9,3.9,Fulham,0,0,0,0
M,McDonald,4.7,4.7,Fulham,0,0,0,0
D,Le Marchand,4.1,4.1,Fulham,0,0,0,0
M,Johansen,4.7,4.7,Fulham,0,0,0,0
M,Cairney,5.2,5.2,Fulham,0,0,22,0.861
D,Ream,4.2,4.2,Fulham,0,0,0,0
M,Knockaert,5.0,5.0,Fulham,0,0,0,0
D,Hector,4.1,4.1,Fulham,1,0.019,1,0.035
D,Christie,4.2,4.2,Fulham,0,0,0,0
M,Kebano,4.7,4.7,Fulham,0,0,0,0
F,Decordova-Reid,5.3,5.3,Fulham,57,1.975,51,2.252
D,Bryan,4.5,4.5,Fulham,33,0.719,19,0.809
G,Bettinelli,4.3,4.3,Fulham,0,0,0,0
F,Mitrović,5.5,5.5,Fulham,35,1.549,34,2.053
D,Mawson,4.3,4.3,Fulham,0,0,0,0
G,Rodák,4.3,4.3,Fulham,0,0,0,0
M,Cavaleiro,5.3,5.3,Fulham,61,2.379,61,3.248
M,Onomah,4.6,4.6,Fulham,29,1.038,23,1.043
M,Seri,4.6,4.6,Fulham,0,0,0,0
M,Kamara,4.8,4.8,Fulham,0,0,0,0
M,Anguissa,4.4,4.4,Fulham,58,1.755,52,1.903
D,Sessegnon,4.3,4.3,Fulham,0,0,0,0
M,Hernández,5.7,5.7,Leeds,8,0.373,19,1.016
G,Casilla,4.1,4.1,Leeds,0,0,0,0
D,Cooper,4.3,4.3,Leeds,34,1.024,38,1.604
D,Douglas,3.8,3.8,Leeds,0,0,0,0
D,Ayling,4.4,4.4,Leeds,83,2.505,80,3.471
M,Klich,5.2,5.2,Leeds,0,0,0,0
M,Forshaw,4.8,4.8,Leeds,0,0,0,0
D,Dallas,5.4,5.4,Leeds,84,2.859,85,4.16
D,Alioski,4.3,4.3,Leeds,72,2.379,70,3.311
F,Bamford,6.5,6.4,Leeds,62,4.136,64,5.085
M,Harrison,5.5,5.5,Leeds,81,3.634,79,4.184
M,Phillips,4.9,4.9,Leeds,83,2.572,80,2.895
M,Costa,5.0,5.0,Leeds,0,0,0,0
M,Roberts,4.6,4.6,Leeds,59,2.392,59,2.782
M,Grot,4.7,4.7,Leeds,0,0,0,0
G,Miazek,4.0,4.0,Leeds,0,0,0,0
M,Poveda-Ocampo,4.2,4.2,Leeds,14,0.636,15,0.778
M,Shackleton,4.8,4.8,Leeds,6,0.216,8,0.317
D,Struijk,4.0,4.0,Leeds,72,2.176,71,3.053
M,Stevens,4.3,4.3,Leeds,0,0,0,0
G,Meslier,4.7,4.7,Leeds,89,3.476,88,3.848
D,Davis,3.8,3.8,Leeds,1,0.029,2,0.08
D,Casey,3.8,3.8,Leeds,0,0,0,0
D,Morgan,4.4,4.4,Leicester,2,0.053,2,0.062
G,Schmeichel,5.4,5.4,Leicester,89,3.268,88,3.412
D,Fuchs,4.5,4.5,Leicester,0,0,0,0
D,Evans,5.6,5.6,Leicester,0,0,25,0.729
M,Silva,4.4,4.4,Leicester,0,0,0,0
M,Albrighton,5.2,5.2,Leicester,56,1.798,54,1.941
M,James,4.3,4.3,Leicester,0,0,0,0
G,Ward,4.3,4.3,Leicester,0,0,0,0
F,Vardy,10.2,10.2,Leicester,82,3.533,81,4.454
M,Praet,5.2,5.2,Leicester,12,0.415,14,0.531
D,Pereira,5.9,5.9,Leicester,34,0.935,37,1.237
D,Amartey,3.9,3.9,Leicester,26,0.677,19,0.593
M,Tielemans,6.4,6.4,Leicester,85,2.658,83,2.941
M,Pérez,6.0,6.0,Leicester,52,1.879,52,2.161
M,Gray,5.1,5.1,Leicester,0,0,0,0
M,Maddison,7.3,7.3,Leicester,70,2.668,69,3.172
D,Chilwell,5.9,5.9,Chelsea,46,2.39,44,2.294
F,Iheanacho,6.2,6.2,Leicester,79,3.206,78,3.993
M,Choudhury,4.6,4.6,Leicester,4,0.121,4,0.126
M,Barnes,6.6,6.6,Leicester,0,0,0,0
M,Ndidi,4.8,4.8,Leicester,85,2.263,82,2.38
D,Benkovic,4.3,4.3,Leicester,0,0,0,0
D,Söyüncü,5.3,5.3,Leicester,89,2.113,81,2.318
D,Justin,4.8,4.8,Leicester,0,0,0,0
D,Thomas,4.1,4.1,Leicester,32,0.893,31,1.056
M,Milner,5.3,5.3,Liverpool,17,0.826,34,1.734
D,Tsimikas,4.9,4.9,Liverpool,3,0.156,4,0.23
M,Wijnaldum,5.3,5.3,Liverpool,63,2.679,47,2.121
M,Henderson,5.4,5.4,Liverpool,0,0,38,1.585
G,Adrián,4.2,4.2,Liverpool,0,0,0,0
D,Matip,5.4,5.4,Liverpool,0,0,0,0
M,Shaqiri,6.4,6.4,Liverpool,17,0.96,16,0.942
M,Chamberlain,6.3,6.3,Liverpool,6,0.324,6,0.336
F,Firmino,9.0,9.0,Liverpool,75,4.655,74,4.716
D,van Dijk,6.2,6.2,Liverpool,0,0,0,0
M,Mané,11.7,11.7,Liverpool,80,6.846,79,7.093
G,Alisson,5.9,5.9,Liverpool,89,4.125,88,4.366
M,Fabinho,5.4,5.4,Liverpool,83,2.707,74,2.633
M,Salah,12.8,12.5,Liverpool,82,8.717,82,9.074
D,Robertson,7.1,7.1,Liverpool,85,4.739,84,5.193
F,Origi,5.1,5.1,Liverpool,14,0.958,16,1.114
M,Harry Wilson,5.1,5.1,Liverpool,0,0,0,0
M,Minamino,6.0,6.0,Southampton,23,1.078,22,0.897
D,Alexander-Arnold,7.7,7.5,Liverpool,85,5.371,85,5.955
D,Gomez,5.2,5.2,Liverpool,0,0,0,0
M,Keita,5.2,5.2,Liverpool,0,0,1,0.057
F,Brewster,4.2,4.2,Sheffield Utd,58,2.474,60,2.776
M,Jones,4.4,4.4,Liverpool,35,1.701,27,1.38
D,Neco Williams,3.8,3.8,Liverpool,2,0.09,2,0.1
M,Elliott,4.3,4.3,Liverpool,0,0,0,0
D,Fernandinho,5.4,5.4,Man City,24,1.128,26,1.296
G,Bravo,4.5,4.5,Man City,0,0,0,0
F,Agüero,10.3,10.3,Man City,19,1.233,51,3.393
D,Otamendi,4.9,4.9,Man City,0,0,0,0
D,Walker,6.1,6.1,Man City,24,1.106,28,1.355
M,Gündogan,5.6,5.6,Man City,41,2.168,40,2.243
M,De Bruyne,11.8,11.8,Man City,51,3.663,50,3.847
D,Stones,5.1,5.1,Man City,59,2.774,76,3.708
D,Mendy,5.9,5.9,Man City,39,1.845,37,1.851
M,Mahrez,8.1,8.1,Man City,64,4.052,59,3.981
M,Sterling,11.0,11.0,Man City,60,3.812,59,4.012
D,Cancelo,5.8,5.8,Man City,49,2.455,48,2.551
G,Ederson,6.1,6.1,Man City,81,3.773,86,4.077
D,Aké,5.4,5.4,Man City,48,2.308,49,2.474
D,Laporte,6.0,6.0,Man City,42,1.907,43,2.053
M,Bernardo Silva,7.4,7.4,Man City,59,2.754,61,3.01
F,Jesus,9.1,9.1,Man City,55,3.256,65,4.065
D,Zinchenko,5.5,5.5,Man City,23,1.127,24,1.228
M,Foden,6.1,6.1,Man City,64,3.963,51,3.381
M,Doyle,4.4,4.4,Man City,0,0,0,0
M,Rodrigo,5.3,5.3,Man City,74,2.746,73,2.868
M,Torres,7.0,7.0,Man City,70,4.105,31,2.004
D,Garcia,4.7,4.7,Man City,4,0.178,7,0.324
G,Romero,4.9,4.9,Man Utd,0,0,0,0
M,Mata,5.8,5.8,Man Utd,10,0.572,7,0.36
G,de Gea,5.3,5.3,Man Utd,35,1.621,34,1.497
D,Smalling,4.9,4.9,Man Utd,0,0,0,0
F,Ighalo,6.1,6.1,Man Utd,0,0,0,0
D,Rojo,4.8,4.8,Man Utd,0,0,0,0
M,Matic,4.7,4.7,Man Utd,18,0.645,18,0.61
M,Pogba,7.6,7.6,Man Utd,59,3.686,57,3.136
D,Jones,4.8,4.8,Man Utd,0,0,0,0
D,Maguire,5.6,5.6,Man Utd,0,0,0,0
M,Fred,5.3,5.3,Man Utd,75,2.638,71,2.326
D,Shaw,5.5,5.5,Man Utd,80,4.524,60,2.971
M,Lingard,6.6,6.4,West Ham,78,4.526,79,4.472
M,Fernandes,11.4,11.1,Man Utd,81,6.38,71,4.846
F,Martial,8.6,8.6,Man Utd,29,1.918,50,2.871
M,Pereira,4.8,4.8,Man Utd,0,0,0,0
G,Henderson,5.2,5.2,Man Utd,86,4.001,86,3.81
M,Rashford,9.6,9.6,Man Utd,73,5.501,72,4.696
D,Tuanzebe,4.1,4.1,Man Utd,14,0.637,18,0.746
D,Lindelöf,4.8,4.8,Man Utd,86,3.903,84,3.443
M,McTominay,4.9,4.9,Man Utd,66,2.589,64,2.315
D,Bailly,4.8,4.8,Man Utd,78,3.499,77,3.083
M,James,6.2,6.2,Man Utd,18,1.002,34,1.681
D,Fosu-Mensah,4.3,4.3,Man Utd,0,0,0,0
D,Wan-Bissaka,5.7,5.7,Man Utd,89,4.373,55,2.421
D,Dalot,4.8,4.8,Man Utd,0,0,0,0
M,Greenwood,7.2,7.2,Man Utd,73,4.59,72,3.981
M,Chong,4.4,4.4,Man Utd,0,0,0,0
M,Garner,4.4,4.4,Man Utd,0,0,0,0
D,Williams,4.2,4.2,Man Utd,0,0,3,0.123
D,Mengi,3.9,3.9,Man Utd,0,0,0,0
F,Carroll,5.1,5.1,Newcastle,5,0.309,5,0.256
M,Shelvey,5.3,5.3,Newcastle,85,3.344,83,2.732
M,Ritchie,4.9,4.9,Newcastle,74,3.49,60,2.351
D,Fernández,4.7,4.7,Newcastle,84,3.827,71,2.248
D,Clark,4.5,4.5,Newcastle,51,2.306,24,0.776
G,Darlow,4.9,4.9,Newcastle,0,0,0,0
G,Dubravka,4.8,4.8,Newcastle,88,3.946,87,3.428
D,Lejeune,4.3,4.3,Newcastle,0,0,0,0
D,Lascelles,4.2,4.2,Newcastle,0,0,36,1.072
F,Gayle,5.9,5.9,Newcastle,28,1.809,30,1.59
M,Atsu,5.2,5.2,Newcastle,0,0,0,0
D,Dummett,4.4,4.4,Newcastle,78,3.183,61,1.799
D,Manquillo,4.2,4.2,Newcastle,4,0.162,3,0.09
D,Krafth,4.2,4.2,Newcastle,55,2.359,28,0.876
D,Schär,4.8,4.8,Newcastle,0,0,74,2.181
D,Yedlin,4.3,4.3,Newcastle,0,0,0,0
M,Hayden,4.6,4.6,Newcastle,0,0,0,0
M,Aarons,4.8,4.8,Newcastle,0,0,0,0
M,Saint-Maximin,5.1,5.1,Newcastle,75,4.876,78,3.959
M,Almirón,5.6,5.6,Newcastle,72,3.752,71,2.991
F,Joelinton,5.7,5.7,Newcastle,71,3.899,74,3.27
F,Muto,4.8,4.8,Newcastle,0,0,0,0
D,Watts,3.9,3.9,Newcastle,0,0,0,0
F,Sharp,5.5,5.5,Sheffield Utd,0,0,0,0
F,McGoldrick,5.2,5.2,Sheffield Utd,76,3.276,71,3.373
D,Basham,4.6,4.6,Sheffield Utd,80,1.921,77,2.272
M,Fleck,5.6,5.6,Sheffield Utd,84,2.515,78,2.52
D,Stevens,5.0,5.0,Sheffield Utd,85,2.287,82,2.718
G,Moore,4.3,4.3,Sheffield Utd,0,0,0,0
M,Norwood,4.5,4.5,Sheffield Utd,77,2.702,72,2.737
G,Foderingham,4.3,4.3,Sheffield Utd,0,0,0,0
D,Baldock,4.9,4.9,Sheffield Utd,79,2.054,76,2.429
D,Jack Robinson,4.2,4.2,Sheffield Utd,67,1.555,67,1.905
D,Egan,4.7,4.7,Sheffield Utd,85,2.086,83,2.5
D,O'Connell,4.7,4.7,Sheffield Utd,0,0,0,0
M,Lundstram,4.8,4.8,Sheffield Utd,28,1.077,26,1.064
M,Osborn,4.7,4.7,Sheffield Utd,55,1.968,52,1.969
F,McBurnie,5.6,5.6,Sheffield Utd,0,0,0,0
F,Callum Robinson,5.2,5.2,West Brom,45,1.906,46,1.973
F,Mousset,5.8,5.8,Sheffield Utd,38,1.739,39,1.952
M,Berge,4.9,4.9,Sheffield Utd,10,0.345,31,1.083
F,Long,5.1,5.1,Southampton,0,0,0,0
D,Bertrand,5.0,5.0,Southampton,0,0,0,0
G,McCarthy,4.4,4.4,Southampton,44,1.647,79,2.836
M,Oriol Romeu,4.5,4.5,Southampton,61,1.688,80,2.06
M,Redmond,6.4,6.4,Southampton,58,2.701,57,2.284
F,Ings,8.4,8.4,Southampton,65,4.064,65,3.351
D,Stephens,4.6,4.6,Southampton,40,1.129,41,0.968
M,Armstrong,5.5,5.5,Southampton,68,2.732,64,2.338
D,Vestergaard,4.7,4.7,Southampton,88,2.507,84,2.019
M,Ward-Prowse,5.9,5.9,Southampton,86,3.609,85,3.088
G,Gunn,4.3,4.3,Southampton,0,0,0,0
M,Boufal,5.4,5.4,Southampton,0,0,0,0
M,Reed,4.4,4.4,Fulham,72,1.943,65,2.08
M,Sims,4.3,4.3,Southampton,0,0,0,0
D,Walker-Peters,4.7,4.7,Southampton,86,2.422,83,1.919
D,Bednarek,4.7,4.7,Southampton,87,2.237,85,1.802
F,Adams,5.7,5.7,Southampton,69,3.91,67,3.113
D,Valery,4.7,4.7,Southampton,0,0,0,0
M,Smallbone,4.3,4.3,Southampton,0,0,0,0
D,Vokins,3.9,3.9,Southampton,0,0,0,0
F,Obafemi,4.6,4.6,Southampton,4,0.233,4,0.2
M,Djenepo,5.4,5.4,Southampton,11,0.466,13,0.489
G,Lloris,5.6,5.6,Spurs,89,3.886,88,3.524
D,Rose,4.7,4.7,Spurs,0,0,0,0
M,Sissoko,4.7,4.7,Spurs,8,0.307,13,0.446
D,Alderweireld,5.4,5.4,Spurs,82,3.338,81,2.55
M,Lamela,5.7,5.7,Spurs,22,1.18,28,1.219
F,Kane,11.8,11.7,Spurs,86,6.846,86,5.241
D,Aurier,5.2,5.2,Spurs,25,1.233,47,1.741
M,Son,9.7,9.3,Spurs,81,5.143,80,4.009
D,Dier,4.6,4.6,Spurs,86,3.566,79,2.515
M,Lucas Moura,6.5,6.5,Spurs,32,1.782,36,1.637
G,Gazzaniga,4.3,4.3,Spurs,0,0,0,0
M,Alli,7.4,7.4,Spurs,51,3.088,46,2.218
D,Davies,4.5,4.5,Spurs,0,0,0,0
M,Højbjerg,4.9,4.9,Spurs,87,2.76,82,2.326
M,Winks,5.1,5.1,Spurs,7,0.237,7,0.217
D,Sánchez,5.2,5.2,Spurs,7,0.27,9,0.276
D,Sessegnon,4.7,4.7,Spurs,0,0,0,0
M,Bergwijn,7.0,7.0,Spurs,2,0.103,3,0.13
M,Fernandes,4.7,4.7,Spurs,0,0,0,0
D,Tanganga,4.9,4.9,Spurs,27,1.127,16,0.511
M,Lo Celso,6.9,6.9,Spurs,57,2.303,55,1.89
M,Skipp,4.4,4.4,Spurs,0,0,0,0
M,Ndombele,5.9,5.9,Spurs,37,1.501,40,1.411
D,Foyth,4.3,4.3,Spurs,0,0,0,0
D,Gibbs,4.3,4.3,West Brom,1,0.024,4,0.089
F,Robson-Kanu,5.2,5.2,West Brom,33,1.546,33,1.567
M,Livermore,4.7,4.7,West Brom,10,0.346,14,0.481
M,Grosicki,5.2,5.2,West Brom,0,0,0,0
M,Phillips,5.1,5.1,West Brom,64,2.356,65,2.392
D,Bartley,4.4,4.4,West Brom,85,1.883,82,1.654
M,Sawyers,4.6,4.6,West Brom,2,0.062,4,0.123
D,Hegazi,4.1,4.1,West Brom,0,0,0,0
F,Austin,5.1,5.1,West Brom,0,0,0,0
F,Zohore,4.8,4.8,West Brom,0,0,0,0
G,Johnstone,4.6,4.6,West Brom,88,3.221,88,3.187
D,Townsend,4.4,4.4,West Brom,89,1.984,86,1.745
D,Ajayi,4.8,4.8,West Brom,73,1.757,72,1.594
M,Leko,4.5,4.5,West Brom,0,0,0,0
M,Edwards,4.6,4.6,West Brom,0,0,0,0
D,Furlong,4.5,4.5,West Brom,83,1.916,82,1.73
M,Field,4.8,4.8,West Brom,0,0,0,0
M,Burke,4.1,4.1,Sheffield Utd,0,0,0,0
D,O'Shea,4.2,4.2,West Brom,38,0.79,38,0.717
M,Harper,4.3,4.3,West Brom,0,0,0,0
M,Noble,4.5,4.5,West Ham,11,0.513,12,0.555
M,Snodgrass,5.6,5.6,West Brom,0,0,0,0
G,Martin,3.9,3.9,West Ham,0,0,0,0
G,Randolph,4.3,4.3,West Ham,0,0,0,0
G,Fabianski,5.0,5.0,West Ham,88,3.803,87,3.644
D,Ogbonna,4.7,4.7,West Ham,83,3.261,81,3.003
G,Roberto,4.5,4.5,West Ham,0,0,0,0
M,Wilshere,4.9,4.9,West Ham,0,0,0,0
D,Cresswell,5.6,5.6,West Ham,79,3.736,77,3.42
M,Yarmolenko,5.5,5.5,West Ham,26,1.451,25,1.369
F,Antonio,6.5,6.5,West Ham,80,5.132,77,4.883
D,Fredericks,4.2,4.2,West Ham,5,0.222,6,0.256
M,Lanzini,6.4,6.4,West Ham,0,0,5,0.243
