Pos,ID,Name,BV,SV,Team,37_xMins,38_xMins,37_Pts,38_Pts
G,105,Valdimarsson,3.8,3.8,Brentford,0.90,0.90,0.03,0.03
D,106,Collins,4.9,4.9,Brentford,81.00,81.00,4.05,2.87
D,107,Lewis-Potter,4.8,4.8,Brentford,77.10,77.10,4.27,2.67
D,108,Ajer,4.4,4.4,Brentford,47.55,47.55,2.41,1.77
D,109,Henry,4.3,4.3,Brentford,0.00,0.00,0.00,0.00
D,110,Kayode,4.6,4.6,Brentford,85.35,85.35,3.94,2.46
D,111,Pinnock,4.2,4.2,Brentford,2.40,2.40,0.11,0.10
D,113,Van den Berg,4.4,4.4,Brentford,55.35,55.35,2.72,1.96
D,116,Hickey,4.0,4.0,Brentford,9.75,9.75,0.44,0.36
M,119,Mbeumo,8.3,8.3,Man Utd,70.95,65.40,4.49,3.38
M,120,Schade,6.8,6.8,Brentford,78.45,78.45,4.63,3.39
M,121,Damsgaard,5.6,5.6,Brentford,69.60,69.60,3.91,3.25
M,122,Milambo,5.2,5.2,Brentford,0.00,0.00,0.00,0.00
M,123,Carvalho,4.6,4.6,Brentford,0.00,0.00,0.00,0.00
M,124,Henderson,5.0,5.0,Brentford,56.85,56.85,2.26,2.02
M,125,Janelt,4.9,4.9,Brentford,48.45,48.45,2.27,2.02
M,126,Jensen,4.9,4.9,Brentford,80.55,80.55,3.82,3.22
M,129,Yarmoliuk,5.0,5.0,Brentford,63.30,63.30,2.52,2.31
M,130,Donovan,4.4,4.4,Brentford,6.00,6.00,0.35,0.27
F,135,Wissa,7.3,7.3,Newcastle,16.20,16.20,1.00,0.94
F,136,Thiago,7.3,7.3,Brentford,84.15,84.15,5.51,4.04
G,138,Steele,4.2,4.2,Brighton,0.90,0.90,0.03,0.03
G,139,Verbruggen,4.6,4.6,Brighton,89.10,89.10,3.20,3.39
G,140,McGill,3.9,3.9,Brighton,0.00,0.00,0.00,0.00
D,143,Boscagli,4.2,4.2,Brighton,14.55,14.55,0.67,0.61
D,145,De Cuyper,4.3,4.3,Brighton,78.15,63.45,3.84,3.05
D,146,Dunk,4.5,4.5,Brighton,76.80,76.80,3.06,2.79
D,148,F.Kadıoğlu,4.4,4.4,Brighton,85.35,85.35,3.33,3.17
D,149,Igor,4.5,4.5,Brighton,0.00,0.00,0.00,0.00
D,151,Van Hecke,4.7,4.7,Brighton,87.45,87.45,4.05,3.62
D,152,Veltman,4.3,4.3,Brighton,43.35,16.65,1.92,0.66
D,153,Webster,4.4,4.4,Brighton,0.00,0.00,0.00,0.00
D,156,Tasker,3.8,3.8,Brighton,0.30,0.30,0.01,0.01
M,157,Mitoma,6.1,6.1,Brighton,0.00,0.00,0.00,0.00
M,158,Georginio,5.6,5.6,Brighton,29.40,21.60,1.59,1.15
M,159,March,5.8,5.8,Brighton,3.00,3.00,0.16,0.15
M,160,Minteh,5.5,5.5,Brighton,80.70,72.00,3.90,3.58
M,163,Hinshelwood,5.2,5.2,Brighton,81.30,81.30,3.75,3.71
M,164,O'Riley,5.5,5.5,Brighton,1.50,1.50,0.08,0.07
M,166,Ayari,4.8,4.8,Brighton,24.00,24.00,1.05,1.07
M,167,Baleba,4.5,4.5,Brighton,40.20,40.20,1.55,1.58
M,168,Buonanotte,4.6,4.6,Leeds United,0.00,0.00,0.00,0.00
M,169,Gomez,4.9,4.9,Brighton,58.35,71.70,3.02,3.70
M,170,Milner,4.9,4.9,Brighton,18.60,18.60,0.78,0.77
M,173,Wieffer,4.9,4.9,Brighton,39.90,80.70,1.87,3.44
F,178,Welbeck,6.4,6.4,Brighton,77.10,77.10,4.44,4.43
F,180,Tzimas,5.2,5.2,Brighton,0.00,0.00,0.00,0.00
F,181,Kostoulas,4.8,4.8,Brighton,19.80,19.80,1.05,1.06
G,182,Trafford,4.5,4.5,Man City,1.80,1.80,0.06,0.07
G,183,Weiss,4.2,4.2,Burnley,45.00,45.00,0.78,1.60
G,185,Hladký,3.9,3.9,Burnley,0.00,0.00,0.00,0.00
D,186,Roberts,4.3,4.3,Burnley,0.00,0.00,0.00,0.00
D,187,Walker,4.4,4.4,Burnley,81.15,81.15,1.03,2.92
D,190,Ekdal,3.8,3.8,Burnley,20.10,20.10,0.60,0.91
D,191,Estève,3.9,3.9,Burnley,87.45,87.45,2.02,3.82
D,192,Hartman,4.0,4.0,Burnley,37.20,37.20,0.86,1.71
D,193,Humphreys,3.9,3.9,Burnley,37.50,37.50,0.81,1.57
D,194,Jordan,3.9,3.9,Burnley,0.00,0.00,0.00,0.00
D,195,Lucas Pires,3.8,3.8,Burnley,55.05,55.05,0.85,2.26
D,198,Tuanzebe,3.9,3.9,Burnley,38.10,38.10,0.91,1.60
D,199,Worrall,3.8,3.8,Burnley,9.75,9.75,0.32,0.41
M,200,Anthony,5.0,5.0,Burnley,80.40,80.40,2.83,4.32
M,202,Bruun Larsen,5.2,5.2,Burnley,9.60,9.60,0.35,0.46
M,203,Boateng,4.7,4.7,Burnley,0.00,0.00,0.00,0.00
M,205,Cullen,4.9,4.9,Burnley,0.00,0.00,0.00,0.00
M,206,Edwards,4.7,4.7,Burnley,23.40,23.40,0.85,1.20
M,207,Hannibal,4.7,4.7,Burnley,51.45,51.45,1.61,2.17
M,209,Laurent,4.8,4.8,Burnley,61.05,61.05,1.78,1.93
M,210,Tchaouna,4.8,4.8,Burnley,65.40,65.40,2.13,2.98
M,214,Trésor,4.3,4.3,Burnley,5.70,5.70,0.21,0.24
F,215,Flemming,5.3,5.3,Burnley,81.90,81.90,2.74,4.09
F,216,Amdouni,4.8,4.8,Burnley,6.00,6.00,0.24,0.34
F,217,Foster,4.9,4.9,Burnley,22.05,22.05,0.81,1.11
F,218,Barnes,4.2,4.2,Burnley,1.50,1.50,0.06,0.08
G,220,Sánchez,4.8,4.8,Chelsea,81.00,81.00,2.71,3.23
G,221,Jörgensen,4.3,4.3,Chelsea,9.00,9.00,0.31,0.35
G,223,Slonina,3.9,3.9,Chelsea,0.00,0.00,0.00,0.00
D,224,Cucurella,6.1,6.1,Chelsea,81.15,74.40,3.28,3.32
D,225,James,5.6,5.6,Chelsea,35.25,35.25,1.69,1.78
D,226,Chalobah,5.4,5.4,Chelsea,75.75,75.75,3.26,3.66
D,227,Colwill,4.7,4.7,Chelsea,72.60,72.60,2.69,3.09
D,228,Gusto,4.8,4.8,Chelsea,67.20,64.20,3.20,3.45
D,229,B.Badiashile,4.4,4.4,Chelsea,3.90,3.90,0.16,0.17
D,230,Fofana,4.4,4.4,Chelsea,24.30,24.30,1.07,1.16
D,231,M.Sarr,4.5,4.5,Chelsea,3.90,3.90,0.15,0.14
D,232,Tosin,4.0,4.0,Chelsea,15.75,15.75,0.65,0.69
D,233,Acheampong,3.7,3.7,Chelsea,3.90,3.90,0.15,0.17
M,235,Palmer,10.3,10.3,Chelsea,73.80,80.40,4.76,4.90
M,236,Neto,7.0,7.0,Chelsea,37.20,72.45,2.03,3.67
M,237,Enzo,6.4,6.4,Chelsea,76.95,81.90,4.14,4.08
M,238,Estêvão,6.4,6.4,Chelsea,0.00,0.00,0.00,0.00
M,239,Gittens,6.0,6.0,Chelsea,0.00,0.00,0.00,0.00
M,241,Caicedo,5.7,5.7,Chelsea,84.90,84.90,3.38,3.19
M,242,Dewsbury-Hall,5.3,5.3,Everton,83.85,83.85,4.54,3.87
M,243,George,4.8,4.8,Everton,15.30,15.30,0.79,0.70
M,244,Lavia,4.9,4.9,Chelsea,39.75,25.05,1.46,0.92
M,245,Mudryk,4.9,4.9,Chelsea,0.00,0.00,0.00,0.00
M,246,Andrey Santos,4.4,4.4,Chelsea,40.80,40.80,1.84,1.76
M,247,D.Essugo,4.3,4.3,Chelsea,0.00,0.00,0.00,0.00
F,249,João Pedro,7.5,7.5,Chelsea,71.85,77.85,4.37,4.33
F,250,Delap,6.2,6.2,Chelsea,46.50,26.55,2.57,1.43
F,252,Marc Guiu,4.0,4.0,Chelsea,1.50,1.50,0.08,0.08
G,253,Henderson,5.1,5.1,Crystal Palace,88.20,88.20,2.59,2.86
G,254,Benitez,3.9,3.9,Crystal Palace,1.80,1.80,0.05,0.06
G,255,Matthews,3.9,3.9,Crystal Palace,0.00,0.00,0.00,0.00
D,256,Muñoz,5.9,5.9,Crystal Palace,86.10,86.10,3.29,3.11
D,257,Lacroix,5.2,5.2,Crystal Palace,86.10,86.10,3.49,3.46
D,258,Mitchell,5.0,5.0,Crystal Palace,82.95,82.95,2.65,2.61
D,259,Sosa,4.8,4.8,Crystal Palace,5.40,5.40,0.21,0.20
D,260,Guéhi,5.1,5.1,Man City,81.30,81.30,3.70,4.10
D,261,Richards,4.4,4.4,Crystal Palace,79.95,79.95,3.13,3.10
D,262,Chadi Riad,4.0,4.0,Crystal Palace,18.15,18.15,0.68,0.66
D,263,Clyne,3.8,3.8,Crystal Palace,2.25,2.25,0.09,0.10
D,265,Kporha,4.0,4.0,Crystal Palace,0.00,0.00,0.00,0.00
M,266,Eze,7.3,7.3,Arsenal,44.10,55.80,3.45,3.21
M,267,Sarr,6.4,6.4,Crystal Palace,54.15,54.15,2.55,2.25
M,268,Doucouré,4.9,4.9,Crystal Palace,0.00,0.00,0.00,0.00
M,270,Hughes,4.7,4.7,Crystal Palace,52.35,52.35,1.67,1.57
M,271,Kamada,5.0,5.0,Crystal Palace,46.95,46.95,1.81,1.64
M,272,Lerma,4.9,4.9,Crystal Palace,59.85,59.85,2.22,2.03
M,273,Wharton,5.0,5.0,Crystal Palace,64.05,64.05,2.66,2.38
M,274,Agbinone,4.3,4.3,Crystal Palace,0.30,0.30,0.01,0.01
M,276,Devenny,4.3,4.3,Crystal Palace,9.15,9.15,0.39,0.37
M,281,Rodney,4.4,4.4,Crystal Palace,0.30,0.30,0.01,0.01
F,283,Mateta,7.6,7.6,Crystal Palace,36.45,36.45,1.88,1.65
F,284,Nketiah,5.4,5.4,Crystal Palace,0.00,0.00,0.00,0.00
F,286,Marsh,4.4,4.4,Crystal Palace,0.30,0.30,0.02,0.01
G,287,Pickford,5.6,5.6,Everton,89.10,89.10,3.54,3.23
G,288,Travers,4.2,4.2,Everton,0.90,0.90,0.04,0.03
D,290,Branthwaite,5.3,5.3,Everton,0.00,0.00,0.00,0.00
D,291,Tarkowski,5.7,5.7,Everton,87.45,87.45,4.51,3.99
D,292,Mykolenko,4.9,4.9,Everton,85.20,85.20,3.98,3.32
D,293,O'Brien,4.9,4.9,Everton,85.95,85.95,3.62,3.00
D,294,Coleman,4.2,4.2,Everton,2.40,2.40,0.09,0.09
D,295,Keane,4.5,4.5,Everton,84.90,84.90,4.47,3.95
D,296,Patterson,4.4,4.4,Everton,4.50,4.50,0.19,0.17
D,298,Welch,3.8,3.8,Everton,0.00,0.00,0.00,0.00
M,299,Ndiaye,6.2,6.2,Everton,83.25,83.25,5.09,4.41
M,300,McNeil,5.5,5.5,Everton,24.75,21.00,1.26,0.94
M,301,Alcaraz,5.2,5.2,Everton,12.45,12.45,0.65,0.54
M,302,Gana,5.4,5.4,Everton,0.00,81.30,0.00,2.95
M,303,Garner,5.2,5.2,Everton,87.00,87.00,4.49,4.30
M,304,Iroegbunam,4.8,4.8,Everton,83.25,22.80,3.07,0.82
M,305,Armstrong,4.5,4.5,Everton,19.65,19.65,0.90,0.80
M,306,Bates,4.3,4.3,Everton,0.30,0.30,0.02,0.01
M,307,Ebere,4.4,4.4,Everton,0.30,0.30,0.01,0.01
F,310,Barry,5.7,5.7,Everton,27.90,27.90,1.60,1.35
F,311,Beto,5.0,5.0,Everton,71.70,71.70,3.89,3.32
G,314,Leno,5.0,5.0,Fulham,89.10,89.10,3.37,3.08
D,316,Robinson,4.9,4.9,Fulham,85.05,66.15,4.18,2.95
D,317,Andersen,4.5,4.5,Fulham,0.00,0.00,0.00,0.00
D,318,Bassey,4.4,4.4,Fulham,81.00,81.00,3.32,2.93
D,319,Castagne,4.3,4.3,Fulham,72.90,72.90,3.43,3.04
D,320,Diop,4.3,4.3,Fulham,83.40,83.40,3.55,3.17
D,321,J.Cuenca,4.3,4.3,Fulham,23.55,27.75,1.20,1.27
D,322,Tete,4.5,4.5,Fulham,22.05,22.05,1.04,0.95
D,323,Amissah,3.8,3.8,Fulham,1.50,1.50,0.06,0.06
M,324,Iwobi,6.1,6.1,Fulham,61.95,18.75,2.79,0.83
M,325,Smith Rowe,5.6,5.6,Fulham,64.80,64.80,3.34,3.18
M,326,Adama,5.1,5.1,West Ham,0.00,21.45,0.00,1.02
M,328,Sessegnon,5.4,5.4,Fulham,0.00,22.50,0.00,0.97
M,329,Wilson,5.9,5.9,Fulham,67.80,67.80,4.27,3.98
M,330,Berge,4.9,4.9,Fulham,14.10,38.40,0.50,1.33
M,331,Cairney,4.8,4.8,Fulham,49.20,60.00,2.07,2.40
M,332,Lukić,4.9,4.9,Fulham,77.10,73.80,3.10,2.89
M,335,King,4.4,4.4,Fulham,42.00,42.00,2.08,1.95
M,336,Reed,4.3,4.3,Fulham,1.50,1.50,0.07,0.06
F,337,Raúl,6.0,6.0,Fulham,43.20,43.20,2.55,2.38
F,338,Muniz,5.3,5.3,Fulham,51.60,51.60,2.68,2.56
G,339,Meslier,4.1,4.1,Leeds United,0.00,0.00,0.00,0.00
G,340,Cairns,3.9,3.9,Leeds United,0.00,0.00,0.00,0.00
G,341,Darlow,4.0,4.0,Leeds United,89.10,89.10,2.83,3.16
D,342,Bogle,4.4,4.4,Leeds United,0.00,82.50,0.00,3.03
D,343,Struijk,4.2,4.2,Leeds United,47.10,86.85,1.81,3.45
D,344,Bijol,3.9,3.9,Leeds United,85.80,30.75,3.62,1.42
D,345,Bornauw,3.8,3.8,Leeds United,54.30,3.00,1.95,0.10
D,346,Byram,3.7,3.7,Leeds United,1.50,1.50,0.05,0.05
D,347,Gudmundsson,3.8,3.8,Leeds United,0.00,79.50,0.00,3.01
D,348,Rodon,3.9,3.9,Leeds United,86.85,86.85,2.95,3.22
M,350,Aaronson,5.4,5.4,Leeds United,69.75,69.75,3.25,3.21
M,351,Gnonto,5.1,5.1,Leeds United,56.55,9.15,2.36,0.45
M,353,James,5.2,5.2,Leeds United,58.65,12.15,2.49,0.62
M,354,Ampadu,4.9,4.9,Leeds United,19.50,86.70,0.73,3.32
M,356,Gruev,4.7,4.7,Leeds United,0.00,0.00,0.00,0.00
M,358,Tanaka,4.8,4.8,Leeds United,80.40,58.80,3.33,2.54
F,362,Piroe,4.9,4.9,Leeds United,1.50,1.50,0.08,0.08
F,365,Nmecha,5.0,5.0,Leeds United,60.15,18.15,2.88,1.00
G,366,A.Becker,5.4,5.4,Liverpool,18.00,72.00,0.63,2.68
G,367,Mamardashvili,4.1,4.1,Liverpool,72.00,18.00,2.69,0.65
G,368,Pécsi,3.8,3.8,Liverpool,0.00,0.00,0.00,0.00
G,369,Woodman,3.9,3.9,Liverpool,0.00,0.00,0.00,0.00
D,370,Frimpong,5.7,5.7,Liverpool,78.15,56.10,3.59,2.64
D,371,Kerkez,5.6,5.6,Liverpool,74.10,53.40,3.13,2.55
D,372,Robertson,5.7,5.7,Liverpool,19.05,40.20,0.78,1.91
D,373,Virgil,6.1,6.1,Liverpool,87.45,87.45,3.77,4.28
D,374,Konaté,5.4,5.4,Liverpool,83.85,83.85,3.58,4.01
D,375,Bradley,4.9,4.9,Liverpool,0.00,0.00,0.00,0.00
D,376,Gomez,4.9,4.9,Liverpool,18.45,18.45,0.78,0.85
D,378,Nallo,3.7,3.7,Liverpool,0.30,0.30,0.01,0.01
D,379,R.Williams,3.7,3.7,Liverpool,0.30,0.30,0.01,0.01
D,380,Ramsay,3.7,3.7,Liverpool,0.30,0.30,0.01,0.01
M,381,M.Salah,14.0,14.0,Liverpool,9.00,51.45,0.61,3.65
M,382,Wirtz,8.3,8.3,Liverpool,44.40,80.40,2.29,4.61
M,384,Gakpo,7.3,7.3,Liverpool,83.25,79.80,4.30,4.59
M,385,Chiesa,6.3,6.3,Liverpool,2.70,2.70,0.14,0.16
M,386,Mac Allister,6.1,6.1,Liverpool,82.80,61.05,3.25,2.51
M,387,Szoboszlai,7.0,7.0,Liverpool,86.85,86.85,4.56,4.65
M,388,C.Jones,5.4,5.4,Liverpool,83.55,64.65,3.54,3.03
M,389,Elliott,5.1,5.1,Aston Villa,0.00,0.00,0.00,0.00
M,390,Gravenberch,5.4,5.4,Liverpool,83.25,83.25,3.04,3.16
M,391,Gannon-Doak,4.8,4.8,Bournemouth,10.95,10.95,0.52,0.52
M,392,Endo,4.9,4.9,Liverpool,0.00,0.00,0.00,0.00
M,393,Bajcetic,4.2,4.2,Liverpool,0.30,0.30,0.01,0.02
M,396,Nyoni,4.3,4.3,Liverpool,0.30,0.30,0.01,0.02
F,398,Danns,4.3,4.3,Liverpool,0.30,0.30,0.02,0.02
G,400,Ortega Moreno,4.7,4.7,Nott'm Forest,1.80,1.80,0.05,0.06
G,401,Bettinelli,3.8,3.8,Man City,0.00,0.00,0.00,0.00
D,402,Aït-Nouri,5.7,5.7,Man City,42.60,28.80,2.08,1.52
D,403,Gvardiol,5.8,5.8,Man City,16.95,16.95,0.78,0.81
D,405,Aké,5.2,5.2,Man City,17.25,17.25,0.78,0.85
D,406,Khusanov,5.4,5.4,Man City,63.60,63.60,2.81,3.07
D,407,Matheus N.,5.3,5.3,Man City,80.85,80.85,3.43,3.90
D,408,Rúben,5.5,5.5,Man City,23.70,23.70,0.98,1.05
D,409,Stones,5.4,5.4,Man City,3.00,3.00,0.12,0.12
D,410,Lewis,4.6,4.6,Man City,1.50,1.50,0.07,0.07
D,411,O'Reilly,5.3,5.3,Man City,72.60,81.15,3.69,4.59
M,413,Marmoush,8.3,8.3,Man City,18.00,18.00,1.23,1.21
M,414,Foden,8.0,8.0,Man City,32.55,32.55,2.02,2.09
M,415,Savinho,6.9,6.9,Man City,15.30,15.30,0.85,0.83
M,416,Bernardo,6.2,6.2,Man City,75.60,75.60,3.21,3.31
M,417,Cherki,6.6,6.6,Man City,62.85,62.85,3.98,4.09
M,418,Doku,6.5,6.5,Man City,77.10,77.10,4.15,4.26
M,419,Grealish,6.3,6.3,Everton,0.00,0.00,0.00,0.00
M,421,Rodrigo,6.3,6.3,Man City,61.80,75.15,2.99,3.64
M,422,Kovačić,5.8,5.8,Man City,10.95,6.90,0.43,0.27
M,423,N.Gonzalez,5.9,5.9,Man City,9.90,9.90,0.38,0.39
M,424,Bobb,5.1,5.1,Fulham,35.55,35.55,1.79,1.70
M,426,McAtee,5.0,5.0,Nott'm Forest,8.25,8.25,0.38,0.39
M,427,Reijnders,5.0,5.0,Man City,18.90,18.90,1.01,1.02
M,428,Nypan,5.0,5.0,Man City,0.00,0.00,0.00,0.00
F,430,Haaland,14.7,14.7,Man City,84.30,84.30,6.13,6.26
G,431,Bayindir,4.7,4.7,Man Utd,0.90,0.90,0.03,0.03
G,434,Heaton,3.8,3.8,Man Utd,0.00,0.00,0.00,0.00
G,435,Mee,3.9,3.9,Man Utd,0.00,0.00,0.00,0.00
D,436,De Ligt,4.9,4.9,Man Utd,0.00,0.00,0.00,0.00
D,437,Martinez,4.8,4.8,Man Utd,80.55,80.55,3.48,2.75
D,438,Mazraoui,4.9,4.9,Man Utd,30.00,30.00,1.39,1.22
D,439,D.Leon,4.1,4.1,Man Utd,0.00,0.00,0.00,0.00
D,440,Dalot,4.5,4.5,Man Utd,73.50,73.50,3.36,2.56
D,441,Dorgu,4.1,4.1,Man Utd,18.30,18.30,0.92,0.77
D,442,Maguire,4.4,4.4,Man Utd,79.80,79.80,3.78,2.99
D,443,Shaw,4.5,4.5,Man Utd,81.75,81.75,3.38,2.62
D,444,Yoro,4.1,4.1,Man Utd,16.20,16.20,0.69,0.60
D,446,Fredricson,3.7,3.7,Man Utd,0.00,0.00,0.00,0.00
D,447,Heaven,3.7,3.7,Man Utd,16.50,16.50,0.71,0.63
D,448,Malacia,3.7,3.7,Man Utd,0.60,0.60,0.02,0.02
M,449,B.Fernandes,10.4,10.4,Man Utd,87.60,87.60,6.05,4.90
M,450,Cunha,8.1,8.1,Man Utd,81.60,81.60,4.95,4.01
M,452,Amad,6.2,6.2,Man Utd,70.95,57.75,3.81,2.63
M,453,Garnacho,6.4,6.4,Chelsea,31.95,53.10,1.83,2.81
M,455,Mount,5.9,5.9,Man Utd,21.75,21.75,1.17,0.98
M,456,Sancho,5.8,5.8,Aston Villa,21.15,21.15,0.99,0.89
M,457,Casemiro,5.9,5.9,Man Utd,69.00,69.00,3.98,3.43
M,458,Mainoo,4.7,4.7,Man Utd,82.95,82.95,3.54,3.12
M,459,Ugarte,4.7,4.7,Man Utd,18.15,18.15,0.72,0.69
M,461,Fitzgerald,4.3,4.3,Man Utd,0.30,0.30,0.01,0.01
M,462,J.Fletcher,4.3,4.3,Man Utd,1.20,1.20,0.06,0.05
F,466,Zirkzee,5.8,5.8,Man Utd,10.50,3.00,0.54,0.15
F,467,Obi,4.2,4.2,Man Utd,0.60,0.60,0.04,0.03
G,469,Pope,5.0,5.0,Newcastle,81.00,81.00,2.50,2.61
G,470,Dúbravka,4.0,4.0,Burnley,45.00,45.00,0.79,1.63
G,471,Gillespie,3.9,3.9,Newcastle,0.00,0.00,0.00,0.00
D,473,Hall,5.3,5.3,Newcastle,80.10,80.10,3.40,3.29
D,474,Schär,5.2,5.2,Newcastle,0.00,0.00,0.00,0.00
D,475,Botman,4.9,4.9,Newcastle,82.95,82.95,3.69,3.78
D,476,Burn,5.0,5.0,Newcastle,81.15,81.15,3.15,3.20
D,477,Livramento,4.9,4.9,Newcastle,0.00,0.00,0.00,0.00
D,478,Trippier,4.9,4.9,Newcastle,54.90,54.90,2.17,2.07
D,479,Krafth,4.3,4.3,Newcastle,0.00,0.00,0.00,0.00
D,481,A.Murphy,3.8,3.8,Newcastle,0.00,0.00,0.00,0.00
D,483,Pivas,3.8,3.8,Newcastle,0.00,0.00,0.00,0.00
M,485,Gordon,7.3,7.3,Newcastle,4.35,4.35,0.29,0.27
M,486,Elanga,6.5,6.5,Newcastle,21.15,21.15,1.14,1.05
M,487,Barnes,6.1,6.1,Newcastle,42.60,42.60,2.36,2.13
M,488,Bruno G.,6.9,6.9,Newcastle,81.90,81.90,4.43,4.06
M,489,J.Murphy,5.9,5.9,Newcastle,44.70,44.70,2.41,2.16
M,490,Joelinton,5.9,5.9,Newcastle,41.40,71.70,1.72,2.85
