Pos,Name,BV,SV,Team,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
D,Alexander-Arnold,7.6,7.4,Liverpool,82,8.28,79,4.705,81,4.764,80,5.235
D,Gomez,5.2,5.2,Liverpool,0,0,0,0,0,0,0,0
M,Keita,5.2,5.2,Liverpool,5,0.441,5,0.233,6,0.277,5,0.242
F,Brewster,4.3,4.3,Sheffield Utd,53,2.449,54,2.042,60,2.484,49,2.215
M,Jones,4.4,4.4,Liverpool,14,1.252,17,0.797,17,0.791,15,0.73
D,Neco Williams,3.8,3.8,Liverpool,3,0.231,4,0.182,3,0.135,3,0.148
M,Elliott,4.3,4.3,Liverpool,0,0,0,0,0,0,0,0
D,Fernandinho,5.4,5.4,Man City,41,1.783,40,2.134,42,1.997,43,2.174
G,Bravo,4.5,4.5,Man City,0,0,0,0,0,0,0,0
F,Agüero,10.3,10.3,Man City,61,3.559,60,4.718,61,4.013,61,4.477
D,Otamendi,4.9,4.9,Man City,0,0,0,0,0,0,0,0
D,Walker,6.1,6.1,Man City,33,1.411,33,1.701,32,1.491,34,1.669
M,Gündogan,5.6,5.6,Man City,43,1.973,45,2.598,44,2.222,45,2.465
M,De Bruyne,11.9,11.9,Man City,71,4.315,69,5.638,67,4.596,71,5.402
D,Stones,5.1,5.1,Man City,0,0,48,2.479,46,2.167,46,2.267
D,Mendy,5.9,5.9,Man City,43,1.862,44,2.321,47,2.226,46,2.305
M,Mahrez,8.0,8.0,Man City,48,2.745,48,3.558,48,3.037,48,3.34
M,Sterling,11.1,11.1,Man City,56,3.069,53,3.874,54,3.347,55,3.762
D,Cancelo,5.9,5.9,Man City,60,2.698,60,3.348,60,2.956,58,3.063
G,Ederson,6.1,6.1,Man City,87,3.931,86,4.189,86,4.005,86,4.083
D,Aké,5.4,5.4,Man City,38,1.755,24,1.335,25,1.242,24,1.265
D,Laporte,6.0,6.0,Man City,64,2.686,51,2.613,53,2.452,52,2.534
M,Bernardo Silva,7.4,7.4,Man City,59,2.536,59,3.155,55,2.592,53,2.71
F,Jesus,9.1,9.1,Man City,63,3.261,60,4.158,62,3.633,62,4.023
D,Zinchenko,5.5,5.5,Man City,42,1.914,41,2.228,38,1.861,39,2.014
M,Foden,6.0,6.0,Man City,46,2.565,45,3.233,45,2.774,46,3.107
M,Doyle,4.4,4.4,Man City,0,0,0,0,0,0,0,0
M,Rodrigo,5.3,5.3,Man City,68,2.372,66,2.745,67,2.519,65,2.602
M,Torres,6.9,6.9,Man City,25,1.262,25,1.643,27,1.528,25,1.55
D,Garcia,4.7,4.7,Man City,0,0,0,0,0,0,0,0
G,Romero,4.9,4.9,Man Utd,0,0,0,0,0,0,0,0
M,Mata,5.8,5.8,Man Utd,3,0.422,0,0,3,0.153,2,0.096
G,de Gea,5.3,5.3,Man Utd,57,6.903,0,0,16,0.735,16,0.701
D,Smalling,4.9,4.9,Man Utd,0,0,0,0,0,0,0,0
F,Ighalo,6.1,6.1,Man Utd,0,0,0,0,0,0,0,0
D,Rojo,4.8,4.8,Man Utd,0,0,0,0,0,0,0,0
M,Matic,4.7,4.7,Man Utd,2,0.19,0,0,5,0.168,3,0.097
M,Pogba,7.6,7.6,Man Utd,60,8.099,0,0,56,2.829,60,2.818
D,Jones,4.8,4.8,Man Utd,0,0,0,0,0,0,0,0
D,Maguire,5.5,5.5,Man Utd,82,8.723,0,0,80,3.751,79,3.352
M,Fred,5.3,5.3,Man Utd,68,6.298,0,0,70,2.385,65,2.119
D,Shaw,5.4,5.4,Man Utd,75,8.912,0,0,75,3.93,77,3.624
M,Lingard,6.7,6.5,West Ham,77,3.874,77,3.265,78,3.939,77,4.045
M,Fernandes,11.5,11.1,Man Utd,70,12.47,0,0,72,4.824,73,4.512
F,Martial,8.6,8.6,Man Utd,0,0,0,0,0,0,26,1.48
M,Pereira,4.8,4.8,Man Utd,0,0,0,0,0,0,0,0
G,Henderson,5.2,5.2,Man Utd,70,8.546,0,0,77,3.571,79,3.498
M,Rashford,9.6,9.6,Man Utd,60,10.624,0,0,75,4.879,73,4.426
D,Tuanzebe,4.1,4.1,Man Utd,0,0,0,0,0,0,1,0.041
D,Lindelöf,4.8,4.8,Man Utd,71,7.138,0,0,77,3.413,76,3.051
M,McTominay,4.9,4.9,Man Utd,77,7.504,0,0,73,2.628,75,2.564
D,Bailly,4.8,4.8,Man Utd,9,0.877,0,0,20,0.864,22,0.86
M,James,6.2,6.2,Man Utd,16,2.254,0,0,40,2.024,37,1.765
D,Fosu-Mensah,4.3,4.3,Man Utd,0,0,0,0,0,0,0,0
D,Wan-Bissaka,5.7,5.7,Man Utd,77,8.257,0,0,83,3.932,75,3.219
D,Dalot,4.8,4.8,Man Utd,0,0,0,0,0,0,0,0
M,Greenwood,7.2,7.2,Man Utd,60,9.139,0,0,71,3.915,71,3.673
M,Chong,4.4,4.4,Man Utd,0,0,0,0,0,0,0,0
M,Garner,4.4,4.4,Man Utd,0,0,0,0,0,0,0,0
D,Williams,4.2,4.2,Man Utd,0,0,0,0,2,0.089,3,0.121
D,Mengi,3.9,3.9,Man Utd,0,0,0,0,0,0,0,0
F,Carroll,5.1,5.1,Newcastle,3,0.128,5,0.208,5,0.292,5,0.235
M,Shelvey,5.3,5.3,Newcastle,86,2.425,83,2.293,81,3.136,79,2.513
M,Ritchie,4.9,4.9,Newcastle,74,2.169,71,2.034,73,2.906,50,1.694
D,Fernández,4.7,4.7,Newcastle,86,1.677,83,1.236,80,3.632,60,1.786
D,Clark,4.5,4.5,Newcastle,83,1.623,80,1.211,80,3.649,59,1.773
G,Darlow,4.9,4.9,Newcastle,0,0,0,0,0,0,0,0
G,Dubravka,4.8,4.8,Newcastle,89,3.199,87,3.077,87,3.99,87,3.392
D,Lejeune,4.3,4.3,Newcastle,0,0,0,0,0,0,0,0
D,Lascelles,4.2,4.2,Newcastle,0,0,0,0,0,0,37,1.071
F,Gayle,5.9,5.9,Newcastle,18,0.761,23,0.919,21,1.169,24,1.076
M,Atsu,5.2,5.2,Newcastle,0,0,0,0,0,0,0,0
