Pos,Name,BV,SV,Team,38_xMins,38_Pts
D,Guilbert,4.3,4.3,Aston Villa,0,0
F,Wesley,6.0,6.0,Aston Villa,10,0.422
F,Samatta,5.9,5.9,Aston Villa,0,0
F,Davis,4.2,4.2,Aston Villa,17,0.691
F,Vassilev,4.3,4.3,Aston Villa,0,0
M,Douglas Luiz,4.8,4.8,Aston Villa,69,1.799
F,Murray,4.8,4.8,Brighton,0,0
M,Lallana,6.2,6.2,Brighton,60,2.262
M,Stephens,4.2,4.2,Burnley,0,0
G,Button,3.9,3.9,West Brom,0,0
M,Groß,5.8,5.8,Brighton,80,3.364
D,Duffy,4.3,4.3,Brighton,0,0
M,Pröpper,4.7,4.7,Brighton,0,0
M,Mooy,5.0,5.0,Brighton,0,0
D,Burn,4.2,4.2,Brighton,70,1.761
D,Dunk,4.8,4.8,Brighton,86,1.992
D,Montoya,4.5,4.5,Brighton,0,0
F,Andone,4.8,4.8,Brighton,20,0.88
M,March,4.9,4.9,Brighton,0,0
D,Webster,4.3,4.3,Brighton,87,1.967
D,Veltman,4.3,4.3,Brighton,0,0
F,Maupay,5.8,5.8,Brighton,0,0
M,Trossard,5.5,5.5,Brighton,70,2.981
G,Ryan,4.1,4.1,Arsenal,0,0
M,Jahanbakhsh,5.4,5.4,Brighton,57,2.115
M,Izquierdo,5.5,5.5,Brighton,2,0.083
D,Clarke,4.4,4.4,Brighton,0,0
D,White,4.5,4.5,Brighton,86,1.828
D,Bernardo,3.9,3.9,Brighton,0,0
M,Bissouma,4.4,4.4,Brighton,83,2.308
D,Lamptey,4.6,4.6,Brighton,0,0
F,Connolly,5.2,5.2,Brighton,13,0.598
M,Alzate,4.1,4.1,Brighton,27,0.996
M,Mac Allister,5.3,5.3,Brighton,41,1.635
D,Tarkowski,5.3,5.3,Burnley,88,2.904
D,Bardsley,4.4,4.4,Burnley,0,0
D,Pieters,4.3,4.3,Burnley,5,0.184
M,Cork,5.0,5.0,Burnley,69,2.18
D,Long,4.3,4.3,Burnley,0,0
F,Rodriguez,5.7,5.7,Burnley,24,1.279
F,Barnes,6.0,6.0,Burnley,15,0.9
D,Mee,4.7,4.7,Burnley,87,2.815
M,Westwood,5.3,5.3,Burnley,85,2.857
M,Gudmundsson,5.4,5.4,Burnley,44,1.939
F,Wood,6.5,6.5,Burnley,78,5.257
D,Lowton,4.4,4.4,Burnley,86,2.885
F,Vydra,4.8,4.8,Burnley,58,3.375
D,Gibson,3.9,3.9,Burnley,0,0
M,Brady,5.0,5.0,Burnley,0,0
G,Pope,5.5,5.5,Burnley,44,1.81
D,Taylor,4.4,4.4,Burnley,86,2.787
M,Brownhill,4.9,4.9,Burnley,81,3.115
G,Peacock-Farrell,4.0,4.0,Burnley,22,0.875
M,McNeil,5.7,5.7,Burnley,84,3.371
G,Caballero,4.6,4.6,Chelsea,0,0
D,Azpilicueta,5.8,5.8,Chelsea,72,3.469
F,Giroud,6.7,6.7,Chelsea,12,0.871
D,Alonso,5.6,5.6,Chelsea,17,1.057
M,Jorginho,4.7,4.7,Chelsea,76,3.262
M,Barkley,5.8,5.8,Aston Villa,0,0
M,Kovacic,5.3,5.3,Chelsea,63,2.365
F,Batshuayi,5.7,5.7,Crystal Palace,7,0.294
D,Rüdiger,4.7,4.7,Chelsea,79,3.569
D,Zouma,5.3,5.3,Chelsea,42,1.944
D,Emerson,4.7,4.7,Chelsea,0,0
G,Arrizabalaga,4.7,4.7,Chelsea,0,0
M,Kanté,4.9,4.9,Chelsea,26,0.978
M,Ziyech,7.9,7.9,Chelsea,28,1.64
M,Loftus-Cheek,5.9,5.9,Fulham,48,2.328
D,Christensen,4.7,4.7,Chelsea,37,1.571
F,Werner,9.2,9.2,Chelsea,67,4.837
F,Abraham,7.1,7.1,Chelsea,2,0.133
M,Pulisic,8.3,8.3,Chelsea,67,4.283
M,Mount,7.3,7.3,Chelsea,75,4.655
D,Tomori,4.7,4.7,Chelsea,0,0
M,Hudson-Odoi,5.7,5.7,Chelsea,14,0.82
D,James,5.1,5.1,Chelsea,74,4.18
M,Gilmour,4.3,4.3,Chelsea,9,0.361
D,Cahill,4.5,4.5,Crystal Palace,66,0.778
G,Hennessey,4.3,4.3,Crystal Palace,0,0
D,Sakho,4.4,4.4,Crystal Palace,0,0
G,Guaita,4.8,4.8,Crystal Palace,86,3.001
D,Tomkins,4.4,4.4,Crystal Palace,48,0.554
M,McArthur,5.2,5.2,Crystal Palace,16,0.452
M,McCarthy,4.3,4.3,Crystal Palace,59,1.56
F,Benteke,5.5,5.5,Crystal Palace,55,2.032
M,Kouyaté,4.8,4.8,Crystal Palace,81,2.029
D,Ward,4.3,4.3,Crystal Palace,83,0.886
D,Kelly,4.1,4.1,Crystal Palace,0,0
F,Wickham,4.4,4.4,Crystal Palace,0,0
M,Townsend,5.5,5.5,Crystal Palace,69,2.332
M,Milivojevic,5.6,5.6,Crystal Palace,54,1.535
D,van Aanholt,5.4,5.4,Crystal Palace,12,0.201
F,Ayew,5.6,5.6,Crystal Palace,47,1.659
M,Zaha,7.1,7.1,Crystal Palace,84,2.865
M,Schlupp,5.3,5.3,Crystal Palace,68,2.076
M,Meyer,4.7,4.7,Crystal Palace,0,0
M,Riedewald,4.4,4.4,Crystal Palace,33,0.969
D,Ferguson,3.8,3.8,Crystal Palace,0,0
D,Mitchell,3.8,3.8,Crystal Palace,76,0.833
M,Pierrick,4.3,4.3,Crystal Palace,0,0
M,Walcott,5.8,5.8,Southampton,52,2.249
M,Delph,4.8,4.8,Everton,4,0.117
M,Sigurdsson,6.8,6.8,Everton,70,2.703
G,Lössl,4.3,4.3,Everton,0,0
D,Coleman,4.9,4.9,Everton,0,0
F,Tosun,6.0,6.0,Everton,0,0
M,Bernard,5.7,5.7,Everton,15,0.543
D,Digne,6.2,6.2,Everton,84,1.879
D,Keane,5.0,5.0,Everton,80,1.468
G,Pickford,4.8,4.8,Everton,88,3.122
M,André Gomes,5.3,5.3,Everton,29,0.891
M,Iwobi,5.9,5.9,Everton,40,1.362
D,Kenny,4.3,4.3,Everton,0,0
M,Gbamin,5.0,5.0,Everton,0,0
D,Mina,5.5,5.5,Everton,49,0.914
M,Davies,5.2,5.2,Everton,29,0.897
F,Calvert-Lewin,7.5,7.5,Everton,82,3.314
D,Holgate,4.8,4.8,Everton,65,1.168
F,Richarlison,7.7,7.7,Everton,80,3.055
G,Virgínia,4.3,4.3,Everton,0,0
M,Gordon,4.3,4.3,Everton,0,0
F,Kean,5.7,5.7,Everton,0,0
D,Branthwaite,3.9,3.9,Everton,0,0
G,Fabri,3.9,3.9,Fulham,0,0
M,McDonald,4.7,4.7,Fulham,0,0
D,Le Marchand,4.1,4.1,Fulham,0,0
M,Johansen,4.7,4.7,Fulham,0,0
M,Cairney,5.2,5.2,Fulham,0,0
D,Ream,4.2,4.2,Fulham,14,0.463
M,Knockaert,5.0,5.0,Fulham,0,0
D,Hector,4.1,4.1,Fulham,0,0
D,Christie,4.2,4.2,Fulham,0,0
M,Kebano,4.7,4.7,Fulham,0,0
F,Decordova-Reid,5.3,5.3,Fulham,67,3.371
D,Bryan,4.5,4.5,Fulham,54,2.29
G,Bettinelli,4.3,4.3,Fulham,0,0
F,Mitrović,5.5,5.5,Fulham,0,0
D,Mawson,4.3,4.3,Fulham,0,0
G,Rodák,4.3,4.3,Fulham,0,0
M,Cavaleiro,5.3,5.3,Fulham,67,4.023
M,Onomah,4.6,4.6,Fulham,26,1.287
M,Seri,4.6,4.6,Fulham,0,0
M,Kamara,4.8,4.8,Fulham,0,0
M,Anguissa,4.4,4.4,Fulham,67,2.52
D,Sessegnon,4.3,4.3,Fulham,0,0
M,Hernández,5.7,5.7,Leeds,22,1.357
G,Casilla,4.1,4.1,Leeds,81,3.411
D,Cooper,4.3,4.3,Leeds,79,3.308
D,Douglas,3.8,3.8,Leeds,0,0
D,Ayling,4.4,4.4,Leeds,84,3.52
M,Klich,5.2,5.2,Leeds,0,0
M,Forshaw,4.8,4.8,Leeds,0,0
D,Dallas,5.5,5.5,Leeds,85,4.234
D,Alioski,4.4,4.3,Leeds,77,3.715
F,Bamford,6.6,6.5,Leeds,75,6.57
M,Harrison,5.6,5.6,Leeds,79,4.485
M,Phillips,4.9,4.9,Leeds,69,2.628
M,Costa,5.0,5.0,Leeds,0,0
M,Roberts,4.6,4.6,Leeds,53,2.619
M,Grot,4.7,4.7,Leeds,0,0
G,Miazek,4.0,4.0,Leeds,0,0
M,Poveda-Ocampo,4.2,4.2,Leeds,10,0.541
M,Shackleton,4.8,4.8,Leeds,3,0.124
D,Struijk,4.0,4.0,Leeds,63,2.704
M,Stevens,4.3,4.3,Leeds,0,0
G,Meslier,4.8,4.8,Leeds,3,0.129
D,Davis,3.8,3.8,Leeds,0,0
D,Casey,3.8,3.8,Leeds,0,0
D,Morgan,4.4,4.4,Leicester,1,0.034
G,Schmeichel,5.4,5.4,Leicester,88,3.473
D,Fuchs,4.5,4.5,Leicester,0,0
D,Evans,5.6,5.6,Leicester,0,0
M,Silva,4.4,4.4,Leicester,0,0
M,Albrighton,5.2,5.2,Leicester,57,2.247
M,James,4.3,4.3,Leicester,0,0
G,Ward,4.3,4.3,Leicester,0,0
F,Vardy,10.2,10.2,Leicester,80,5.336
M,Praet,5.2,5.2,Leicester,10,0.441
D,Pereira,5.9,5.9,Leicester,36,1.387
D,Amartey,3.9,3.9,Leicester,21,0.726
M,Tielemans,6.4,6.4,Leicester,85,3.413
M,Pérez,6.0,6.0,Leicester,53,2.63
M,Gray,5.1,5.1,Leicester,0,0
M,Maddison,7.2,7.2,Leicester,68,3.683
D,Chilwell,5.9,5.9,Chelsea,78,4.13
F,Iheanacho,6.2,6.2,Leicester,78,4.596
M,Choudhury,4.6,4.6,Leicester,4,0.134
M,Barnes,6.6,6.6,Leicester,0,0
M,Ndidi,4.8,4.8,Leicester,85,2.65
D,Benkovic,4.3,4.3,Leicester,0,0
D,Söyüncü,5.3,5.3,Leicester,87,2.716
D,Justin,4.8,4.8,Leicester,0,0
D,Thomas,4.1,4.1,Leicester,52,1.933
M,Milner,5.3,5.3,Liverpool,32,1.656
D,Tsimikas,4.9,4.9,Liverpool,2,0.119
M,Wijnaldum,5.3,5.3,Liverpool,58,2.629
M,Henderson,5.4,5.4,Liverpool,0,0
G,Adrián,4.2,4.2,Liverpool,0,0
D,Matip,5.4,5.4,Liverpool,0,0
M,Shaqiri,6.4,6.4,Liverpool,6,0.384
M,Chamberlain,6.3,6.3,Liverpool,5,0.247
F,Firmino,9.1,9.1,Liverpool,78,5.124
D,van Dijk,6.2,6.2,Liverpool,0,0
M,Mané,11.8,11.8,Liverpool,81,7.531
G,Alisson,6.0,6.0,Liverpool,88,4.37
M,Fabinho,5.4,5.4,Liverpool,82,2.932
M,Salah,12.9,12.5,Liverpool,83,9.101
D,Robertson,7.2,7.2,Liverpool,84,5.276
F,Origi,5.1,5.1,Liverpool,7,0.563
M,Harry Wilson,5.1,5.1,Liverpool,0,0
M,Minamino,6.0,6.0,Southampton,18,0.767
D,Alexander-Arnold,7.8,7.5,Liverpool,86,6.161
D,Gomez,5.2,5.2,Liverpool,0,0
M,Keita,5.2,5.2,Liverpool,0,0
F,Brewster,4.2,4.2,Sheffield Utd,32,1.652
M,Jones,4.4,4.4,Liverpool,19,1.013
D,Neco Williams,3.8,3.8,Liverpool,2,0.099
M,Elliott,4.3,4.3,Liverpool,0,0
D,Fernandinho,5.4,5.4,Man City,22,1.071
G,Bravo,4.5,4.5,Man City,0,0
F,Agüero,10.3,10.3,Man City,54,3.902
D,Otamendi,4.9,4.9,Man City,0,0
D,Walker,6.1,6.1,Man City,75,3.466
M,Gündogan,5.5,5.5,Man City,41,2.397
M,De Bruyne,11.8,11.8,Man City,65,4.974
D,Stones,5.1,5.1,Man City,63,2.934
D,Mendy,5.9,5.9,Man City,33,1.575
M,Mahrez,8.1,8.1,Man City,40,2.768
M,Sterling,11.0,11.0,Man City,49,3.401
D,Cancelo,5.8,5.8,Man City,0,0
G,Ederson,6.1,6.1,Man City,89,4.072
D,Aké,5.4,5.4,Man City,29,1.42
D,Laporte,6.0,6.0,Man City,71,3.186
M,Bernardo Silva,7.4,7.4,Man City,60,3.008
F,Jesus,9.1,9.1,Man City,71,4.551
D,Zinchenko,5.5,5.5,Man City,49,2.406
M,Foden,6.1,6.1,Man City,47,3.206
M,Doyle,4.4,4.4,Man City,0,0
M,Rodrigo,5.3,5.3,Man City,78,3.069
M,Torres,7.0,7.0,Man City,69,4.407
D,Garcia,4.7,4.7,Man City,14,0.619
G,Romero,4.9,4.9,Man Utd,0,0
M,Mata,5.8,5.8,Man Utd,10,0.505
G,de Gea,5.3,5.3,Man Utd,42,1.565
D,Smalling,4.9,4.9,Man Utd,0,0
F,Ighalo,6.1,6.1,Man Utd,0,0
D,Rojo,4.8,4.8,Man Utd,0,0
M,Matic,4.7,4.7,Man Utd,27,0.835
M,Pogba,7.6,7.6,Man Utd,62,2.808
D,Jones,4.8,4.8,Man Utd,0,0
D,Maguire,5.5,5.5,Man Utd,0,0
M,Fred,5.3,5.3,Man Utd,59,1.693
D,Shaw,5.5,5.5,Man Utd,40,1.341
M,Lingard,6.6,6.4,West Ham,79,4.612
M,Fernandes,11.4,11.1,Man Utd,42,2.438
F,Martial,8.6,8.6,Man Utd,16,0.752
M,Pereira,4.8,4.8,Man Utd,0,0
G,Henderson,5.2,5.2,Man Utd,76,2.848
M,Rashford,9.6,9.6,Man Utd,60,3.183
D,Tuanzebe,4.1,4.1,Man Utd,38,1.052
D,Lindelöf,4.8,4.8,Man Utd,72,1.964
M,McTominay,4.9,4.9,Man Utd,57,1.779
D,Bailly,4.8,4.8,Man Utd,61,1.62
M,James,6.2,6.2,Man Utd,35,1.516
D,Fosu-Mensah,4.3,4.3,Man Utd,0,0
D,Wan-Bissaka,5.8,5.8,Man Utd,60,1.792
D,Dalot,4.8,4.8,Man Utd,0,0
M,Greenwood,7.3,7.3,Man Utd,45,2.282
M,Chong,4.4,4.4,Man Utd,0,0
M,Garner,4.4,4.4,Man Utd,0,0
D,Williams,4.2,4.2,Man Utd,7,0.193
D,Mengi,3.9,3.9,Man Utd,0,0
F,Carroll,5.1,5.1,Newcastle,20,1.031
M,Shelvey,5.3,5.3,Newcastle,85,2.782
M,Ritchie,4.9,4.9,Newcastle,73,2.79
D,Fernández,4.7,4.7,Newcastle,81,2.168
D,Clark,4.5,4.5,Newcastle,14,0.381
G,Darlow,4.9,4.9,Newcastle,0,0
G,Dubravka,4.8,4.8,Newcastle,66,2.466
D,Lejeune,4.3,4.3,Newcastle,0,0
D,Lascelles,4.2,4.2,Newcastle,0,0
F,Gayle,5.9,5.9,Newcastle,35,1.982
M,Atsu,5.2,5.2,Newcastle,0,0
D,Dummett,4.4,4.4,Newcastle,69,1.697
D,Manquillo,4.2,4.2,Newcastle,2,0.051
D,Krafth,4.2,4.2,Newcastle,36,0.952
D,Schär,4.8,4.8,Newcastle,76,2.005
D,Yedlin,4.3,4.3,Newcastle,0,0
M,Hayden,4.6,4.6,Newcastle,0,0
M,Aarons,4.8,4.8,Newcastle,0,0
M,Saint-Maximin,5.2,5.2,Newcastle,55,2.809
M,Almirón,5.6,5.6,Newcastle,74,3.15
F,Joelinton,5.7,5.7,Newcastle,52,2.357
F,Muto,4.8,4.8,Newcastle,0,0
D,Watts,3.9,3.9,Newcastle,0,0
F,Sharp,5.5,5.5,Sheffield Utd,0,0
F,McGoldrick,5.2,5.2,Sheffield Utd,75,3.978
D,Basham,4.6,4.6,Sheffield Utd,83,2.441
M,Fleck,5.6,5.6,Sheffield Utd,83,2.783
D,Stevens,5.0,5.0,Sheffield Utd,86,2.92
G,Moore,4.3,4.3,Sheffield Utd,0,0
M,Norwood,4.5,4.5,Sheffield Utd,78,3.224
G,Foderingham,4.3,4.3,Sheffield Utd,0,0
D,Baldock,4.9,4.9,Sheffield Utd,36,1.178
D,Jack Robinson,4.2,4.2,Sheffield Utd,75,2.151
D,Egan,4.7,4.7,Sheffield Utd,86,2.602
D,O'Connell,4.7,4.7,Sheffield Utd,0,0
M,Lundstram,4.8,4.8,Sheffield Utd,19,0.822
M,Osborn,4.7,4.7,Sheffield Utd,63,2.635
F,McBurnie,5.6,5.6,Sheffield Utd,0,0
F,Callum Robinson,5.2,5.2,West Brom,32,1.425
F,Mousset,5.8,5.8,Sheffield Utd,17,0.932
M,Berge,4.9,4.9,Sheffield Utd,17,0.621
F,Long,5.1,5.1,Southampton,0,0
D,Bertrand,5.0,5.0,Southampton,9,0.213
G,McCarthy,4.4,4.4,Southampton,41,1.464
M,Oriol Romeu,4.5,4.5,Southampton,78,2.049
M,Redmond,6.4,6.4,Southampton,60,2.454
F,Ings,8.4,8.4,Southampton,65,3.414
D,Stephens,4.6,4.6,Southampton,47,1.093
M,Armstrong,5.5,5.5,Southampton,72,2.655
D,Vestergaard,4.7,4.7,Southampton,86,2.041
M,Ward-Prowse,5.9,5.9,Southampton,85,3.097
G,Gunn,4.3,4.3,Southampton,0,0
M,Boufal,5.4,5.4,Southampton,0,0
M,Reed,4.4,4.4,Fulham,49,1.64
M,Sims,4.3,4.3,Southampton,0,0
D,Walker-Peters,4.7,4.7,Southampton,86,1.924
D,Bednarek,4.7,4.7,Southampton,79,1.658
F,Adams,5.7,5.7,Southampton,0,0
D,Valery,4.7,4.7,Southampton,0,0
M,Smallbone,4.3,4.3,Southampton,0,0
D,Vokins,3.9,3.9,Southampton,0,0
F,Obafemi,4.6,4.6,Southampton,8,0.391
M,Djenepo,5.4,5.4,Southampton,21,0.834
G,Lloris,5.6,5.6,Spurs,88,3.233
D,Rose,4.7,4.7,Spurs,0,0
M,Sissoko,4.7,4.7,Spurs,6,0.201
D,Alderweireld,5.4,5.4,Spurs,87,2.071
M,Lamela,5.7,5.7,Spurs,15,0.624
F,Kane,11.9,11.7,Spurs,85,4.896
D,Aurier,5.2,5.2,Spurs,63,1.733
M,Son,9.6,9.3,Spurs,83,3.893
D,Dier,4.6,4.6,Spurs,87,2.112
M,Lucas Moura,6.4,6.4,Spurs,23,0.991
G,Gazzaniga,4.3,4.3,Spurs,0,0
M,Alli,7.4,7.4,Spurs,65,2.855
D,Davies,4.5,4.5,Spurs,0,0
M,Højbjerg,4.9,4.9,Spurs,86,2.26
M,Winks,5.1,5.1,Spurs,27,0.784
D,Sánchez,5.2,5.2,Spurs,4,0.097
D,Sessegnon,4.7,4.7,Spurs,0,0
M,Bergwijn,7.0,7.0,Spurs,12,0.522
M,Fernandes,4.7,4.7,Spurs,0,0
D,Tanganga,4.9,4.9,Spurs,0,0
M,Lo Celso,6.9,6.9,Spurs,45,1.538
M,Skipp,4.4,4.4,Spurs,0,0
M,Ndombele,5.9,5.9,Spurs,34,1.198
D,Foyth,4.3,4.3,Spurs,0,0
D,Gibbs,4.3,4.3,West Brom,1,0.019
F,Robson-Kanu,5.2,5.2,West Brom,49,2.283
M,Livermore,4.7,4.7,West Brom,9,0.317
M,Grosicki,5.2,5.2,West Brom,0,0
M,Phillips,5.1,5.1,West Brom,72,2.62
D,Bartley,4.4,4.4,West Brom,87,1.405
M,Sawyers,4.6,4.6,West Brom,1,0.031
D,Hegazi,4.1,4.1,West Brom,0,0
F,Austin,5.1,5.1,West Brom,0,0
F,Zohore,4.8,4.8,West Brom,0,0
G,Johnstone,4.6,4.6,West Brom,88,3.16
D,Townsend,4.4,4.4,West Brom,87,1.437
D,Ajayi,4.8,4.8,West Brom,78,1.418
M,Leko,4.5,4.5,West Brom,0,0
M,Edwards,4.6,4.6,West Brom,0,0
D,Furlong,4.5,4.5,West Brom,87,1.498
M,Field,4.8,4.8,West Brom,0,0
M,Burke,4.1,4.1,Sheffield Utd,0,0
D,O'Shea,4.2,4.2,West Brom,22,0.338
M,Harper,4.3,4.3,West Brom,0,0
M,Noble,4.5,4.5,West Ham,8,0.355
M,Snodgrass,5.6,5.6,West Brom,0,0
G,Martin,3.9,3.9,West Ham,0,0
G,Randolph,4.3,4.3,West Ham,23,0.973
G,Fabianski,5.0,5.0,West Ham,62,2.599
D,Ogbonna,4.7,4.7,West Ham,86,3.27
G,Roberto,4.5,4.5,West Ham,0,0
M,Wilshere,4.9,4.9,West Ham,0,0
D,Cresswell,5.7,5.7,West Ham,81,3.615
M,Yarmolenko,5.5,5.5,West Ham,17,0.917
F,Antonio,6.7,6.7,West Ham,79,5.043
D,Fredericks,4.2,4.2,West Ham,4,0.143
M,Lanzini,6.4,6.4,West Ham,2,0.099
M,Felipe Anderson,6.1,6.1,West Ham,0,0
F,Haller,6.1,6.1,West Ham,0,0
D,Masuaku,4.3,4.3,West Ham,9,0.391
D,Balbuena,4.1,4.1,West Ham,0,0
F,Hugill,5.5,5.5,West Ham,0,0
M,Bowen,5.9,5.9,West Ham,39,2.619
M,Diangana,5.0,5.0,West Brom,33,1.314
F,Ajeti,5.5,5.5,West Ham,0,0
M,Rice,4.7,4.7,West Ham,87,3.209
M,Soucek,5.2,5.2,West Ham,85,3.439
M,Fornals,5.8,5.8,West Ham,67,3.261
D,Diop,4.3,4.3,West Ham,16,0.594
D,Johnson,3.9,3.9,West Ham,8,0.37
G,Ruddy,4.3,4.3,Wolves,0,0
M,Moutinho,5.1,5.1,Wolves,79,2.748
G,Patrício,5.3,5.3,Wolves,88,3.447
D,Bennett,4.4,4.4,Wolves,0,0
D,Doherty,5.6,5.6,Spurs,22,0.606
D,Boly,5.4,5.4,Wolves,65,2.234
D,Coady,4.9,4.9,Wolves,82,2.479
F,Jiménez,8.1,8.1,Wolves,0,0
D,Saïss,4.9,4.9,Wolves,61,2.234
D,Jonny,5.4,5.4,Wolves,0,0
F,Bonatini,4.8,4.8,Wolves,0,0
M,Dendoncker,4.6,4.6,Wolves,57,2.125
M,Traoré,6.0,6.0,Wolves,83,3.609
M,Neves,5.1,5.1,Wolves,70,3.066
D,Buur,3.9,3.9,Wolves,0,0
M,Jota,6.9,6.9,Liverpool,11,0.962
M,Podence,5.3,5.3,Wolves,0,0
D,Kilman,3.8,3.8,Wolves,12,0.394
D,Vinagre,4.1,4.1,Wolves,0,0
G,Sarkic,4.4,4.4,Wolves,0,0
M,Gibbs-White,4.9,4.9,Wolves,49,2.374
M,Neto,5.5,5.5,Wolves,0,0
M,Jordao,4.3,4.3,Wolves,0,0
F,Campana,4.7,4.7,Wolves,0,0
M,Freeman,5.0,5.0,Sheffield Utd,0,0
M,Willian,7.5,7.5,Arsenal,17,0.965
D,Salisu,4.3,4.3,Southampton,45,1.047
M,Sean Longstaff,4.6,4.6,Newcastle,37,1.383
M,Pereira,5.4,5.4,West Brom,34,1.612
G,Hart,4.2,4.2,Spurs,0,0
G,Ramsdale,4.6,4.6,Sheffield Utd,88,3.434
D,Robinson,4.4,4.4,Fulham,0,0
M,Hendrick,4.5,4.5,Newcastle,6,0.222
D,Dann,4.2,4.2,Crystal Palace,7,0.094
M,Matty Longstaff,4.8,4.8,Newcastle,0,0
G,Gillespie,4.3,4.3,Newcastle,10,0.367
M,Eze,5.8,5.8,Crystal Palace,0,0
D,Thiago Silva,5.6,5.6,Chelsea,69,3.042
D,Koch,4.3,4.3,Leeds,0,0
F,Rodrigo,5.7,5.7,Leeds,66,4.421
M,Lemina,4.5,4.5,Fulham,59,2.069
D,Gabriel,4.9,4.9,Arsenal,71,2.845
M,van de Beek,6.6,6.6,Man Utd,26,0.93
D,Cash,5.0,5.0,Aston Villa,0,0
M,Murphy,4.9,4.9,Newcastle,85,2.788
D,Castagne,5.8,5.8,Leicester,81,2.994
D,Kipre,4.3,4.3,West Brom,0,0
M,Havertz,8.3,8.3,Chelsea,30,2.242
M,Ceballos,4.7,4.7,Arsenal,26,1.043
M,Allan,5.2,5.2,Everton,75,2.046
G,Walton,4.0,4.0,Brighton,0,0
F,Fabio Silva,5.2,5.2,Wolves,73,3.893
D,Marçal,4.7,4.7,Wolves,21,0.708
F,Wilson,6.5,6.5,Newcastle,0,0
M,Fraser,5.6,5.6,Newcastle,0,0
M,Rodríguez,7.7,7.7,Everton,0,0
D,Ampadu,4.3,4.3,Sheffield Utd,0,0
D,Bogle,4.3,4.3,Sheffield Utd,46,1.807
D,Lowe,4.2,4.2,Sheffield Utd,0,0
M,Doucouré,5.1,5.1,Everton,76,2.215
D,Lewis,4.0,4.0,Newcastle,3,0.077
F,Watkins,6.3,6.3,Aston Villa,84,3.326
M,Vitinha,4.7,4.7,Wolves,49,2.155
G,Areola,4.5,4.5,Fulham,88,3.514
D,Tete,4.3,4.3,Fulham,64,2.389
M,Mendy,4.2,4.2,Leicester,3,0.095
D,Dunne,3.8,3.8,Burnley,0,0
D,Thomas,3.9,3.9,Burnley,0,0
D,Carter-Vickers,3.9,3.9,Spurs,0,0
D,Woods,4.0,4.0,Crystal Palace,0,0
G,Forster,4.0,4.0,Southampton,68,2.439
M,Tella,4.3,4.3,Southampton,50,2.187
D,Odoi,4.2,4.2,Fulham,0,0
M,Elneny,4.2,4.2,Arsenal,41,1.4
G,Macey,4.0,4.0,Arsenal,0,0
G,Steele,3.9,3.9,Brighton,0,0
D,Jagielka,3.9,3.9,Sheffield Utd,0,0
D,Ivanovic,4.4,4.4,West Brom,0,0
M,Thiago,5.5,5.5,Liverpool,78,3.075
